Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
9012.92,2,100,H,Ecto,5.17862e+06
9012.92,2,1000,H,Ecto,1.2598e+07
9012.92,2,1000,H,Endo,1.30405e+07
9012.92,2,10000,H,Endo,8.77951e+06
9012.92,2,100,O,Ecto,1498.48
9012.92,2,1000,O,Ecto,581471
9012.92,2,10000,O,Ecto,118.111
9012.92,2,1000,O,Endo,1.83898e+06
9012.92,2,10000,O,Endo,1.21696e+07
9012.92,2,100,C,Ecto,29846
9012.92,2,1000,C,Ecto,738326
64142.2,2,100,H,Ecto,0.125482
64142.2,2,1000,H,Ecto,182671
64142.2,2,1000,H,Endo,5.27594e+07
64142.2,2,10000,H,Endo,2.04536e+07
64142.2,2,100,O,Ecto,0.00469455
64142.2,2,1000,O,Ecto,4.53314e+06
64142.2,2,10000,O,Ecto,1.13495e+06
64142.2,2,1000,O,Endo,2.03682e+06
64142.2,2,10000,O,Endo,3.08476e+07
64142.2,2,100,C,Ecto,4111.88
64142.2,2,1000,C,Ecto,2.30543e+07
64142.2,2,10000,C,Ecto,95922.8
18248.7,2,100,H,Ecto,92134.4
18248.7,2,1000,H,Ecto,706959
18248.7,2,1000,H,Endo,9.14464e+06
18248.7,2,10000,H,Endo,707500
18248.7,2,100,O,Ecto,0.425158
18248.7,2,1000,O,Ecto,605678
18248.7,2,10000,O,Ecto,4305.96
18248.7,2,1000,O,Endo,238072
18248.7,2,10000,O,Endo,9.64985e+06
18248.7,2,100,C,Ecto,14748
18248.7,2,1000,C,Ecto,1.01387e+06
41822.3,2,100,H,Ecto,0.00144844
41822.3,2,1000,H,Ecto,2532.9
41822.3,2,1000,H,Endo,267732
41822.3,2,10000,H,Endo,98173.5
41822.3,2,100,O,Ecto,0.000376576
41822.3,2,1000,O,Ecto,30693.6
41822.3,2,10000,O,Ecto,4270.15
41822.3,2,1000,O,Endo,3052.61
41822.3,2,10000,O,Endo,16173.6
41822.3,2,100,C,Ecto,474.643
41822.3,2,1000,C,Ecto,55394.5
41822.3,2,10000,C,Ecto,472.731
33859.4,2,10,H,Ecto,52.7929
33859.4,2,100,H,Ecto,1.79311e+06
