GridcellIndex,Cohort_FunctionalGroupIndex,Cohort_AdultMass,Cohort_Consumed_Autotroph,Cohort_Consumed_Herbivore,Cohort_Consumed_Omnivore,Cohort_Consumed_Carnivore
0,0,50920.1,4.72153e+08,0,0,0
0,0,3282.34,1.65582e+08,0,0,0
0,0,17175,3.48749e+08,0,0,0
0,0,16477.8,2.27789e+08,0,0,0
0,0,57921.5,6.2818e+08,0,0,0
0,0,18380.8,1.39747e+06,0,0,0
0,0,45418.2,3.39236e+08,0,0,0
0,0,52756.5,5.60147e+08,0,0,0
0,0,3185.69,2.27006e+06,0,0,0
0,0,13328,1.28926e+09,0,0,0
0,0,8507.63,84799.6,0,0,0
0,0,17335,2.90131e+08,0,0,0
0,0,8694.81,721259,0,0,0
0,0,3241.99,749949,0,0,0
0,0,18031.2,2.18737e+08,0,0,0
0,0,2106.67,2.97899e+08,0,0,0
0,2,9012.92,4.34866e+07,1.32042e+07,7.26083e+06,436934
0,2,64142.2,1.08578e+09,1.24738e+08,7.76742e+07,6.57516e+06
0,2,18248.7,3.35854e+07,8.69916e+06,5.45012e+06,56265.1
0,2,41822.3,6.51885e+06,959028,734083,37524.3
0,2,33859.4,3.43988e+08,1.1115e+08,4.43205e+07,4.60066e+06
0,2,4099.27,5.09278e+06,1.668e+06,450083,108286
0,2,18248.7,2.02413e+08,1.24874e+08,2.94809e+07,2.38165e+06
0,2,9465.66,3.67405e+08,3.55337e+07,2.97561e+07,3.16072e+07
0,2,4032.74,1.05069e+08,1.52626e+07,5.88379e+06,2.22839e+06
0,2,4099.27,1.82412e+08,1.15074e+07,1.00712e+07,6.42063e+06
0,2,8397.32,4.96573e+06,1.45578e+06,261159,291.015
0,3,501,0,0,0,0
0,3,6.895,0,0,0,0
0,3,16.0864,0,0,0,0
0,3,6.4714,0,0,0,0
0,4,188.302,0,0,0,0
0,5,92.3929,0,0,0,0
0,5,798.281,0,0,0,0
0,6,1133.2,0,0,0,0
0,6,384.099,0,0,0,0
0,6,956.768,0,0,0,0
0,6,133.309,0,0,0,0
0,6,4537.68,0,0,0,0
0,6,284.622,0,0,0,0
0,6,19.5817,0,0,0,0
0,6,4508.46,0,0,0,0
0,6,1133.2,0,0,0,0
0,6,1133.2,0,0,0,0
0,6,4722.87,0,0,0,0
0,6,395.234,0,0,0,0
0,6,1284.95,0,0,0,0
0,6,384.099,0,0,0,0
0,6,4951.78,0,0,0,0
0,6,1116.68,0,0,0,0
0,6,3467.2,0,0,0,0
0,6,390.127,0,0,0,0
0,6,4477.92,0,0,0,0
0,6,956.768,0,0,0,0
0,6,134.948,0,0,0,0
0,6,280.65,0,0,0,0
0,6,20.2688,0,0,0,0
0,6,389.408,0,0,0,0
0,6,1134.32,0,0,0,0
0,6,8774.07,0,0,0,0
0,6,19.0366,0,0,0,0
0,6,1189.94,0,0,0,0
0,6,852.882,0,0,0,0
0,6,4719.47,0,0,0,0
0,6,128.778,0,0,0,0
0,6,282.803,0,0,0,0
0,6,360.143,0,0,0,0
0,6,19.5817,0,0,0,0
0,7,240.773,0,0,0,0
0,7,821.365,0,0,0,0
0,7,4269.93,0,0,0,0
0,7,6028.96,0,0,0,0
0,7,535.236,0,0,0,0
0,7,20495.3,0,0,0,0
0,7,33203.8,0,0,0,0
0,7,237.129,0,0,0,0
0,7,1579.46,0,0,0,0
0,7,1504.61,0,0,0,0
0,7,2036.36,0,0,0,0
0,7,840.865,0,0,0,0
0,7,4902.69,0,0,0,0
0,7,5198.5,0,0,0,0
0,7,21173.6,0,0,0,0
0,8,176.722,0,0,0,0
0,8,35.1648,0,0,0,0
0,8,1366.27,0,0,0,0
0,8,108.685,0,0,0,0
0,8,1363.75,0,0,0,0
0,8,317.483,0,0,0,0
0,8,811.594,0,0,0,0
0,8,1374.37,0,0,0,0
0,8,176.722,0,0,0,0
0,8,33.2678,0,0,0,0
0,8,108.101,0,0,0,0
0,8,176.722,0,0,0,0
0,8,35.1648,0,0,0,0
0,8,798.561,0,0,0,0
1,0,3705.72,3.86888e+06,0,0,0
1,0,18231.8,4.3991e+09,0,0,0
1,0,23748.6,3.39027e+09,0,0,0
1,0,8507.63,4.35985e+06,0,0,0
1,0,50197.9,4.93032e+08,0,0,0
1,0,3746.68,1.90784e+07,0,0,0
1,0,19444.1,1.00287e+08,0,0,0
1,0,3408.39,322055,0,0,0
1,0,51201.2,6.20372e+08,0,0,0
1,0,60822.3,2.90534e+06,0,0,0
1,2,17972.9,1.41021e+08,7.49552e+06,2.32182e+06,66246.5
1,2,50287.8,156231,22569.4,3519.11,59.3481
1,2,10775.9,1.12878e+07,918723,418849,4985.45
1,6,2396.26,0,0,0,0
1,6,219.724,0,0,0,0
1,6,664.327,0,0,0,0
1,6,662.989,0,0,0,0
1,6,5079.65,0,0,0,0
1,6,695.028,0,0,0,0
1,6,38.4484,0,0,0,0
1,6,5272.92,0,0,0,0
1,6,3661.55,0,0,0,0
1,6,1255.45,0,0,0,0
1,6,1255.45,0,0,0,0
1,6,2380.74,0,0,0,0
1,6,38.5968,0,0,0,0
1,6,38.1513,0,0,0,0
1,6,1408.29,0,0,0,0
1,6,213.179,0,0,0,0
1,6,2359.84,0,0,0,0
1,6,38.4484,0,0,0,0
1,6,2554.18,0,0,0,0
1,7,15322.8,0,0,0,0
1,7,2423.68,0,0,0,0
1,7,4845.61,0,0,0,0
1,7,17840.5,0,0,0,0
1,7,75760,0,0,0,0
1,7,29847.3,0,0,0,0
1,7,21401,0,0,0,0
1,7,13872,0,0,0,0
1,7,4810.32,0,0,0,0
1,7,9895.8,0,0,0,0
1,7,69989.2,0,0,0,0
1,7,6246.14,0,0,0,0
1,7,29847.3,0,0,0,0
1,7,21823.9,0,0,0,0
1,8,2801.39,0,0,0,0
1,8,3791.95,0,0,0,0
1,8,639.068,0,0,0,0
1,8,1138.32,0,0,0,0
1,8,12761.7,0,0,0,0
1,8,156.138,0,0,0,0
1,8,73.375,0,0,0,0
1,8,634.733,0,0,0,0
1,8,3564.4,0,0,0,0
1,8,32135.2,0,0,0,0
1,8,656.233,0,0,0,0
1,8,1123.61,0,0,0,0
1,8,674.778,0,0,0,0
1,8,22.5404,0,0,0,0
1,8,47.4333,0,0,0,0
1,8,3788.61,0,0,0,0
1,8,1151.19,0,0,0,0
1,8,2882.61,0,0,0,0
1,8,1323.77,0,0,0,0
1,8,639.068,0,0,0,0
1,8,137.899,0,0,0,0
1,8,3780.54,0,0,0,0
1,8,631.099,0,0,0,0
1,8,158.696,0,0,0,0
1,8,1147.67,0,0,0,0
1,8,2949.45,0,0,0,0
1,8,3791.95,0,0,0,0
1,8,22.776,0,0,0,0
1,8,1397.68,0,0,0,0
1,8,660.299,0,0,0,0
1,8,166.448,0,0,0,0
1,8,22.5404,0,0,0,0
1,8,69.8305,0,0,0,0
1,8,1138.32,0,0,0,0
1,8,33017.4,0,0,0,0
1,8,22.8218,0,0,0,0
1,8,656.233,0,0,0,0
1,8,2651.92,0,0,0,0
2,0,3713.72,7.61019e+06,0,0,0
2,0,7531.44,5.27185e+07,0,0,0
2,0,22248.4,2.0023e+09,0,0,0
2,0,2354.38,5.16693e+07,0,0,0
2,0,7831.9,3.04572e+09,0,0,0
2,0,3771.62,6.53205e+08,0,0,0
2,0,19808.1,2.64737e+06,0,0,0
2,0,7406.4,2.90814e+09,0,0,0
2,0,2281.99,3.97897e+08,0,0,0
2,0,15752.3,1.40326e+07,0,0,0
2,0,59597.2,1.27222e+09,0,0,0
2,0,50811.5,2.4497e+09,0,0,0
2,2,19833.1,1.03527e+07,3.18647e+07,4.05809e+06,641953
2,2,11778.5,1.37824e+08,4.01898e+07,1.92518e+06,3.31038e+06
2,2,4297.25,837101,9945.9,4654.57,14392
2,2,19987.6,1.3457e+09,1.75222e+07,8.62621e+06,3.58727e+07
2,2,8305.04,9.42945e+06,8.30313e+06,456381,374256
2,3,12.4435,0,0,0,0
2,3,11.4295,0,0,0,0
2,3,24.2043,0,0,0,0
2,3,42.3783,0,0,0,0
2,3,13.476,0,0,0,0
2,6,634.057,0,0,0,0
2,6,31.9726,0,0,0,0
2,6,2362.7,0,0,0,0
2,6,2511.76,0,0,0,0
2,6,738.017,0,0,0,0
2,6,193.965,0,0,0,0
2,6,740.76,0,0,0,0
2,6,653.554,0,0,0,0
2,6,277.942,0,0,0,0
2,6,130.505,0,0,0,0
2,6,58.8766,0,0,0,0
2,6,634.057,0,0,0,0
2,6,1067.68,0,0,0,0
2,6,2157.4,0,0,0,0
2,6,6154.67,0,0,0,0
2,6,2344.45,0,0,0,0
2,6,726.801,0,0,0,0
2,6,200.409,0,0,0,0
2,6,31.9726,0,0,0,0
2,6,31.9726,0,0,0,0
2,6,740.76,0,0,0,0
2,6,2511.76,0,0,0,0
2,6,58.8766,0,0,0,0
2,6,280.948,0,0,0,0
2,6,640.922,0,0,0,0
2,6,32.532,0,0,0,0
2,6,2477.47,0,0,0,0
2,6,742.453,0,0,0,0
2,6,180.597,0,0,0,0
2,6,230.409,0,0,0,0
2,6,140.144,0,0,0,0
2,6,3586.4,0,0,0,0
2,6,186.889,0,0,0,0
2,7,4147.86,0,0,0,0
2,7,121.162,0,0,0,0
2,7,516.297,0,0,0,0
2,7,275.964,0,0,0,0
2,7,2745.61,0,0,0,0
2,7,12652.8,0,0,0,0
2,7,4147.86,0,0,0,0
2,7,18970.9,0,0,0,0
2,7,4060.99,0,0,0,0
2,7,12467.6,0,0,0,0
2,7,5913.86,0,0,0,0
2,7,12917.2,0,0,0,0
2,7,2701.86,0,0,0,0
2,7,275.964,0,0,0,0
2,7,516.297,0,0,0,0
2,7,4147.86,0,0,0,0
2,7,124.698,0,0,0,0
2,7,13396.8,0,0,0,0
2,7,273.144,0,0,0,0
2,7,516.297,0,0,0,0
2,7,1515.29,0,0,0,0
2,7,5374.72,0,0,0,0
2,7,356.742,0,0,0,0
2,7,15682.5,0,0,0,0
2,7,2203.11,0,0,0,0
2,8,187.308,0,0,0,0
2,8,3974.72,0,0,0,0
2,8,836.334,0,0,0,0
2,8,32.7526,0,0,0,0
2,8,1107.03,0,0,0,0
2,8,227.505,0,0,0,0
