GridcellIndex,Cohort_FunctionalGroupIndex,Cohort_AdultMass,Cohort_Consumed_Autotroph,Cohort_Consumed_Herbivore,Cohort_Consumed_Omnivore,Cohort_Consumed_Carnivore
0,0,50920.1,6.78769e+08,0,0,0
0,0,3282.34,530715,0,0,0
0,0,17175,2.22648e+08,0,0,0
0,0,14596.3,1.04732e+09,0,0,0
0,0,3282.34,5.77643e+08,0,0,0
0,0,16477.8,1.35248e+08,0,0,0
0,0,57921.5,3.32357e+08,0,0,0
0,0,18380.8,564580,0,0,0
0,0,45418.2,2.11952e+08,0,0,0
0,0,52756.5,1.95757e+09,0,0,0
0,0,3185.69,3.23296e+06,0,0,0
0,0,13328,2.76401e+07,0,0,0
0,0,8507.63,272409,0,0,0
0,0,17335,1.23082e+08,0,0,0
0,2,9012.92,1.13923e+08,5.10592e+07,8.66482e+06,387516
0,2,64142.2,1.02112e+09,2.06218e+07,2.69955e+07,8.74098e+06
0,2,18248.7,8.68491e+07,2.49153e+07,4.26795e+06,479614
0,2,41822.3,6.59814e+06,98941.6,270707,54240.7
0,2,33859.4,1.67138e+08,3.2944e+08,1.16645e+07,2.98027e+06
0,2,4099.27,1.00833e+07,4.87874e+06,1.23993e+06,37187
0,2,18248.7,5.00226e+07,2.74078e+08,4.04625e+06,511413
0,2,9465.66,2.41342e+08,9.20614e+07,2.92295e+07,604571
0,2,4032.74,3.67025e+07,9.85196e+06,1.0411e+07,72313
0,3,6.24799,1.94812e+07,0,0,0
0,3,501,2.80483e+07,0,0,0
0,3,6.895,8.57591e+06,0,0,0
0,3,16.0864,8.30468e+06,0,0,0
0,4,188.302,0,5.5127e+06,3.79633e+06,2.00601e+06
0,5,92.3929,3.92058e+07,1.64395e+06,0,4440.18
0,5,798.281,3.81949e+07,3.61587e+06,194864,467046
0,6,1133.2,1.42308e+06,0,0,0
0,6,4460.69,154347,0,0,0
0,6,384.099,5.10879e+06,0,0,0
0,6,956.768,7.70727e+07,0,0,0
0,6,1157.67,1.70386e+08,0,0,0
0,6,133.309,1.03124e+07,0,0,0
0,6,4537.68,9.13989e+07,0,0,0
0,6,284.622,410226,0,0,0
0,6,19.5817,2.95759e+07,0,0,0
