Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
9012.92,2,100,H,Ecto,2.26409e+06
9012.92,2,1000,H,Ecto,2.13038e+07
9012.92,2,1000,H,Endo,2.19054e+07
9012.92,2,10000,H,Endo,8.66168e+06
9012.92,2,100,O,Ecto,592227
9012.92,2,1000,O,Ecto,1.35205e+06
9012.92,2,10000,O,Ecto,549.878
9012.92,2,1000,O,Endo,177105
9012.92,2,10000,O,Endo,8.74097e+06
9012.92,2,100,C,Ecto,57306.2
9012.92,2,1000,C,Ecto,989098
64142.2,2,100,H,Ecto,0.237618
64142.2,2,1000,H,Ecto,192700
64142.2,2,1000,H,Endo,6.20492e+07
64142.2,2,10000,H,Endo,3.60116e+07
64142.2,2,100,O,Ecto,0.0589554
64142.2,2,1000,O,Ecto,7.7395e+06
64142.2,2,10000,O,Ecto,2.09467e+06
64142.2,2,1000,O,Endo,894510
64142.2,2,10000,O,Endo,796373
64142.2,2,100,C,Ecto,222.417
64142.2,2,1000,C,Ecto,1.42224e+07
64142.2,2,10000,C,Ecto,192075
18248.7,2,100,H,Ecto,268976
18248.7,2,1000,H,Ecto,2.07797e+06
18248.7,2,1000,H,Endo,9.2998e+06
18248.7,2,10000,H,Endo,852976
18248.7,2,100,O,Ecto,98859.1
18248.7,2,1000,O,Ecto,784640
18248.7,2,10000,O,Ecto,8329.61
18248.7,2,1000,O,Endo,55580.7
18248.7,2,10000,O,Endo,1.12963e+06
18248.7,2,100,C,Ecto,439.362
18248.7,2,1000,C,Ecto,698197
18248.7,2,10000,C,Ecto,0.00111766
41822.3,2,100,H,Ecto,0.149022
41822.3,2,1000,H,Ecto,5230.69
41822.3,2,1000,H,Endo,316427
41822.3,2,10000,H,Endo,59351.7
41822.3,2,100,O,Ecto,0.000506458
41822.3,2,1000,O,Ecto,26089.4
41822.3,2,10000,O,Ecto,5297.27
41822.3,2,1000,O,Endo,2742.27
41822.3,2,10000,O,Endo,7522.35
41822.3,2,100,C,Ecto,7.99935
41822.3,2,1000,C,Ecto,56675.1
41822.3,2,10000,C,Ecto,319.078
33859.4,2,10,H,Ecto,59892.4
33859.4,2,100,H,Ecto,2.17678e+07
33859.4,2,1000,H,Ecto,1.02145e+07
33859.4,2,1000,H,Endo,985.886
33859.4,2,10,O,Ecto,92529.6
33859.4,2,100,O,Ecto,8.18092e+06
33859.4,2,1000,O,Ecto,1.03808e+06
33859.4,2,100,C,Ecto,2.97042e+06
33859.4,2,1000,C,Ecto,23597.3
4099.27,2,100,H,Ecto,2.18681e+06
4099.27,2,1000,H,Ecto,5.55004e+06
4099.27,2,1000,H,Endo,1.05831e+06
4099.27,2,10000,H,Endo,1.27938e+06
4099.27,2,100,O,Ecto,27650.1
4099.27,2,1000,O,Ecto,38537.5
4099.27,2,1000,O,Endo,3902.86
4099.27,2,10000,O,Endo,635232
4099.27,2,100,C,Ecto,118247
4099.27,2,1000,C,Ecto,69698
8308.21,2,10,H,Ecto,524.532
8308.21,2,100,H,Ecto,3.4492e+06
8308.21,2,1000,H,Ecto,1.78941e+06
8308.21,2,1000,H,Endo,1475.65
8308.21,2,10000,H,Endo,4578.63
8308.21,2,10,O,Ecto,1772.56
8308.21,2,100,O,Ecto,667912
8308.21,2,1000,O,Ecto,333652
8308.21,2,10000,O,Endo,1060.61
8308.21,2,100,C,Ecto,269705
8308.21,2,1000,C,Ecto,21488.8
8750.24,2,100,H,Ecto,0.0232524
8750.24,2,1000,H,Ecto,71.3197
8750.24,2,1000,H,Endo,13653
8750.24,2,10000,H,Endo,110733
8750.24,2,100,O,Ecto,597.29
8750.24,2,1000,O,Ecto,714.652
8750.24,2,10000,O,Ecto,0.00224303
8750.24,2,1000,O,Endo,0.333408
8750.24,2,1000,C,Ecto,144.318
8750.24,2,10000,C,Ecto,1278.9
17972.9,2,100,H,Ecto,128.033
17972.9,2,1000,H,Ecto,84712.9
17972.9,2,1000,H,Endo,5.98397e+07
17972.9,2,10000,H,Endo,2.27792e+08
17972.9,2,100,O,Ecto,257955
17972.9,2,1000,O,Ecto,1.06288e+06
17972.9,2,10000,O,Ecto,10.9989
17972.9,2,1000,O,Endo,1528.38
17972.9,2,1000,C,Ecto,920056
17972.9,2,10000,C,Ecto,7.36271e+06
19833.1,2,100,H,Ecto,473380
19833.1,2,1000,H,Ecto,40078.8
19833.1,2,1000,H,Endo,1.84065e+07
