FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,0,0
0,1,10,3.4177e+08,1.85501e+08
0,10,100,5.97038e+08,1.00119e+09
0,100,1000,6.02198e+06,1.40493e+08
0,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,0,0
2,1,10,3.08159e+07,2.67592e+07
2,10,100,6.17178e+07,2.83932e+08
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,1.70883e+09,522169
3,0.01,0.1,8.67695e+08,1.69289e+06
3,0.1,1,1.88413e+07,256598
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,0,0
4,0.1,1,979073,58486.9
4,1,10,0,0
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,4.33895e+07,7713.67
5,0.01,0.1,4.59872e+08,1.82595e+06
5,0.1,1,1.36184e+08,1.8628e+06
5,1,10,138796,72618.7
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,1.55716e+09,9.45216e+06
6,0.1,1,1.50789e+09,2.32905e+07
6,1,10,1.59767e+09,4.62945e+07
6,10,100,1.37512e+07,3.68856e+06
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,3.01929e+07,435539
7,0.1,1,1.43171e+08,5.70634e+06
7,1,10,1.99117e+08,2.97326e+07
7,10,100,7.4993e+07,6.0291e+07
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,8.10522e+08,5.17724e+06
8,0.1,1,9.0978e+08,1.85008e+07
8,1,10,4.11523e+08,2.98783e+07
8,10,100,933991,4.71516e+06
8,100,1000,0,0
8,1000,10000,0,0
