FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,0,0
0,1,10,5.99295e+08,1.99401e+08
0,10,100,1.25122e+09,1.01894e+09
0,100,1000,5.67621e+06,1.37619e+08
0,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,0,0
2,1,10,3.61473e+07,2.62983e+07
2,10,100,1.53745e+08,2.95174e+08
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,6.33414e+08,456201
3,0.01,0.1,5.38034e+08,1.53363e+06
3,0.1,1,3.97496e+07,283819
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,0,0
4,0.1,1,1.149e+06,43105.7
4,1,10,0,0
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,3.204e+07,7715.61
5,0.01,0.1,7.38828e+08,1.72111e+06
5,0.1,1,1.24907e+08,1.7596e+06
5,1,10,149933,54215.4
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,2.41532e+09,8.50994e+06
6,0.1,1,2.04929e+09,2.11216e+07
6,1,10,1.99707e+09,4.26133e+07
6,10,100,1.58965e+07,3.43898e+06
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,5.64286e+07,567909
7,0.1,1,1.69233e+08,5.7644e+06
7,1,10,2.55166e+08,2.80038e+07
7,10,100,8.02042e+07,5.6297e+07
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,1.0689e+09,4.66471e+06
8,0.1,1,1.15073e+09,1.64336e+07
8,1,10,4.34735e+08,2.75914e+07
8,10,100,976425,4.56064e+06
8,100,1000,0,0
8,1000,10000,0,0
