GridcellIndex,FunctionalGroupIndex,JuvenileMass,AdultMass,IndividualBodyMass,CohortAbundance,LogOptimalPreyBodySizeRatio,BirthTimeStep,ProportionTimeActive,TrophicIndex,IndividualReproductivePotentialMass,MaturityTimeStep,IsAdult,AgeMonths,TimeStepsJuviline,TimeStepsAdult
0,0,96.9363,50920.1,50920.1,20925.7,-2.34468,1123,0.5,2,38078.2,1175,1,76,52,24
0,0,87.0817,3282.34,3282.34,45393.6,-2.34468,1143,0.5,2,3479.66,1168,1,56,25,31
0,0,203.315,17175,17175,34561.5,-2.24328,1167,0.5,2,18106.6,1192,1,32,25,7
0,0,203.413,16477.8,16075.3,30349.8,-2.24328,1179,0.5,2,0,4294967295,0,20,20,0
0,0,652.921,57921.5,24319.8,62035.4,-2.50065,1181,0.5,2,0,4294967295,0,18,18,0
0,0,217.98,18380.8,9117.58,286.588,-2.24328,1182,0.5,2,0,4294967295,0,17,17,0
0,0,62.4936,45418.2,4596.81,108949,-2.34468,1184,0.5,2,0,4294967295,0,15,15,0
0,0,97.0875,52756.5,721.552,602287,-2.34468,1191,0.5,2,0,4294967295,0,8,8,0
0,0,88.23,3185.69,928.958,2389.04,-2.34468,1191,0.5,2,0,4294967295,0,8,8,0
0,0,2733.02,13328,13328,172368,-2.20265,1191,0.5,2,1108.97,1199,1,8,8,0
0,0,392.33,8507.63,8507.63,13.4817,-2.30151,1169,0.5,2,9848.62,1187,1,30,18,12
0,0,269.905,17335,2182.74,173048,-2.24328,1192,0.5,2,0,4294967295,0,7,7,0
0,0,386.147,8694.81,1741.03,532.107,-2.30151,1194,0.5,2,0,4294967295,0,5,5,0
0,0,88.87,3241.99,286.091,2223.51,-2.34468,1195,0.5,2,0,4294967295,0,4,4,0
0,0,206.87,18031.2,665.494,271672,-2.24328,1195,0.5,2,0,4294967295,0,4,4,0
0,0,185.807,2106.67,664.448,450853,-2.34468,1196,0.5,2,0,4294967295,0,3,3,0
0,2,236.501,9012.92,9012.92,9955.49,-2.30151,1155,0.5,2.38779,5366.89,1187,1,44,32,12
0,2,424.515,64142.2,56473.2,76726.9,-2.34468,1143,0.5,2.19648,0,4294967295,0,56,56,0
0,2,839.193,18248.7,18248.7,4540.49,-2.46243,1158,0.5,2.35544,8181.49,1187,1,41,29,12
0,2,3150.53,41822.3,41822.3,477.16,-2.20265,1170,0.5,2.25883,6367.41,1198,1,29,28,1
0,2,57.372,33859.4,8176.6,108754,-2.34468,1179,0.5,2.37066,0,4294967295,0,20,20,0
0,2,291.168,4099.27,4099.27,1204.71,-2.30151,1179,0.5,2.34973,4525.31,1185,1,20,6,14
0,2,839.193,18248.7,10407.6,57357.1,-2.46243,1191,0.5,2.48408,0,4294967295,0,8,8,0
0,2,248.707,9465.66,1481.3,364256,-2.30151,1191,0.5,2.30881,0,4294967295,0,8,8,0
0,2,309.711,4032.74,2555.03,70766.2,-2.30151,1191,0.5,2.22224,0,4294967295,0,8,8,0
0,2,291.168,4099.27,632.185,308920,-2.30151,1194,0.5,2.18752,0,4294967295,0,5,5,0
0,2,215.06,8397.32,514.982,11438.9,-2.30151,1196,0.5,2.27654,0,4294967295,0,3,3,0
0,3,4.44406,501,279.519,431468,-2.34468,1182,0,2,0,4294967295,0,17,17,0
0,3,0.187083,6.895,6.75473,1.5626e+06,-2.35147,1191,0,2,3.95485,1196,1,8,5,3
0,3,0.586225,16.0864,15.8345,1.15945e+06,-2.24328,1191,0,2,8.75503,1196,1,8,5,3
0,3,0.147599,6.4714,1.30539,6.77901e+06,-2.35147,1194,0,2,0,4294967295,0,5,5,0
0,4,30.0283,188.302,186.925,135649,-2.30426,1191,0,3.29573,25.7906,1196,1,8,5,3
0,5,0.903763,92.3929,84.2174,506164,-2.35147,1181,0,2.20083,0,4294967295,0,18,18,0
0,5,12.2835,798.281,141.069,405387,-2.24328,1191,0,2.24239,0,4294967295,0,8,8,0
0,6,1,1133.2,1128.44,34498.4,-2.34468,1099,0,2,611.265,1134,1,100,35,65
0,6,2.57092,384.099,381.847,82854.8,-2.34468,1145,0,2,268.962,1169,1,54,24,30
0,6,18.1539,956.768,952.538,21821.1,-2.34468,1167,0,2,542.449,1184,1,32,17,15
0,6,5.00726,133.309,132.224,56040,-2.50065,1167,0,2,119.637,1181,1,32,14,18
0,6,4.42119,4537.68,2310.39,139837,-2.34468,1168,0,2,0,4294967295,0,31,31,0
0,6,39.1229,284.622,282.79,372.71,-2.30426,1169,0,2,216.063,1181,1,30,12,18
0,6,1,19.5817,19.2932,243388,-2.24328,1169,0,2,25.9433,1181,1,30,12,18
0,6,4.43662,4508.46,1088.27,209789,-2.34468,1171,0,2,0,4294967295,0,28,28,0
0,6,1,1133.2,577.373,186429,-2.34468,1171,0,2,0,4294967295,0,28,28,0
0,6,1,1133.2,273.007,234478,-2.34468,1180,0,2,0,4294967295,0,19,19,0
