Month,Year,Biomass_FG_0,Biomass_FG_1,Biomass_FG_2,Biomass_FG_3,Biomass_FG_4,Biomass_FG_5,Biomass_FG_6,Biomass_FG_7,Biomass_FG_8
1, 1,7.35778e+09,1.66948e+10,1.16525e+10,5.17023e+09,3.89209e+09,5.30547e+09,3.71434e+09,3.84271e+09,3.82483e+09
2, 1,5.01358e+09,1.34916e+10,8.70651e+09,4.0615e+09,2.05462e+09,3.44701e+09,1.28631e+09,1.38942e+09,1.18906e+09
3, 1,4.16964e+09,1.05618e+10,5.94271e+09,3.68846e+09,1.83006e+09,3.09473e+09,5.682e+08,6.08528e+08,4.57595e+08
4, 1,3.90238e+09,8.27063e+09,4.35663e+09,3.21078e+09,1.62018e+09,2.68171e+09,3.44387e+08,3.46307e+08,2.5832e+08
5, 1,4.24786e+09,6.09806e+09,3.66564e+09,5.84807e+09,2.08279e+09,3.92144e+09,3.78665e+08,3.52258e+08,2.78616e+08
6, 1,4.56589e+09,5.08831e+09,3.28283e+09,1.5098e+10,2.69854e+09,7.77302e+09,5.81212e+08,5.53982e+08,3.94576e+08
7, 1,4.6437e+09,4.74403e+09,2.9189e+09,1.97704e+10,3.19204e+09,1.08471e+10,7.1434e+08,6.91716e+08,4.53832e+08
8, 1,4.36604e+09,4.51082e+09,2.55805e+09,1.90917e+10,4.6131e+09,1.40813e+10,8.30848e+08,8.69802e+08,5.15746e+08
9, 1,3.79163e+09,4.3595e+09,2.15279e+09,1.79949e+10,7.83123e+09,1.7401e+10,1.07367e+09,1.11673e+09,7.69938e+08
10, 1,3.20869e+09,4.28398e+09,1.89887e+09,1.55675e+10,6.57663e+09,1.50938e+10,8.43358e+08,8.52051e+08,5.97488e+08
11, 1,2.73882e+09,3.7809e+09,1.76484e+09,1.37763e+10,5.65058e+09,1.31711e+10,6.72066e+08,6.58674e+08,4.87149e+08
12, 1,2.38146e+09,3.14885e+09,1.61285e+09,1.21425e+10,4.81291e+09,1.14468e+10,5.63823e+08,5.40018e+08,3.94932e+08
13, 2,2.15796e+09,2.50031e+09,1.46852e+09,1.06481e+10,4.11652e+09,9.88547e+09,4.88735e+08,4.54384e+08,3.34147e+08
14, 2,2.01196e+09,1.92076e+09,1.3206e+09,9.2747e+09,3.5165e+09,8.45956e+09,4.18697e+08,3.99468e+08,2.96718e+08
15, 2,1.8467e+09,1.37081e+09,1.16724e+09,7.9915e+09,2.99723e+09,7.11853e+09,3.70455e+08,3.62857e+08,2.68972e+08
16, 2,1.91791e+09,1.13029e+09,1.15158e+09,6.80701e+09,2.57454e+09,5.91861e+09,3.31283e+08,3.35203e+08,2.46396e+08
17, 2,1.96146e+09,9.10538e+08,1.29454e+09,9.45474e+09,2.35911e+09,6.98095e+09,3.82097e+08,5.02611e+08,3.23497e+08
18, 2,2.4635e+09,7.6961e+08,1.69514e+09,1.27363e+10,3.55486e+09,8.6327e+09,6.16655e+08,9.00334e+08,5.84475e+08
19, 2,3.0815e+09,8.03673e+08,2.09309e+09,1.27007e+10,4.28752e+09,1.02958e+10,7.03079e+08,1.16413e+09,8.30766e+08
20, 2,3.80483e+09,7.39275e+08,2.40925e+09,1.22291e+10,4.31715e+09,1.11648e+10,8.23604e+08,2.07605e+09,1.16849e+09
21, 2,4.4881e+09,7.57298e+08,3.60788e+09,1.04908e+10,4.49492e+09,1.03847e+10,9.88886e+08,3.00088e+09,1.63596e+09
22, 2,5.26221e+09,8.61654e+08,4.78263e+09,7.6143e+09,3.13249e+09,7.48311e+09,6.51501e+08,2.22171e+09,1.17012e+09
23, 2,5.46345e+09,9.54462e+08,5.27512e+09,5.55381e+09,2.26579e+09,5.90383e+09,3.50834e+08,1.47383e+09,8.42854e+08
24, 2,5.4273e+09,9.19691e+08,4.82658e+09,4.59034e+09,1.68269e+09,5.07295e+09,2.39226e+08,1.09372e+09,6.49165e+08
25, 3,5.37546e+09,8.43338e+08,4.61571e+09,3.98772e+09,1.29347e+09,4.33468e+09,1.81209e+08,8.91218e+08,5.40117e+08
26, 3,5.33293e+09,7.41132e+08,4.01365e+09,3.49159e+09,1.02706e+09,3.79507e+09,1.51056e+08,7.49492e+08,4.47405e+08
27, 3,5.29264e+09,6.10922e+08,3.46731e+09,3.07276e+09,8.33822e+08,3.34459e+09,1.30083e+08,6.44122e+08,3.76673e+08
28, 3,5.69032e+09,6.13712e+08,3.45765e+09,2.8425e+09,7.03731e+08,2.95294e+09,1.1453e+08,5.7224e+08,3.335e+08
29, 3,5.56098e+09,5.47375e+08,3.48642e+09,2.6076e+09,5.68447e+08,2.82983e+09,1.24232e+08,4.91851e+08,3.94339e+08
30, 3,5.75825e+09,6.39622e+08,3.51937e+09,2.57705e+09,5.9234e+08,2.81725e+09,1.56825e+08,7.20842e+08,4.9087e+08
31, 3,6.07487e+09,7.68229e+08,3.52033e+09,3.13225e+09,4.74247e+08,2.84569e+09,1.74804e+08,8.51212e+08,5.15526e+08
32, 3,6.83905e+09,8.5827e+08,3.65351e+09,3.4787e+09,5.01801e+08,3.12465e+09,2.24201e+08,1.02278e+09,5.97486e+08
33, 3,7.479e+09,1.13389e+09,3.75783e+09,3.99791e+09,5.82536e+08,3.07355e+09,2.9905e+08,1.17861e+09,7.54726e+08
34, 3,8.45802e+09,1.2453e+09,4.03398e+09,3.24028e+09,3.59574e+08,2.51772e+09,2.32735e+08,8.90178e+08,5.64111e+08
35, 3,9.09916e+09,1.39344e+09,4.30318e+09,2.75277e+09,2.44281e+08,2.17968e+09,1.85686e+08,7.00995e+08,3.5607e+08
36, 3,9.39505e+09,1.52555e+09,4.05892e+09,2.41621e+09,1.9044e+08,1.93197e+09,1.5063e+08,5.38946e+08,2.49295e+08
37, 4,9.41253e+09,1.53582e+09,3.88713e+09,2.17935e+09,1.49899e+08,1.71614e+09,1.28473e+08,4.48691e+08,1.99342e+08
38, 4,9.15767e+09,1.37892e+09,3.72913e+09,1.95702e+09,1.21821e+08,1.50499e+09,1.09214e+08,3.76845e+08,1.5162e+08
39, 4,8.90418e+09,1.18585e+09,3.58751e+09,1.75491e+09,9.83742e+07,1.28379e+09,9.47961e+07,3.16746e+08,1.17098e+08
40, 4,9.44755e+09,1.03552e+09,3.6293e+09,1.56253e+09,8.56042e+07,1.0627e+09,8.52948e+07,2.79229e+08,1.04672e+08
41, 4,8.81602e+09,1.15236e+09,3.70244e+09,1.98453e+09,1.16198e+08,1.32412e+09,1.00363e+08,3.64272e+08,1.33495e+08
42, 4,8.6239e+09,1.33841e+09,3.50575e+09,2.46716e+09,1.60327e+08,2.08755e+09,1.41496e+08,5.7039e+08,2.02259e+08
43, 4,8.53786e+09,1.48281e+09,3.4457e+09,2.59885e+09,1.79376e+08,2.53066e+09,1.70178e+08,7.24813e+08,2.55722e+08
44, 4,8.51944e+09,1.60452e+09,3.44863e+09,2.7501e+09,2.45527e+08,3.03462e+09,2.01235e+08,9.61842e+08,3.39292e+08
45, 4,8.53134e+09,1.65561e+09,3.54035e+09,2.73403e+09,3.33287e+08,3.24906e+09,2.68525e+08,1.3035e+09,4.38806e+08
46, 4,8.91545e+09,1.78293e+09,3.76085e+09,2.00301e+09,2.44441e+08,2.79506e+09,2.13665e+08,1.01036e+09,3.08033e+08
47, 4,9.10894e+09,1.42299e+09,3.828e+09,1.84053e+09,1.73303e+08,2.38393e+09,1.73816e+08,8.12377e+08,2.2008e+08
