GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,1.73081e+10
0,1,2.135e+11
1,0,2.05286e+10
1,1,1.38162e+11
2,0,2.34516e+10
2,1,2.30412e+11
3,0,5.36392e+10
3,1,5.0825e+11
4,0,6.05378e+10
4,1,3.06358e+11
5,0,7.5272e+10
5,1,7.1165e+11
6,0,5.41815e+10
6,1,2.27382e+11
7,0,6.2519e+10
7,1,2.89097e+11
8,0,4.64519e+10
8,1,2.66908e+11
9,0,5.87397e+10
9,1,3.13488e+11
10,0,7.69754e+10
10,1,7.97041e+11
11,0,4.19446e+10
11,1,3.99988e+11
12,0,4.85884e+10
12,1,4.37287e+11
13,0,3.90128e+10
13,1,1.88274e+11
14,0,1.83426e+10
14,1,1.36328e+11
15,0,1.79929e+10
15,1,1.63774e+11
16,0,1.13161e+10
16,1,1.8978e+11
17,0,2.61236e+10
17,1,1.92333e+11
18,0,2.99127e+10
18,1,2.15289e+11
19,0,1.82235e+10
19,1,1.72963e+11
20,0,2.87248e+10
20,1,2.17338e+11
21,0,3.48095e+10
21,1,1.81773e+11
22,0,6.06794e+10
22,1,4.73017e+11
23,0,5.6847e+10
23,1,2.33799e+11
24,0,7.39002e+10
24,1,5.4912e+11
25,0,3.46108e+10
25,1,1.8832e+11
26,0,4.2666e+10
26,1,2.00369e+11
27,0,4.57352e+10
27,1,2.01279e+11
28,0,6.85298e+09
28,1,1.46652e+11
29,0,4.89854e+09
29,1,1.22875e+11
30,0,2.71558e+10
30,1,2.76747e+11
31,0,1.6218e+10
31,1,1.37346e+11
32,0,1.76607e+10
32,1,2.09618e+11
33,0,2.5696e+10
33,1,1.69017e+11
34,0,4.7531e+10
34,1,4.24592e+11
35,0,2.0506e+10
35,1,1.71596e+11
36,0,4.48347e+10
36,1,3.3469e+11
37,0,6.2273e+10
37,1,3.78019e+11
38,0,6.35464e+10
38,1,3.65375e+11
39,0,4.57151e+10
39,1,3.11236e+11
40,0,1.72195e+10
40,1,1.6686e+11
41,0,4.0234e+10
41,1,2.76536e+11
42,0,1.10823e+09
42,1,3.01215e+10
43,0,1.82947e+10
43,1,2.58536e+11
44,0,2.04243e+10
44,1,1.60211e+11
45,0,1.76037e+10
45,1,2.49595e+11
46,0,1.24611e+10
46,1,1.06794e+11
47,0,2.91649e+10
47,1,3.5305e+11
48,0,3.53855e+10
48,1,2.41506e+11
49,0,1.40827e+10
49,1,1.15776e+11
50,0,1.49989e+10
50,1,1.28924e+11
51,0,1.56974e+10
51,1,1.79493e+11
52,0,2.76195e+10
52,1,2.19605e+11
53,0,2.89661e+10
53,1,1.48048e+11
54,0,3.68858e+10
54,1,2.74937e+11
55,0,4.19636e+10
55,1,2.27832e+11
56,0,2.9537e+10
56,1,2.0578e+11
57,0,2.29727e+10
57,1,1.12222e+11
58,0,1.75473e+10
58,1,1.76166e+11
59,0,1.8528e+10
59,1,2.48885e+11
60,0,1.67494e+09
60,1,4.70851e+10
61,0,6.55864e+09
61,1,1.41849e+11
62,0,7.09496e+09
62,1,1.24971e+11
63,0,1.49794e+10
63,1,1.32634e+11
64,0,3.7858e+09
64,1,1.02012e+11
65,0,1.56877e+10
65,1,1.34906e+11
66,0,1.65741e+10
66,1,1.86267e+11
67,0,2.86054e+10
67,1,3.34217e+11
68,0,4.09612e+10
68,1,3.80569e+11
69,0,3.97315e+10
69,1,2.02717e+11
70,0,4.89453e+10
70,1,2.26228e+11
71,0,3.19028e+10
71,1,1.80866e+11
72,0,3.69821e+10
72,1,2.71234e+11
73,0,1.81952e+10
73,1,2.52884e+11
74,0,1.65465e+10
74,1,1.57844e+11
75,0,0.456194
75,1,4.96443e+08
76,0,3.41432e+09
76,1,9.14174e+10
77,0,1.6407e+10
77,1,2.20486e+11
78,0,1.30412e+10
78,1,1.37182e+11
79,0,1.35418e+10
79,1,1.19833e+11
80,0,1.11294e+10
80,1,8.5687e+10
81,0,1.4522e+10
81,1,1.06608e+11
82,0,2.17642e+10
82,1,1.9162e+11
83,0,2.21917e+10
83,1,1.45862e+11
