Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
11551.2,1,1000,H,Endo,1.41981e+08
11551.2,1,10000,H,Endo,1.30414e+09
11551.2,1,1000,O,Ecto,2.66044e+06
11551.2,1,10000,O,Ecto,106387
11551.2,1,1000,O,Endo,279425
11551.2,1,10000,O,Endo,4.08009e+07
11551.2,1,1000,C,Ecto,1.08162e+07
11551.2,1,10000,C,Ecto,1.08319e+06
11551.2,1,10000,C,Endo,2.37801e+09
30291.5,1,100,H,Ecto,0.159764
30291.5,1,100,H,Endo,5.87329e+06
30291.5,1,1000,H,Endo,5.80656e+07
30291.5,1,10000,H,Endo,1.28063e+06
30291.5,1,100,O,Ecto,4071.74
30291.5,1,1000,O,Ecto,630974
30291.5,1,10000,O,Ecto,117.392
30291.5,1,1000,O,Endo,4.54628e+07
30291.5,1,10000,O,Endo,6.72992e+06
30291.5,1,100,C,Ecto,38.869
30291.5,1,1000,C,Ecto,4.31232e+06
30291.5,1,10000,C,Ecto,165015
30291.5,1,10000,C,Endo,9.96068e+08
12784.4,1,10,H,Ecto,188181
12784.4,1,100,H,Ecto,1.40554e+08
12784.4,1,1000,H,Ecto,4.98094e+06
12784.4,1,10,H,Endo,24244.3
12784.4,1,100,H,Endo,4.36586e+06
12784.4,1,1000,H,Endo,1.09516e+06
12784.4,1,10000,H,Endo,133.756
12784.4,1,10,O,Ecto,60524.9
12784.4,1,100,O,Ecto,1.42129e+08
12784.4,1,1000,O,Ecto,1.3465e+08
12784.4,1,100,O,Endo,2.30762e+08
12784.4,1,1000,O,Endo,2.87739e+08
12784.4,1,10000,O,Endo,828184
12784.4,1,100,C,Ecto,2.32406e+08
12784.4,1,1000,C,Ecto,4.02149e+08
12784.4,1,10000,C,Ecto,261.982
26928,1,10,H,Ecto,1.39192e+06
26928,1,100,H,Ecto,1.23306e+09
26928,1,1000,H,Ecto,6.4939e+06
26928,1,10,H,Endo,25098
26928,1,100,H,Endo,1.91861e+07
26928,1,1000,H,Endo,915639
26928,1,10000,H,Endo,809.13
26928,1,10,O,Ecto,265180
26928,1,100,O,Ecto,1.55709e+08
26928,1,1000,O,Ecto,4.25797e+08
26928,1,100,O,Endo,2.46498e+09
26928,1,1000,O,Endo,1.26431e+09
26928,1,10000,O,Endo,4.18513e+06
26928,1,100,C,Ecto,8.86318e+07
26928,1,1000,C,Ecto,6.49526e+08
26928,1,10000,C,Ecto,746.617
26928,1,10000,C,Endo,1.33806e+08
31800,2,100,H,Ecto,2.89903e-05
31800,2,100,H,Endo,986.375
31800,2,1000,H,Endo,5422
31800,2,10000,H,Endo,116.233
31800,2,100,O,Ecto,0.73769
31800,2,1000,O,Ecto,48.553
31800,2,10000,O,Ecto,0.00689811
31800,2,1000,O,Endo,7442.82
31800,2,10000,O,Endo,620.067
31800,2,100,C,Ecto,0.00771171
31800,2,1000,C,Ecto,474.25
31800,2,10000,C,Ecto,28.284
31800,2,10000,C,Endo,68671.6
9788.87,2,100,H,Ecto,659.811
9788.87,2,1000,H,Ecto,7118.61
9788.87,2,100,H,Endo,265351
9788.87,2,1000,H,Endo,2345.46
9788.87,2,10000,H,Endo,0.191411
9788.87,2,100,O,Ecto,95.6733
9788.87,2,1000,O,Ecto,4522.49
9788.87,2,100,O,Endo,6247.08
9788.87,2,1000,O,Endo,250708
9788.87,2,10000,O,Endo,37.1622
9788.87,2,100,C,Ecto,2.96034
9788.87,2,1000,C,Ecto,2061.26
9788.87,2,10000,C,Ecto,601.027
9788.87,2,10000,C,Endo,97417.9
16839.5,2,100,H,Ecto,11.326
16839.5,2,1000,H,Ecto,133.314
16839.5,2,100,H,Endo,757.788
16839.5,2,1000,H,Endo,77.1623
16839.5,2,10000,H,Endo,0.135977
16839.5,2,100,O,Ecto,0.888513
16839.5,2,1000,O,Ecto,50.2444
16839.5,2,1000,O,Endo,5886.44
16839.5,2,10000,O,Endo,16.6805
16839.5,2,100,C,Ecto,0.0172498
16839.5,2,1000,C,Ecto,49.5077
16839.5,2,10000,C,Ecto,3.04478
16839.5,2,10000,C,Endo,3595.32
255.861,2,10,H,Ecto,33877.7
255.861,2,100,H,Ecto,1.50883e+06
255.861,2,10,H,Endo,2.05237
255.861,2,100,H,Endo,1.24088e+08
255.861,2,1000,H,Endo,236415
255.861,2,10000,H,Endo,198.667
255.861,2,10,O,Ecto,101999
255.861,2,100,O,Ecto,1.4055e+06
255.861,2,1000,O,Ecto,466057
255.861,2,100,O,Endo,1.75714e+09
255.861,2,1000,O,Endo,209629
255.861,2,10000,O,Endo,0.0198899
255.861,2,100,C,Ecto,509650
255.861,2,1000,C,Ecto,137823
255.861,2,10000,C,Endo,456.503
12969.4,2,100,H,Ecto,239.731
12969.4,2,1000,H,Ecto,2562.34
12969.4,2,100,H,Endo,131044
12969.4,2,1000,H,Endo,1736.54
12969.4,2,10000,H,Endo,3.06066
12969.4,2,100,O,Ecto,74.3612
12969.4,2,1000,O,Ecto,2441.45
12969.4,2,100,O,Endo,21772.9
12969.4,2,1000,O,Endo,107999
12969.4,2,10000,O,Endo,91.9822
12969.4,2,100,C,Ecto,0.730284
12969.4,2,1000,C,Ecto,878.524
12969.4,2,10000,C,Ecto,79.8083
12969.4,2,10000,C,Endo,228541
2040.29,2,10,H,Ecto,399610
2040.29,2,100,H,Ecto,3.67392e+06
2040.29,2,10,H,Endo,68.0813
2040.29,2,100,H,Endo,3.21405e+06
2040.29,2,1000,H,Endo,101793
2040.29,2,10000,H,Endo,655.892
2040.29,2,10,O,Ecto,261585
2040.29,2,100,O,Ecto,9.09738e+06
2040.29,2,1000,O,Ecto,1.95105e+06
2040.29,2,100,O,Endo,5.10122e+08
2040.29,2,1000,O,Endo,2.79158e+06
2040.29,2,10000,O,Endo,4.86625
2040.29,2,100,C,Ecto,5.05844e+06
2040.29,2,1000,C,Ecto,6.55081e+06
2040.29,2,10000,C,Endo,86957.9
1225.45,2,10,H,Ecto,20378.7
1225.45,2,100,H,Ecto,4.03084e+06
1225.45,2,1000,H,Ecto,18388.2
1225.45,2,10,H,Endo,53.0004
1225.45,2,100,H,Endo,370401
1225.45,2,1000,H,Endo,2787.28
1225.45,2,10000,H,Endo,1534.65
1225.45,2,10,O,Ecto,3403.03
1225.45,2,100,O,Ecto,5.37961e+06
1225.45,2,1000,O,Ecto,1.6129e+06
1225.45,2,100,O,Endo,1.19986e+06
1225.45,2,1000,O,Endo,1.89241e+06
1225.45,2,10000,O,Endo,2520.39
1225.45,2,100,C,Ecto,4.03301e+06
1225.45,2,1000,C,Ecto,7.90654e+06
1225.45,2,10000,C,Endo,584871
31800,2,10,H,Ecto,38.9155
31800,2,100,H,Ecto,638143
31800,2,1000,H,Ecto,133195
31800,2,10,H,Endo,6.11741
