GridcellIndex,Cohort_FunctionalGroupIndex,Cohort_AdultMass,Cohort_Consumed_Autotroph,Cohort_Consumed_Herbivore,Cohort_Consumed_Omnivore,Cohort_Consumed_Carnivore
0,0,901.492,378682,0,0,0
0,0,85423.4,3.88771e+08,0,0,0
0,0,6747.08,1.42436e+08,0,0,0
0,0,127.875,1.20733e+08,0,0,0
0,0,2805.02,4.04542e+07,0,0,0
0,0,440.166,6.15554e+07,0,0,0
0,0,2594,2.79154e+08,0,0,0
0,0,88017.2,1.08731e+09,0,0,0
0,0,12787.2,3.37485e+07,0,0,0
0,0,440.166,1.32514e+09,0,0,0
0,0,6747.08,9.84628e+08,0,0,0
0,0,121.619,1.17052e+08,0,0,0
0,0,437.555,7.54685e+09,0,0,0
0,0,2624.01,1.25714e+07,0,0,0
0,0,16103.9,6.60298e+08,0,0,0
0,0,1380.85,6.8581e+06,0,0,0
0,0,446.229,2.20782e+09,0,0,0
0,0,127.875,1.40606e+06,0,0,0
0,0,881.209,4.12896e+06,0,0,0
0,0,127.875,2.52446e+08,0,0,0
0,0,7244.04,2.70976e+10,0,0,0
0,0,2359.68,6.54524e+06,0,0,0
0,0,12787.2,3.40782e+08,0,0,0
0,0,92.0748,4.20056e+08,0,0,0
0,0,440.673,8.93834e+07,0,0,0
0,0,2805.02,1.19723e+07,0,0,0
0,0,6892.68,1.36822e+07,0,0,0
0,1,11551.2,0,4.11399e+07,1.33652e+06,9.92932e+07
0,1,30291.5,0,1.65476e+07,6.64423e+06,5.94962e+07
0,1,28863.4,0,8.89617e+07,3.72686e+07,3.26425e+08
0,1,12384,0,3.59513e+08,2.5351e+08,2.13125e+08
0,1,11844.8,0,1.40024e+07,6.41632e+06,6.13867e+07
0,1,29466.1,0,5.60012e+07,2.92649e+07,1.60432e+08
0,1,13397.7,0,1.10168e+08,2.61849e+07,4.50436e+08
0,2,16839.5,3.7524e+07,4.28956e+06,49821.9,50479.3
0,2,255.861,5.53328e+07,221719,2.53492e+06,461092
0,2,2040.29,7.37955e+07,1.01493e+08,7.8043e+07,103142
0,2,1225.45,3.07413e+07,6.68074e+06,6.62769e+07,14306.5
0,2,279.134,3.15352e+09,1.20546e+07,1.29019e+08,2.25512e+07
0,2,18095.6,5.35655e+07,1.49851e+08,4.92115e+06,333975
0,2,770.122,1.40289e+09,4.34174e+06,2.64757e+07,1.02821e+07
0,2,251.733,2.47735e+09,2.0076e+06,3.27264e+06,6.65375e+06
0,2,1225.45,4.44137e+08,9.92971e+07,9.21974e+08,192182
0,2,111.036,1.95748e+10,5.63102e+06,3.93019e+06,1.80151e+07
0,3,445.637,0,0,0,0
0,3,436.801,0,0,0,0
0,3,214.198,0,0,0,0
0,4,399.366,0,0,0,0
0,5,373.462,0,0,0,0
0,5,36.7221,0,0,0,0
0,6,767.929,0,0,0,0
0,6,66.3454,0,0,0,0
0,6,332.499,0,0,0,0
0,6,118.44,0,0,0,0
0,6,767.929,0,0,0,0
0,6,767.929,0,0,0,0
0,6,65.9186,0,0,0,0
0,6,63.9776,0,0,0,0
0,6,332.499,0,0,0,0
0,6,69.7413,0,0,0,0
0,6,767.929,0,0,0,0
0,6,111.328,0,0,0,0
0,6,5641.67,0,0,0,0
0,6,23992.3,0,0,0,0
0,7,607.147,0,0,0,0
0,7,4843.26,0,0,0,0
0,7,24948.5,0,0,0,0
0,7,198.337,0,0,0,0
0,7,38494.9,0,0,0,0
0,7,2482.28,0,0,0,0
0,7,67577.4,0,0,0,0
0,7,211.728,0,0,0,0
0,7,2558.59,0,0,0,0
0,7,4843.26,0,0,0,0
0,7,27099.8,0,0,0,0
0,7,4732.54,0,0,0,0
0,7,2536.04,0,0,0,0
0,7,60058.4,0,0,0,0
0,7,2503.55,0,0,0,0
0,8,4127.67,0,0,0,0
0,8,63.2371,0,0,0,0
0,8,770.694,0,0,0,0
0,8,227.027,0,0,0,0
0,8,14552.6,0,0,0,0
0,8,121.36,0,0,0,0
0,8,836.524,0,0,0,0
0,8,1701.71,0,0,0,0
0,8,4127.67,0,0,0,0
0,8,63.2371,0,0,0,0
0,8,14552.6,0,0,0,0
0,8,63.5103,0,0,0,0
0,8,4649.89,0,0,0,0
0,8,63.2371,0,0,0,0
0,8,755.466,0,0,0,0
0,8,117.525,0,0,0,0
0,8,2935.77,0,0,0,0
1,0,2831.99,209452,0,0,0
1,0,5388.65,7.2007e+06,0,0,0
1,0,660.086,3.16089e+06,0,0,0
1,0,2838.42,1.32344e+07,0,0,0
1,0,22165.8,7.56834e+08,0,0,0
1,0,108.608,5.44202e+08,0,0,0
1,0,68.1469,4.66046e+06,0,0,0
1,0,1038.85,2.28486e+10,0,0,0
1,0,723.705,1.13124e+10,0,0,0
1,0,73.0166,1.53609e+10,0,0,0
1,0,6369.31,2.13098e+09,0,0,0
1,0,1399.62,9.31761e+09,0,0,0
1,0,5408.64,3.88833e+07,0,0,0
1,0,112.618,9.89197e+09,0,0,0
1,0,108.608,2.32856e+09,0,0,0
1,0,2817.62,1.2397e+10,0,0,0
1,0,1014.9,5.36705e+09,0,0,0
1,0,5030.13,5.32127e+09,0,0,0
1,0,660.086,2.14847e+10,0,0,0
1,0,2602.1,2.20716e+07,0,0,0
1,0,69.0751,1.93495e+09,0,0,0
1,0,975.454,2.33555e+08,0,0,0
1,0,20267.3,4.96513e+09,0,0,0
1,0,660.086,1.32138e+09,0,0,0
1,0,108.608,7.57386e+08,0,0,0
1,0,1468.1,2.13284e+08,0,0,0
1,0,87910.5,2.72233e+09,0,0,0
1,0,21770,3.95152e+07,0,0,0
1,0,18982.3,3.52973e+06,0,0,0
1,1,34757.3,0,1.68411e+06,860092,71111.5
1,1,26928,0,5.14792e+09,2.24673e+09,1.73888e+08
1,1,30291.5,0,1.88227e+09,1.1602e+09,5.40656e+07
1,1,12784.4,0,3.87033e+09,2.59151e+09,7.17839e+08
1,1,34118.7,0,4.241e+07,2.12285e+07,1.39815e+06
1,2,29515.7,1.92864e+07,6.46275e+07,1.31135e+07,2.04636e+06
1,2,2138.84,3.89775e+07,3.02219e+08,8.68845e+08,5.1626e+06
1,2,5934.44,1.89075e+07,2.32745e+08,1.29138e+07,3.53721e+06
1,2,180.317,1.55995e+09,3.84733e+08,9.74583e+06,0
1,2,3755.66,4.04313e+08,4.71076e+09,8.47955e+08,8.98026e+07
1,2,29171,8.55805e+08,3.79134e+09,5.36626e+08,8.52411e+07
1,2,180.317,4.59966e+09,1.02999e+09,6.45489e+07,0
1,2,2259.07,1.06335e+10,3.18707e+08,2.2521e+07,0
1,2,189.909,2.71891e+09,7.90809e+07,7.5345e+06,0
1,2,2138.84,3.34249e+09,3.63967e+06,1.88422e+06,0
1,2,3937.99,2.18201e+09,1.6828e+10,4.01292e+09,4.63054e+08
1,2,175.099,1.44946e+09,1.29388e+06,690633,0
1,2,31800,4.72328e+08,7.56283e+08,4.68385e+08,3.06776e+07
1,2,9926.73,2.44502e+07,1.38609e+08,1.02249e+07,3.90611e+06
1,3,27.6374,0,0,0,0
1,3,48.5308,0,0,0,0
1,3,4.37747,0,0,0,0
1,3,9.79839,0,0,0,0
1,5,23.0724,0,0,0,0
1,5,23.0724,0,0,0,0
1,6,544.082,0,0,0,0
1,6,3461.17,0,0,0,0
1,6,975.865,0,0,0,0
1,6,63.3665,0,0,0,0
1,6,239.843,0,0,0,0
1,6,9167.06,0,0,0,0
1,6,2015.96,0,0,0,0
1,6,2188.16,0,0,0,0
1,6,23992.3,0,0,0,0
1,6,544.082,0,0,0,0
1,6,58.9431,0,0,0,0
1,6,2039.38,0,0,0,0
1,6,532.769,0,0,0,0
1,6,1002.61,0,0,0,0
1,6,63.3665,0,0,0,0
1,7,2059.59,0,0,0,0
1,7,1179.34,0,0,0,0
1,7,4207.04,0,0,0,0
1,7,19909.8,0,0,0,0
1,7,13514.5,0,0,0,0
1,7,215.546,0,0,0,0
1,7,1249.31,0,0,0,0
1,7,220.723,0,0,0,0
1,7,1133.97,0,0,0,0
1,7,24948.5,0,0,0,0
1,8,1248.98,0,0,0,0
1,8,234.861,0,0,0,0
1,8,3784.19,0,0,0,0
1,8,160.351,0,0,0,0
1,8,93.8689,0,0,0,0
1,8,8856.79,0,0,0,0
1,8,87.7939,0,0,0,0
1,8,242.074,0,0,0,0
1,8,235.168,0,0,0,0
1,8,1248.98,0,0,0,0
1,8,88.4554,0,0,0,0
1,8,2958.33,0,0,0,0
1,8,1236.58,0,0,0,0
1,8,160.45,0,0,0,0
1,8,89.1133,0,0,0,0
2,0,1572.06,2.40199e+08,0,0,0
2,0,5591.12,1.00678e+10,0,0,0
2,0,414.878,3.91218e+08,0,0,0
2,0,104.783,1.93912e+07,0,0,0
2,0,6311.33,1.34531e+08,0,0,0
2,0,989.777,7.22056e+07,0,0,0
2,0,11855.5,4.25764e+07,0,0,0
2,0,169.186,6.10339e+08,0,0,0
2,0,5615.25,1.5221e+10,0,0,0
2,0,892.466,2.43781e+09,0,0,0
2,0,1397.5,3.10459e+10,0,0,0
2,0,1031.7,2.25158e+09,0,0,0
2,0,414.878,3.11545e+06,0,0,0
2,0,1013.19,4.53735e+08,0,0,0
2,0,387.275,41197.8,0,0,0
2,0,1441.17,1.19997e+10,0,0,0
2,0,100.898,603.404,0,0,0
2,0,5591.12,3.76144e+10,0,0,0
2,0,177.972,1.3437e+06,0,0,0
2,0,414.878,4.46988e+08,0,0,0
2,0,181.631,18443.5,0,0,0
2,0,104.783,64735.9,0,0,0
2,0,987.981,8.47388e+08,0,0,0
