FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,0,0
0,1,10,1.08031e+08,1.06613e+08
0,10,100,4.19839e+08,1.25859e+09
0,100,1000,3.29791e+07,2.65647e+08
0,1000,10000,47823.5,9.2839e+06
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,0,0
2,1,10,2.24555e+06,4.22745e+06
2,10,100,6.04504e+07,2.0351e+08
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,1.29355e+09,825486
3,0.01,0.1,1.3764e+09,3.60679e+06
3,0.1,1,2.96022e+07,1.43259e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,3.66754e+06,80306.1
4,0.1,1,1.51308e+07,615849
4,1,10,785927,644195
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,7.26465e+07,95330.1
5,0.01,0.1,7.94878e+08,3.1681e+06
5,0.1,1,1.88102e+08,1.76342e+06
5,1,10,3.09577e+06,552692
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,2.0678e+09,1.49793e+07
6,0.1,1,4.63639e+09,1.12224e+08
6,1,10,1.2985e+09,1.78685e+08
6,10,100,4.16758e+07,4.511e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,1.91525e+07,340742
7,0.1,1,2.28063e+08,1.71472e+07
7,1,10,4.06592e+08,1.10814e+08
7,10,100,6.57562e+07,1.099e+08
7,100,1000,1.83884e+06,6.31244e+06
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,1.64748e+09,1.07668e+07
8,0.1,1,2.4848e+09,7.83775e+07
8,1,10,6.7628e+08,1.32196e+08
8,10,100,8.13124e+06,7.37696e+06
8,100,1000,0,0
8,1000,10000,0,0
