FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,0,0
0,1,10,9.75008e+07,1.88988e+08
0,10,100,3.5487e+08,1.69943e+09
0,100,1000,2.04938e+07,3.28877e+08
0,1000,10000,38422.3,1.2601e+07
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,0,0
2,1,10,3.53495e+06,9.09228e+06
2,10,100,4.8287e+07,2.49626e+08
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,1.67011e+09,1.41365e+06
3,0.01,0.1,3.31721e+09,5.19249e+06
3,0.1,1,3.2173e+07,2.26364e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,1.83076e+06,107897
4,0.1,1,1.71e+07,1.21726e+06
4,1,10,375364,741127
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,2.04137e+08,188276
5,0.01,0.1,3.79878e+09,3.64101e+06
5,0.1,1,4.39315e+07,3.00269e+06
5,1,10,962559,871466
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,3.60371e+09,2.21099e+07
6,0.1,1,5.02787e+09,1.53735e+08
6,1,10,1.45672e+09,2.482e+08
6,10,100,4.66165e+07,4.94585e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,1.94863e+07,436996
7,0.1,1,2.40455e+08,2.22434e+07
7,1,10,5.29844e+08,1.49199e+08
7,10,100,8.2642e+07,1.27887e+08
7,100,1000,2.16246e+06,1.03971e+07
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,1.89046e+09,1.52899e+07
8,0.1,1,2.29755e+09,1.10314e+08
8,1,10,7.39452e+08,1.75545e+08
8,10,100,7.71001e+06,8.82812e+06
8,100,1000,0,0
8,1000,10000,0,0
