FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,0,0
0,1,10,1.10048e+08,1.89611e+08
0,10,100,4.65087e+08,1.74424e+09
0,100,1000,2.16177e+07,3.30509e+08
0,1000,10000,39622.1,1.22457e+07
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,0,0
2,1,10,3.99197e+06,8.51945e+06
2,10,100,5.74255e+07,2.49416e+08
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,1.85172e+09,1.61303e+06
3,0.01,0.1,3.59106e+09,5.63489e+06
3,0.1,1,3.51689e+07,2.53524e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,2.04617e+06,125159
4,0.1,1,1.80862e+07,1.29942e+06
4,1,10,436421,862533
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,2.19444e+08,206351
5,0.01,0.1,4.25926e+09,3.96535e+06
5,0.1,1,4.71553e+07,3.30425e+06
5,1,10,1.16669e+06,1.05493e+06
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,3.82751e+09,2.45437e+07
6,0.1,1,5.3282e+09,1.70022e+08
6,1,10,1.55648e+09,2.72304e+08
6,10,100,5.03469e+07,5.45446e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,2.06284e+07,475985
7,0.1,1,2.55768e+08,2.44891e+07
7,1,10,5.70788e+08,1.63901e+08
7,10,100,9.06699e+07,1.38875e+08
7,100,1000,2.30628e+06,1.10037e+07
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,2.00167e+09,1.65447e+07
8,0.1,1,2.44525e+09,1.2197e+08
8,1,10,7.93492e+08,1.91713e+08
8,10,100,8.20556e+06,9.47495e+06
8,100,1000,0,0
8,1000,10000,0,0
