GridcellIndex,FunctionalGroupIndex,JuvenileMass,AdultMass,IndividualBodyMass,CohortAbundance,LogOptimalPreyBodySizeRatio,BirthTimeStep,ProportionTimeActive,TrophicIndex,IndividualReproductivePotentialMass,MaturityTimeStep,IsAdult,AgeMonths,TimeStepsJuviline,TimeStepsAdult
0,0,746.855,37743.9,37743.9,162.49,-2.50065,51,0.5,2,22903.9,83,1,57,32,25
0,0,7083.12,83660.1,83660.1,348.934,-2.46243,67,0.5,2,44353.2,92,1,41,25,16
0,0,916.581,19926.1,19926.1,61937.9,-2.20265,87,0.5,2,231.905,108,1,21,21,0
0,0,2068.44,118782,94775.2,220495,-2.18799,75,0.5,2,3.07106,4294967295,0,33,33,0
0,0,230.396,13652.5,13652.5,38436.8,-2.24328,69,0.5,2,9111.87,92,1,39,23,16
0,0,516.683,9016.11,9016.11,124.471,-2.30151,88,0.5,2,678.934,107,1,20,19,1
0,0,525.129,7991.54,2551.79,7562.2,-2.30151,99,0.5,2,0,4294967295,0,9,9,0
0,0,2348.1,114892,10930.1,393.344,-2.18799,99,0.5,2,0,4294967295,0,9,9,0
0,0,238.866,13177.8,469.654,19087.9,-2.24328,99,0.5,2,0,4294967295,0,9,9,0
0,0,4143.31,71665.9,71665.9,67946.7,-2.46243,79,0.5,2,37066,103,1,29,24,5
0,0,750.903,37078.3,1453.75,15391,-2.50065,103,0.5,2,0,4294967295,0,5,5,0
0,0,257.207,32921.8,6914.55,1244.22,-2.34468,91,0.5,2,0,4294967295,0,17,17,0
0,0,4117.3,74834.9,37699.5,580697,-2.46243,91,0.5,2,5795.75,4294967295,0,17,17,0
0,2,412.777,40469.5,8663.08,1087.74,-2.34468,99,0.5,2.76535,0,4294967295,0,9,9,0
0,2,517.23,12554.2,8604.71,18218.6,-2.30426,100,0.5,2.77971,10.022,4294967295,0,8,8,0
0,2,408.914,40737,3908.16,29638.8,-2.34468,103,0.5,3.45465,0,4294967295,0,5,5,0
0,3,4.45009,430.716,175.848,2.66605e+06,-2.34468,90,0,2,0,4294967295,0,18,18,0
0,3,0.974905,56.6736,22.7758,2.6055e+06,-2.71651,99,0,2,0,4294967295,0,9,9,0
0,3,0.17154,4.58214,4.43394,3.47286e+06,-2.35147,99,0,2,1.01461,105,1,9,6,3
0,5,1.02899,100.554,86.7569,1.4888e+06,-2.35147,87,0,2,0,4294967295,0,21,21,0
0,5,10.0001,720.111,71.4413,2.89529e+06,-2.24328,100,0,2,0,4294967295,0,8,8,0
0,6,8.38823,1343.66,1336.15,136079,-2.34468,65,0,2,976.434,100,1,43,35,8
0,6,1,164.609,162.846,299976,-2.34468,75,0,2,126.537,100,1,33,25,8
0,6,13.2697,921.832,916.038,267738,-2.34468,78,0,2,546.126,103,1,30,25,5
0,6,182.202,20415.4,5426.49,5489.99,-2.24328,78,0,2,0,4294967295,0,30,30,0
0,6,4.86481,104.887,103.595,304932,-2.20756,78,0,2,87.7904,92,1,30,14,16
0,6,1.9143,369.117,366.038,1.20988e+06,-2.34468,79,0,2,77.4122,104,1,29,25,4
0,6,282.17,8718.16,8690.84,141.445,-2.30151,44,0,2,3988.93,80,1,64,36,28
0,6,1.93277,438.694,142.91,1.59982e+06,-2.34468,89,0,2,0,4294967295,0,19,19,0
0,6,11.5914,255.117,252.731,299882,-2.18799,89,0,2,166.871,104,1,19,15,4
0,6,85.6024,841.207,835.768,53194.5,-2.46243,89,0,2,546.808,103,1,19,14,5
0,6,1.04964,40.3843,39.7166,1.07107e+06,-2.34468,90,0,2,26.3839,104,1,18,14,4
0,6,1,186.008,45.1071,1.29531e+06,-2.34468,91,0,2,0,4294967295,0,17,17,0
0,6,69.5212,10893.6,806.768,27857.7,-2.34468,91,0,2,0,4294967295,0,17,17,0
0,6,1.88976,421.006,37.9503,1.76579e+06,-2.34468,99,0,2,0,4294967295,0,9,9,0
0,6,13.5882,951.298,120.366,4.0428e+06,-2.34468,100,0,2,0,4294967295,0,8,8,0
0,6,13.8597,286.789,75.6549,1.31242e+06,-2.18799,101,0,2,0,4294967295,0,7,7,0
0,6,1.01618,178.171,8.11611,4.02028e+06,-2.34468,101,0,2,0,4294967295,0,7,7,0
0,6,70.6602,11299.7,272.441,7073.59,-2.34468,101,0,2,0,4294967295,0,7,7,0
0,6,82.3023,903.267,307.195,690385,-2.46243,101,0,2,0,4294967295,0,7,7,0
0,6,14.3052,1844.71,77.4508,128868,-2.34468,101,0,2,0,4294967295,0,7,7,0
0,6,282.17,8718.16,644.481,7817.45,-2.30151,102,0,2,0,4294967295,0,6,6,0
0,6,7.55272,1347.27,30.0114,3.96866e+06,-2.34468,102,0,2,0,4294967295,0,6,6,0
0,6,1,35.052,2.5981,1.25465e+07,-2.34468,103,0,2,0,4294967295,0,5,5,0
0,6,1,162.256,2.65245,1.30176e+07,-2.34468,103,0,2,0,4294967295,0,5,5,0
0,6,1.93943,367.415,4.97961,7.7686e+06,-2.34468,103,0,2,0,4294967295,0,5,5,0
0,6,4.86481,104.887,11.5715,3.69647e+06,-2.20756,103,0,2,0,4294967295,0,5,5,0
0,6,13.6315,1944.62,134.594,437086,-2.34468,92,0,2,0,4294967295,0,16,16,0
0,7,9.63822,1125.42,1118.77,30323.1,-2.18799,53,0,3,1418.4,90,1,55,37,18
0,7,125.262,1947.95,1938.24,11198.2,-2.71651,53,0,3,2144.91,89,1,55,36,19
0,7,412.553,4435.61,4418.47,29245,-2.30151,63,0,3,3338.82,101,1,45,38,7
0,7,7.92512,93.1332,45.1483,423.836,-2.50065,79,0,3,0,4294967295,0,29,29,0
0,7,17.3832,458.529,104.878,538883,-2.24328,87,0,3,0,4294967295,0,21,21,0
0,7,67.5394,4155.31,2772.13,85203.7,-2.34468,90,0,3,0,4294967295,0,18,18,0
0,7,21.7733,687.802,47.8795,5655.61,-2.24328,99,0,3,0,4294967295,0,9,9,0
0,7,41.4861,321.955,96.5226,781411,-2.24328,99,0,3,0,4294967295,0,9,9,0
0,7,9.21274,1207.6,33.7346,3.65999e+06,-2.18799,101,0,3,0,4294967295,0,7,7,0
0,7,125.93,1812.66,383.8,1.1447e+06,-2.71651,101,0,3,0,4294967295,0,7,7,0
0,7,22.3558,670.398,27.4388,321.932,-2.24328,103,0,3,0,4294967295,0,5,5,0
0,7,40.3107,301.134,57.4283,12.7321,-2.24328,103,0,3,0,4294967295,0,5,5,0
0,7,98.0444,3540.22,114.19,343.415,-2.71651,103,0,3,0,4294967295,0,5,5,0
0,7,9.20421,1186.73,13.9438,2.46906e+06,-2.18799,103,0,3,0,4294967295,0,5,5,0
0,7,412.553,4435.61,953.286,382716,-2.30151,103,0,3,0,4294967295,0,5,5,0
0,7,647.89,6455.7,1594.61,7777.16,-2.30426,103,0,3,0,4294967295,0,5,5,0
0,7,125.262,1947.95,161.798,227571,-2.71651,103,0,3,0,4294967295,0,5,5,0
0,7,360.651,22839.2,22786.1,116.354,-2.50065,65,0,3,9523.44,92,1,43,27,16
0,7,3594.4,61626.6,26385.2,1027.92,-2.30426,78,0,3,0,4294967295,0,30,30,0
0,7,634.264,33432.7,17981.6,217.331,-2.50065,76,0,3,0,4294967295,0,32,32,0
0,7,371.352,20945.4,11144.8,3581.64,-2.50065,89,0,3,0,4294967295,0,19,19,0
0,8,26.0579,5847.55,5826.81,2481.04,-2.34468,31,0,2,3936.06,78,1,77,47,30
0,8,6.01813,1829.43,1820.13,161054,-2.34468,67,0,2,984.255,104,1,41,37,4
0,8,1.55492,129.752,128.256,211.486,-2.34468,42,0,2,75.7741,67,1,66,25,41
0,8,19.2814,2201.74,2191.17,155699,-2.24328,76,0,2,1058.04,104,1,32,28,4
0,8,20.3954,627.46,623.018,160138,-2.24328,79,0,2,814.784,102,1,29,23,6
0,8,1.73455,63.1365,62.2272,843096,-2.34468,79,0,2,68.0685,101,1,29,22,7
0,8,7.51526,1743.87,500.569,1.36291e+06,-2.34468,87,0,2,0,4294967295,0,21,21,0
0,8,3.62796,328.041,250.426,2.32187e+06,-2.24328,87,0,2,-1.62608e-15,4294967295,0,21,21,0
0,8,7.92044,183.494,181.594,317032,-2.20756,89,0,2,60.169,104,1,19,15,4
0,8,3.50082,375.235,108.694,616350,-2.24328,89,0,2,0,4294967295,0,19,19,0
0,8,7.1096,1789.71,136.322,1.74907e+06,-2.34468,90,0,2,0,4294967295,0,18,18,0
0,8,1.51175,138.326,35.6637,22607.2,-2.34468,91,0,2,0,4294967295,0,17,17,0
0,8,83.4088,763.446,758.36,284927,-2.30426,91,0,2,429.572,104,1,17,13,4
