FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,0,0
0,1,10,1.16079e+08,1.01697e+08
0,10,100,6.29299e+08,1.2302e+09
0,100,1000,2.70429e+07,2.61478e+08
0,1000,10000,49390.2,8.96933e+06
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,0,0
2,1,10,4.05826e+06,4.32076e+06
2,10,100,6.12957e+07,2.0415e+08
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,1.25549e+09,767855
3,0.01,0.1,1.6378e+09,3.20916e+06
3,0.1,1,3.86654e+07,1.23589e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,3.96396e+06,71206.9
4,0.1,1,1.74549e+07,630885
4,1,10,828374,614683
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,8.83273e+07,85150.3
5,0.01,0.1,1.07142e+09,3.08848e+06
5,0.1,1,5.0512e+07,1.60576e+06
5,1,10,3.27989e+06,477824
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,2.84984e+09,1.40966e+07
6,0.1,1,5.74119e+09,1.06063e+08
6,1,10,1.34887e+09,1.70134e+08
6,10,100,4.19197e+07,4.34256e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,1.98204e+07,297118
7,0.1,1,2.44572e+08,1.58188e+07
7,1,10,4.45167e+08,1.06307e+08
7,10,100,7.00163e+07,1.08606e+08
7,100,1000,1.92492e+06,5.90469e+06
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,2.31509e+09,1.0789e+07
8,0.1,1,2.52058e+09,7.36927e+07
8,1,10,7.63849e+08,1.2452e+08
8,10,100,8.84449e+06,6.87392e+06
8,100,1000,0,0
8,1000,10000,0,0
