GridcellIndex,IsMarine,GetRealm,GetLatitudeIndex,GetLongitudeIndex,GetCellArea,GetGridcellRealm,GetGridcellLandMask,AvailableWater,GetGridcellHanpp,TemperatureRange,Temp,GroundFrost,Precipitation,TerrestrialNPP,Get_Ecto_max,Get_Endo_C_max,Get_Endo_H_max,Get_Endo_O_max,TotalPrecip,Seasonality,BreedingSeason,AnnualTemperature,SDTemperature,ExpTDevWeight,AET,TotalAET,FractionMonthFrost,FractionYearFrost,FractionYearFire
0,0,2,0,0,2142.92,2,1,800,0.0807054,8.70164,14.5115,0.0983607,61.2984,2.48425,50000,200000,1e+06,500000,761.292,0.185071,1,12.4374,5.1072,0.0140964,66.9259,694.539,0.00317292,0,0
1,0,2,0,1,2142.92,2,1,800,0.1,9.86557,14.2344,0.337213,64.1918,2.63189,50000,200000,1e+06,500000,753.425,0.19825,1,11.9854,5.22224,0.0128435,65.7964,682.235,0.0108778,0,0
2,0,2,0,2,2142.92,2,1,800,0.1,10.5098,13.8525,0.702295,66.5049,2.51378,50000,200000,1e+06,500000,759.957,0.18324,1,11.5708,5.32435,0.0123676,64.3368,670.513,0.0226547,0,0
3,0,2,0,3,2142.92,2,1,800,0.1,10.7525,13.8934,0.77623,71.7,3.34055,50000,200000,1e+06,500000,783.377,0.173624,1,11.4958,5.40551,0.0115587,64.4217,671.984,0.0250397,0,0
4,0,2,0,4,2142.92,2,1,800,0.131106,10.7344,13.5443,1.05066,77.6869,5.34842,50000,200000,1e+06,500000,840.997,0.164427,1,11.1,5.50304,0.0109646,62.9743,666.455,0.0338921,0.242827,0
5,0,2,0,5,2142.92,2,1,800,0.204619,10.7361,13.0705,1.49115,83.0738,4.81693,50000,200000,1e+06,500000,858.166,0.163199,1,10.5393,5.57393,0.010323,61.0101,650.91,0.0481015,0.378812,0
6,0,2,0,6,2142.92,2,1,800,0.173668,10.7426,12.8902,1.68738,86.6197,4.99409,50000,200000,1e+06,500000,836.657,0.163319,1,10.3012,5.64517,0.00988108,60.2358,644.755,0.0544315,0.388223,0
7,0,2,0,7,2142.92,2,1,800,0.217797,11.0459,12.9049,1.82066,89.1492,3.81299,50000,200000,1e+06,500000,798.923,0.165428,1,10.2758,5.68479,0.00957718,60.2363,645.569,0.0587308,0.392331,0
8,0,2,0,8,2142.92,2,1,800,0.113606,11.6443,13.3098,1.70033,91.6016,2.72047,50000,200000,1e+06,500000,770.559,0.181866,1,10.6234,5.69979,0.00930786,61.8308,658.861,0.0548493,0.388658,0
9,0,2,0,9,2142.92,2,1,800,0.177087,11.3443,13.2869,1.58197,89.782,4.7874,50000,200000,1e+06,500000,815.441,0.167044,1,10.4411,5.84274,0.00831728,61.657,655.743,0.0510312,0.390474,0
10,0,2,0,10,2142.92,2,1,800,0.217873,10.7557,13.2574,1.31984,87.4967,5.46654,50000,200000,1e+06,500000,867.32,0.157079,1,10.2652,6.07166,0.00726778,61.765,653.169,0.0425754,0.388658,0
11,0,2,0,11,2142.92,2,1,800,0.1,10.2525,13.923,0.623279,80.941,1.95276,50000,200000,1e+06,500000,874.107,0.148082,1,10.7149,6.25887,0.00625804,64.6107,672.481,0.0201058,0.372596,0
12,0,2,0,12,2142.92,2,1,800,0.1,10.441,14.3131,0.474098,80.4131,4.13779,50000,200000,1e+06,500000,866.697,0.153051,1,10.9817,6.30738,0.00582995,66.1359,682.128,0.0152935,0.366225,0
13,0,2,0,13,2142.92,2,1,700,0.175043,9.9459,11.6607,2.77229,97.4721,4.16732,50000,200000,1e+06,500000,1086.35,0.162297,1,8.4235,6.17405,0.00643142,55.5945,583.321,0.0894289,0.472165,0
14,0,2,1,0,2123.55,2,1,800,0.1,9.21475,13.759,0.392459,61.3557,2.60236,50000,200000,1e+06,500000,764.73,0.175704,1,11.6469,5.10546,0.0140165,63.9126,668.317,0.01266,0,0
15,0,2,1,1,2123.55,2,1,800,0.0874116,9.98525,13.8098,0.559016,61.6672,2.69094,50000,200000,1e+06,500000,727.202,0.202249,1,11.5788,5.21045,0.0130513,64.1313,664.53,0.0180328,0,0
16,0,2,1,2,2123.55,2,1,800,0.0548821,10.6295,13.7492,0.808197,62.4344,2.39567,50000,200000,1e+06,500000,701.492,0.203546,1,11.419,5.30824,0.0122007,63.9134,658.2,0.0260709,0,0
17,0,2,1,3,2123.55,2,1,800,0.1,10.6705,14.1016,0.61541,65.5033,2.54331,50000,200000,1e+06,500000,699.339,0.180725,1,11.6552,5.41998,0.0112621,65.2791,668.537,0.0198519,0,0
18,0,2,1,4,2123.55,2,1,800,0.1,10.7689,14.0557,0.693934,68.9951,3.0748,50000,200000,1e+06,500000,714.864,0.176318,1,11.5516,5.48897,0.0107509,65.078,669.357,0.022385,0,0
19,0,2,1,5,2123.55,2,1,800,0.1,10.7557,13.9,0.81459,73.9902,2.33661,50000,200000,1e+06,500000,741.369,0.176008,1,11.3175,5.56527,0.0101573,64.3721,668.999,0.0262771,0.237709,0
20,0,2,1,6,2123.55,2,1,800,0.1,10.7607,13.9098,0.80918,77.5754,2.57283,50000,200000,1e+06,500000,736.523,0.17132,1,11.2955,5.64981,0.00971568,64.4771,672.598,0.0261026,0.242372,0
21,0,2,1,7,2123.55,2,1,800,0.1,10.9607,13.8262,0.938852,80.2754,2.51378,50000,200000,1e+06,500000,733.841,0.171778,1,11.1045,5.69824,0.00919119,63.9143,669.108,0.0302856,0.300362,0
22,0,2,1,8,2123.55,2,1,800,0.148488,11.3541,13.9918,0.954426,83.3082,3.66535,50000,200000,1e+06,500000,723.598,0.168294,1,11.1601,5.7481,0.00864652,64.5294,672.092,0.0307879,0.368393,0
23,0,2,1,9,2123.55,2,1,800,0.178554,11.1721,13.7574,1.04721,83.8295,4.61024,50000,200000,1e+06,500000,756.367,0.170526,1,10.8679,5.87207,0.00810531,63.7875,666.139,0.0337811,0.375101,0
24,0,2,1,10,2123.55,2,1,800,0.215472,10.6541,13.2131,1.29459,84.0803,4.61024,50000,200000,1e+06,500000,829.49,0.176701,1,10.2085,6.05313,0.00729335,61.7021,648.01,0.041761,0.389569,0
25,0,2,1,11,2123.55,2,1,800,0.1,10.4508,14.1738,0.528197,79.4246,2.4252,50000,200000,1e+06,500000,803.161,0.16879,1,10.8898,6.24702,0.0060655,65.576,673.439,0.0170386,0.369016,0
26,0,2,1,12,2123.55,2,1,800,0.1,10.541,14.5689,0.376066,79.4131,2.92717,50000,200000,1e+06,500000,824.925,0.152138,1,11.1559,6.33262,0.00557499,67.2722,686.435,0.0121311,0.362662,0
27,0,2,1,13,2123.55,2,1,800,0.1652,10.2328,12.918,1.40852,93.9164,4.10827,50000,200000,1e+06,500000,1036.32,0.156224,1,9.55874,6.20389,0.0059911,60.3511,628.859,0.0454363,0.400413,0
28,0,2,2,0,2104.01,2,1,800,0.0295303,9.83115,13.841,0.498689,57.2508,2.33661,50000,200000,1e+06,500000,684.669,0.176795,1,11.6787,5.10968,0.0137774,63.8233,657.914,0.0160867,0,0
29,0,2,2,1,2104.01,2,1,800,0.0249216,10.1672,13.9967,0.506066,56.3328,2.24803,50000,200000,1e+06,500000,649.649,0.16674,1,11.7358,5.21029,0.0128683,63.8388,649.651,0.0163247,0,0
30,0,2,2,2,2104.01,2,1,800,0.1,10.3557,13.9459,0.594262,57.4262,2.54331,50000,200000,1e+06,500000,656.769,0.178848,1,11.6141,5.29833,0.0122349,64.3714,654.701,0.0191698,0,0
31,0,2,2,3,2104.01,2,1,800,0.1,10.3426,13.9967,0.581311,60.9066,2.45472,50000,200000,1e+06,500000,655.975,0.187829,1,11.6195,5.38492,0.0116059,64.4976,655.976,0.018752,0,0
32,0,2,2,4,2104.01,2,1,800,0.1,10.6426,14.0525,0.651311,64.1541,2.54331,50000,200000,1e+06,500000,659.739,0.173796,1,11.4908,5.46648,0.0105651,64.8653,658.586,0.02101,0,0
33,0,2,2,5,2104.01,2,1,800,0.1,10.759,14.0902,0.675902,66.9574,2.27756,50000,200000,1e+06,500000,665.941,0.1671,1,11.4874,5.57262,0.0100093,65.1029,663.14,0.0218033,0.22867,0
34,0,2,2,6,2104.01,2,1,800,0.1,10.4721,14.123,0.595574,70.5967,3.34055,50000,200000,1e+06,500000,697.464,0.166962,1,11.4246,5.65117,0.0093997,65.1997,669.896,0.0192121,0.233165,0
35,0,2,2,7,2104.01,2,1,800,0.1,10.6721,14,0.720492,76.2672,2.4252,50000,200000,1e+06,500000,710.39,0.187263,1,11.2119,5.70419,0.00891533,64.6404,668.002,0.0232417,0.243319,0
36,0,2,2,8,2104.01,2,1,800,0.1,10.7836,13.6557,0.980164,79.2246,3.78346,50000,200000,1e+06,500000,731.492,0.171622,1,10.8428,5.7482,0.00871414,63.3682,659.662,0.0316182,0.367075,0
37,0,2,2,9,2104.01,2,1,800,0.1835,10.7885,13.5197,1.07639,81.3311,4.52165,50000,200000,1e+06,500000,756.762,0.16598,1,10.5478,5.87718,0.00784209,62.7284,652.082,0.0347224,0.37706,0
38,0,2,2,10,2104.01,2,1,800,0.193895,10.3639,12.7754,1.58098,85.4574,4.49213,50000,200000,1e+06,500000,842.341,0.1693,1,9.73443,5.99273,0.00733708,59.8836,628.537,0.0509995,0.396864,0
39,0,2,2,11,2104.01,2,1,800,0.109353,10.4328,13.7443,0.773115,80.9033,2.95669,50000,200000,1e+06,500000,788.831,0.169545,1,10.4225,6.18091,0.00612848,63.5506,652.475,0.0249392,0.379248,0
40,0,2,2,12,2104.01,2,1,800,0.1,10.3098,14.223,0.47082,82.9557,2.63189,50000,200000,1e+06,500000,807.518,0.182053,1,10.8351,6.28619,0.00569554,65.79,670.617,0.0151877,0.368976,0
41,0,2,2,13,2104.01,2,1,800,0.1,10.3934,13.8721,0.697377,94.9787,2.57283,50000,200000,1e+06,500000,998.452,0.157394,1,10.5071,6.20847,0.00589705,64.1197,667.79,0.022496,0.375513,0
42,0,2,3,0,2084.32,2,1,300,0.00524451,10.0197,13.6393,0.65541,55.2,2.27756,50000,200000,1e+06,500000,660.092,0.161841,1,11.4936,5.01005,0.0143385,61.8405,606.99,0.0211423,0,0
43,0,2,3,1,2084.32,2,1,800,0.1,10.2377,13.7508,0.670492,54.4623,2.24803,50000,200000,1e+06,500000,648.316,0.160416,1,11.4801,5.14809,0.0131291,63.3077,647.525,0.0216288,0,0
