GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,1.68571e+11
0,1,3.06069e+12
1,0,1.72512e+11
1,1,3.97738e+12
2,0,1.54193e+11
2,1,2.32074e+12
3,0,1.60219e+11
3,1,3.06345e+12
4,0,1.67841e+11
4,1,4.07429e+12
5,0,1.49183e+11
5,1,2.83391e+12
6,0,1.32036e+11
6,1,2.13267e+12
7,0,1.4671e+11
7,1,3.21703e+12
8,0,1.31208e+11
8,1,1.9175e+12
9,0,1.31946e+11
9,1,2.31453e+12
10,0,1.34996e+11
10,1,2.65189e+12
11,0,1.32703e+11
11,1,2.46931e+12
12,0,1.39546e+11
12,1,3.34239e+12
13,0,1.18497e+11
13,1,2.70677e+12
14,0,1.67037e+11
14,1,3.03241e+12
15,0,1.48195e+11
15,1,2.11878e+12
16,0,1.45264e+11
16,1,2.58973e+12
17,0,1.33564e+11
17,1,1.45458e+12
18,0,1.54489e+11
18,1,3.03126e+12
19,0,1.49215e+11
19,1,3.23301e+12
20,0,1.5352e+11
20,1,4.12473e+12
21,0,1.40542e+11
21,1,2.59548e+12
22,0,1.31882e+11
22,1,1.66525e+12
23,0,1.44232e+11
23,1,2.89521e+12
24,0,1.43159e+11
24,1,3.42034e+12
25,0,1.18072e+11
25,1,1.96901e+12
26,0,1.038e+11
26,1,9.16472e+11
27,0,1.28898e+11
27,1,3.22574e+12
28,0,1.5884e+11
28,1,2.46261e+12
29,0,1.48775e+11
29,1,2.96516e+12
30,0,1.49301e+11
30,1,3.15508e+12
31,0,1.49269e+11
31,1,3.94706e+12
32,0,1.25755e+11
32,1,1.48837e+12
33,0,9.41366e+10
33,1,1.05357e+12
34,0,1.42903e+11
34,1,2.8993e+12
35,0,1.05581e+11
35,1,1.05351e+12
36,0,1.41079e+11
36,1,3.12353e+12
37,0,1.3576e+11
37,1,3.02965e+12
38,0,1.25869e+11
38,1,2.60304e+12
39,0,1.28474e+11
39,1,2.81285e+12
40,0,1.14872e+11
40,1,1.95084e+12
41,0,1.25609e+11
41,1,2.51601e+12
42,0,1.40761e+11
42,1,1.99313e+12
43,0,1.26023e+11
43,1,1.31791e+12
44,0,1.21263e+11
44,1,1.54488e+12
45,0,1.34692e+11
45,1,2.16727e+12
46,0,1.13153e+11
46,1,1.10608e+12
47,0,1.34541e+11
47,1,3.24612e+12
48,0,1.17651e+11
48,1,1.80462e+12
49,0,1.16661e+11
49,1,1.55166e+12
50,0,1.34176e+11
50,1,2.75025e+12
51,0,1.25726e+11
51,1,2.4141e+12
52,0,1.13123e+11
52,1,1.46256e+12
53,0,1.24406e+11
53,1,2.40541e+12
54,0,1.25263e+11
54,1,2.92129e+12
55,0,1.32552e+11
55,1,3.01788e+12
56,0,1.48648e+11
56,1,2.3672e+12
57,0,1.50645e+11
57,1,2.86069e+12
58,0,1.3632e+11
58,1,2.07422e+12
59,0,8.12025e+10
59,1,5.99381e+11
60,0,1.26428e+11
60,1,2.26186e+12
61,0,1.16215e+11
61,1,1.98401e+12
62,0,1.25991e+11
62,1,2.42194e+12
63,0,1.08777e+11
63,1,1.34607e+12
64,0,1.24248e+11
64,1,2.27784e+12
65,0,7.43677e+10
65,1,4.55019e+11
66,0,1.15811e+11
66,1,1.8481e+12
67,0,1.15492e+11
67,1,2.14702e+12
68,0,1.31146e+11
68,1,3.85652e+12
69,0,1.27417e+11
69,1,2.71064e+12
70,0,1.50858e+11
70,1,2.29259e+12
71,0,1.3428e+11
71,1,1.65635e+12
72,0,1.39208e+11
72,1,2.30764e+12
73,0,1.03437e+11
73,1,9.40394e+11
74,0,1.15309e+11
74,1,1.71411e+12
75,0,1.30311e+11
75,1,2.72563e+12
76,0,1.15145e+11
76,1,1.56837e+12
77,0,1.16064e+11
77,1,1.41141e+12
78,0,1.242e+11
78,1,2.46607e+12
79,0,1.24484e+11
79,1,2.7323e+12
80,0,1.15369e+11
80,1,2.11097e+12
81,0,1.00558e+11
81,1,9.11935e+11
82,0,1.16502e+11
82,1,2.1124e+12
83,0,1.23647e+11
83,1,2.99533e+12
