Month,Year,Biomass_FG_0,Biomass_FG_1,Biomass_FG_2,Biomass_FG_3,Biomass_FG_4,Biomass_FG_5,Biomass_FG_6,Biomass_FG_7,Biomass_FG_8
1, 1,2.05904e+09,0,2.96367e+08,7.31958e+06,2.28499e+06,6.62728e+06,4.44991e+08,2.75619e+08,2.81123e+08
2, 1,1.80398e+09,0,3.04227e+08,6.78342e+06,2.03914e+06,5.93712e+06,3.91906e+08,2.47017e+08,2.50168e+08
3, 1,1.59613e+09,0,2.99883e+08,6.25373e+06,1.86788e+06,5.36462e+06,3.51183e+08,2.23737e+08,2.23625e+08
4, 1,1.54194e+09,0,2.93659e+08,5.67603e+06,1.72031e+06,4.81096e+06,3.1909e+08,2.04833e+08,2.03327e+08
5, 1,1.53214e+09,0,2.95858e+08,4.63118e+06,2.05208e+06,4.08173e+06,3.04083e+08,2.23749e+08,2.02128e+08
6, 1,1.57558e+09,0,3.00644e+08,5.20882e+06,2.47483e+06,4.42775e+06,3.32455e+08,2.66159e+08,2.22309e+08
7, 1,1.6216e+09,0,3.04751e+08,5.06083e+06,2.63737e+06,4.02392e+06,3.39136e+08,2.90699e+08,2.30955e+08
8, 1,1.67892e+09,0,3.13167e+08,4.7693e+06,2.66193e+06,3.63311e+06,3.54898e+08,3.20501e+08,2.42403e+08
9, 1,1.72327e+09,0,3.26771e+08,4.30513e+06,2.97109e+06,4.07247e+06,3.74993e+08,3.6203e+08,2.54944e+08
10, 1,1.77954e+09,0,3.44283e+08,3.88459e+06,2.6737e+06,3.69134e+06,3.32808e+08,3.27658e+08,2.24048e+08
11, 1,1.8188e+09,0,3.55317e+08,3.48025e+06,2.41835e+06,3.28945e+06,2.96514e+08,2.94689e+08,1.98619e+08
12, 1,1.81644e+09,0,3.55556e+08,3.11231e+06,2.19887e+06,2.86771e+06,2.62631e+08,2.66696e+08,1.76338e+08
