"var","x","y"
75.9065551757812,-0.75,46.25
71.9016418457031,-0.25,46.25
70.9065551757812,0.25,46.25
70.4344253540039,0.75,46.25
72.7901611328125,1.25,46.25
69.7967224121094,1.75,46.25
62.9540977478027,2.25,46.25
55.1868858337402,2.75,46.25
49.673770904541,3.25,46.25
53.2999992370605,3.75,46.25
60.3295097351074,4.25,46.25
62.7442626953125,4.75,46.25
61.0016403198242,5.25,46.25
80.0622940063477,5.75,46.25
76.8344268798828,-0.75,46.75
69.5836029052734,-0.25,46.75
65.5163955688477,0.25,46.75
61.044261932373,0.75,46.75
60.9950828552246,1.25,46.75
59.881965637207,1.75,46.75
56.8901634216309,2.25,46.75
53.1327857971191,2.75,46.75
50.6688537597656,3.25,46.75
53.0590171813965,3.75,46.75
63.0409851074219,4.25,46.75
59.8245887756348,4.75,46.75
60.478687286377,5.25,46.75
78.1032791137695,5.75,46.75
66.7967224121094,-0.75,47.25
61.7180328369141,-0.25,47.25
61.8098373413086,0.25,47.25
58.1442642211914,0.75,47.25
56.9114761352539,1.25,47.25
54.5426216125488,1.75,47.25
54.9393424987793,2.25,47.25
54.3688507080078,2.75,47.25
55.337703704834,3.25,47.25
58.1360664367676,3.75,47.25
67.8098373413086,4.25,47.25
63.7016410827637,4.75,47.25
63.5426216125488,5.25,47.25
78.859016418457,5.75,47.25
62.8918037414551,-0.75,47.75
61.1491813659668,-0.25,47.75
62.2754096984863,0.25,47.75
58.3196716308594,0.75,47.75
55.1065559387207,1.25,47.75
52.7344245910645,1.75,47.75
51.9491806030273,2.25,47.75
51.3606567382812,2.75,47.75
51.1786880493164,3.25,47.75
54.8508186340332,3.75,47.75
63.6803283691406,4.25,47.75
68.6327896118164,4.75,47.75
72.7081985473633,5.25,47.75
74.8852462768555,5.75,47.75
69.8081970214844,-0.75,48.25
69.6459045410156,-0.25,48.25
62.1163940429688,0.25,48.25
61.5459022521973,0.75,48.25
53.6131134033203,1.25,48.25
49.511474609375,1.75,48.25
49.9393424987793,2.25,48.25
48.3918037414551,2.75,48.25
49.9508209228516,3.25,48.25
52.4016380310059,3.75,48.25
56.7999992370605,4.25,48.25
68.1311492919922,4.75,48.25
74.5262298583984,5.25,48.25
75.3672103881836,5.75,48.25
79.9934463500977,-0.75,48.75
71.9819641113281,-0.25,48.75
68.7213134765625,0.25,48.75
65.3852462768555,0.75,48.75
54.7327880859375,1.25,48.75
50.7426223754883,1.75,48.75
51.5081977844238,2.25,48.75
50.3393440246582,2.75,48.75
50.3081970214844,3.25,48.75
52.2229499816895,3.75,48.75
62.1803283691406,4.25,48.75
72.4606552124023,4.75,48.75
84.2377014160156,5.25,48.75
78.3459014892578,5.75,48.75
