0,0,32894600000
0,1,131459000000
1,0,49856400000
1,1,259942000000
2,0,54615400000
2,1,302023000000
3,0,77380400000
3,1,236607000000
4,0,83689500000
4,1,233379000000
5,0,198514000000
5,1,1081860000000
6,0,114789000000
6,1,363960000000
7,0,114162000000
7,1,322855000000
8,0,125638000000
8,1,511299000000
9,0,136850000000
9,1,475342000000
10,0,193868000000
10,1,959857000000
11,0,103715000000
11,1,380077000000
12,0,143012000000
12,1,771066000000
13,0,135634000000
13,1,445328000000
14,0,44059000000
14,1,214634000000
15,0,38751500000
15,1,199725000000
16,0,26836500000
16,1,217499000000
17,0,55320700000
17,1,218102000000
18,0,70087600000
18,1,304875000000
19,0,44529000000
19,1,228070000000
20,0,39758200000
20,1,108079000000
21,0,74706700000
21,1,234444000000
22,0,149532000000
22,1,711285000000
23,0,116616000000
23,1,387031000000
24,0,159860000000
24,1,643770000000
25,0,122730000000
25,1,655591000000
26,0,86460900000
26,1,272605000000
27,0,103926000000
27,1,288194000000
28,0,14664800000
28,1,135933000000
29,0,12339700000
29,1,123495000000
30,0,53508000000
30,1,209510000000
31,0,46913200000
31,1,303508000000
32,0,44987500000
32,1,263245000000
33,0,65991500000
33,1,293893000000
34,0,110049000000
34,1,513007000000
35,0,45952300000
35,1,191230000000
36,0,124510000000
36,1,671061000000
37,0,122014000000
37,1,411188000000
38,0,120476000000
38,1,370949000000
39,0,150222000000
39,1,860863000000
40,0,34966000000
40,1,123786000000
41,0,104694000000
41,1,410049000000
42,0,2662080000
42,1,34071800000
43,0,45955600000
43,1,283525000000
44,0,56512900000
44,1,305076000000
45,0,37538500000
45,1,197359000000
46,0,31762600000
46,1,182258000000
47,0,67940300000
47,1,348742000000
48,0,77298700000
48,1,263910000000
49,0,37628600000
49,1,159977000000
50,0,47677800000
50,1,313559000000
51,0,42550700000
51,1,212374000000
52,0,71873600000
52,1,288282000000
53,0,83643200000
53,1,312823000000
54,0,87321800000
54,1,318022000000
55,0,136745000000
55,1,612809000000
56,0,76016600000
56,1,355224000000
57,0,78285000000
57,1,374460000000
58,0,38706600000
58,1,164862000000
59,0,44795100000
59,1,246253000000
60,0,4148400000
60,1,50172200000
61,0,20082400000
61,1,185559000000
62,0,22294200000
62,1,167158000000
63,0,37298200000
63,1,156937000000
64,0,10611200000
64,1,117707000000
65,0,41495600000
65,1,213440000000
66,0,38071100000
66,1,162424000000
67,0,72413500000
67,1,291274000000
68,0,101653000000
68,1,404211000000
69,0,136992000000
69,1,610700000000
70,0,168465000000
70,1,715742000000
71,0,66415600000
71,1,194627000000
72,0,95637400000
72,1,346610000000
73,0,46878900000
73,1,261547000000
74,0,35614000000
74,1,139410000000
75,0,0.157329
75,1,324061000
76,0,9988570000
76,1,116064000000
77,0,44640800000
77,1,283270000000
78,0,39045200000
78,1,249975000000
79,0,39065300000
79,1,198936000000
80,0,38813700000
80,1,203236000000
81,0,41716200000
81,1,174365000000
82,0,56298700000
82,1,188372000000
83,0,78712800000
83,1,369458000000
