0,0,240.664,13943.9,13943.9,4.02508,-2.24328,64,0.5,2,10725,83,1,55,19,36
0,0,466.4,47427.3,47427.3,44.2066,-2.50065,79,0.5,2,38713.3,113,1,40,34,6
0,0,60.9117,5663.83,5663.83,58.0172,-2.34468,89,0.5,2,3232.12,112,1,30,23,7
0,0,528.618,52777.1,13080,195710,-2.50065,99,0.5,2,0,4294967295,0,20,20,0
0,0,249.93,14163,2801.96,185628,-2.24328,102,0.5,2,0,4294967295,0,17,17,0
0,0,909.42,15540.4,15540.4,652532,-2.20265,100,0.5,2,6555.24,114,1,19,14,5
0,0,2348.1,114892,52619.6,127089,-2.18799,99,0.5,2,0,4294967295,0,20,20,0
0,0,480.879,7560.08,3863.54,2727.1,-2.30151,105,0.5,2,0,4294967295,0,14,14,0
0,0,462.611,8269.19,8269.19,146657,-2.30151,103,0.5,2,5238.08,116,1,16,13,3
0,0,2730.02,29106.1,29106.1,16475.7,-2.20265,54,0.5,2,17820.9,80,1,65,26,39
0,0,184.785,43476.7,410.587,10119.3,-2.34468,111,0.5,2,0,4294967295,0,8,8,0
0,0,243.007,12965.6,673.562,22018,-2.24328,111,0.5,2,0,4294967295,0,8,8,0
0,0,237.019,116215,9321.87,15836.7,-2.34468,99,0.5,2,0,4294967295,0,20,20,0
0,0,13.2188,2841.28,2841.28,23.69,-2.34468,87,0.5,2,2386.02,105,1,32,18,14
0,0,2730.02,29106.1,4864.28,486040,-2.20265,114,0.5,2,0,4294967295,0,5,5,0
0,0,809.035,18275.3,18275.3,210.616,-2.20265,99,0.5,2,7373.73,116,1,20,17,3
0,0,241.552,32946.9,32714.9,9202.87,-2.34468,99,0.5,2,0,4294967295,0,20,20,0
0,0,250.038,13881.1,1519.54,2625120,-2.24328,115,0.5,2,0,4294967295,0,4,4,0
0,0,240.2,12952.1,12952.1,5922.45,-2.24328,51,0.5,2,11996.4,86,1,68,35,33
0,2,206.004,33736.4,33736.4,47723.1,-2.34468,52,0.5,2.43576,9842.05,115,1,67,63,4
0,2,241.808,75491.6,14387.3,2308.65,-2.34468,99,0.5,2.61675,0,4294967295,0,20,20,0
0,2,5536.32,40245.4,27266.9,90853,-2.20265,99,0.5,2.41621,0,4294967295,0,20,20,0
0,2,648.451,51961.7,1484.13,311.971,-2.34468,111,0.5,2.59851,0,4294967295,0,8,8,0
0,3,4.85812,401.125,278.939,794651,-2.34468,101,0,2,0,4294967295,0,18,18,0
0,3,0.180946,4.52671,4.42184,3207900,-2.35147,103,0,2,5.75957,115,1,16,12,4
