FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,0,0
0,1,10,1.29101e+08,2.1506e+08
0,10,100,2.95961e+08,1.58223e+09
0,100,1000,1.93164e+07,4.05723e+08
0,1000,10000,39769.8,7.28346e+06
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,0,0
2,1,10,3.31814e+06,7.09929e+06
2,10,100,3.49631e+07,2.61228e+08
2,100,1000,84477.9,1.0968e+06
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,2.39024e+09,1.09151e+06
3,0.01,0.1,2.05554e+09,5.63738e+06
3,0.1,1,4.40469e+07,1.08291e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,1.76321e+06,75971.1
4,0.1,1,1.53626e+07,1.46987e+06
4,1,10,935379,1.04903e+06
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,1.44761e+08,189189
5,0.01,0.1,8.79938e+08,3.65125e+06
5,0.1,1,1.3504e+08,2.86003e+06
5,1,10,978217,628570
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,3.8555e+09,2.09482e+07
6,0.1,1,5.08225e+09,1.50937e+08
6,1,10,1.57146e+09,2.85504e+08
6,10,100,4.91044e+07,5.32291e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,2.97497e+07,395095
7,0.1,1,1.91018e+08,1.77832e+07
7,1,10,6.55275e+08,1.3939e+08
7,10,100,1.15424e+08,1.47033e+08
7,100,1000,271349,2.52511e+06
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,2.30242e+09,1.58273e+07
8,0.1,1,2.68307e+09,1.01696e+08
8,1,10,8.0291e+08,1.77848e+08
8,10,100,1.06668e+07,2.08774e+07
8,100,1000,0,0
8,1000,10000,0,0
