GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,3.5414e+10
0,1,1.59025e+11
1,0,4.77073e+10
1,1,2.86397e+11
2,0,4.88523e+10
2,1,3.32678e+11
3,0,4.20154e+10
3,1,2.00756e+11
4,0,5.78585e+10
4,1,2.70609e+11
5,0,9.31969e+10
5,1,4.28267e+11
6,0,6.41189e+10
6,1,2.18675e+11
7,0,8.8668e+10
7,1,3.72972e+11
8,0,4.49966e+10
8,1,1.75311e+11
9,0,7.6108e+10
9,1,3.16274e+11
10,0,8.71991e+10
10,1,3.49808e+11
11,0,4.21404e+10
11,1,1.83455e+11
12,0,4.53135e+10
12,1,2.11188e+11
13,0,8.99378e+10
13,1,4.69009e+11
14,0,4.88283e+10
14,1,2.85154e+11
15,0,3.70137e+10
15,1,1.75244e+11
16,0,2.31803e+10
16,1,1.22264e+11
17,0,4.43483e+10
17,1,2.34729e+11
18,0,4.30391e+10
18,1,2.23291e+11
19,0,4.09988e+10
19,1,1.8126e+11
20,0,4.83673e+10
20,1,2.94345e+11
21,0,4.56912e+10
21,1,2.36655e+11
22,0,5.89087e+10
22,1,2.46241e+11
23,0,6.571e+10
23,1,2.52401e+11
24,0,7.49446e+10
24,1,2.75656e+11
25,0,4.26397e+10
25,1,1.96024e+11
26,0,4.68104e+10
26,1,2.47897e+11
27,0,7.63707e+10
27,1,3.34939e+11
28,0,1.50123e+10
28,1,1.51696e+11
29,0,1.27722e+10
29,1,1.46718e+11
30,0,4.34042e+10
30,1,2.29936e+11
31,0,4.24133e+10
31,1,2.13631e+11
32,0,4.64571e+10
32,1,3.08064e+11
33,0,3.70749e+10
33,1,1.55943e+11
34,0,4.52379e+10
34,1,2.51225e+11
35,0,4.55099e+10
35,1,2.44151e+11
36,0,4.79052e+10
36,1,2.83164e+11
37,0,5.93344e+10
37,1,1.97522e+11
38,0,9.0275e+10
38,1,4.73039e+11
39,0,4.44539e+10
39,1,1.82402e+11
40,0,4.165e+10
40,1,1.8476e+11
41,0,3.94103e+10
41,1,1.56521e+11
42,0,2.67008e+09
42,1,3.62011e+10
43,0,4.53326e+10
43,1,2.84877e+11
44,0,4.51647e+10
44,1,2.68776e+11
45,0,4.2851e+10
45,1,3.16523e+11
46,0,3.45792e+10
46,1,2.5056e+11
47,0,4.41384e+10
47,1,2.49204e+11
48,0,4.49598e+10
48,1,2.69461e+11
49,0,4.44138e+10
49,1,2.37018e+11
50,0,3.86925e+10
50,1,1.66445e+11
51,0,4.34996e+10
51,1,2.30849e+11
52,0,4.68669e+10
52,1,2.69731e+11
53,0,4.79913e+10
53,1,2.74163e+11
54,0,4.91226e+10
54,1,2.76077e+11
55,0,4.94715e+10
55,1,2.24398e+11
56,0,4.80241e+10
56,1,2.60862e+11
57,0,4.32634e+10
57,1,1.97528e+11
58,0,3.86191e+10
58,1,1.60997e+11
59,0,4.51122e+10
59,1,2.49244e+11
60,0,4.18395e+09
60,1,5.06386e+10
61,0,2.02363e+10
61,1,2.10501e+11
62,0,2.29055e+10
62,1,1.87582e+11
63,0,4.21442e+10
63,1,2.32501e+11
64,0,1.03357e+10
64,1,9.22781e+10
65,0,3.89783e+10
65,1,1.75583e+11
66,0,4.38873e+10
66,1,2.3158e+11
67,0,4.89971e+10
67,1,2.7744e+11
68,0,4.38211e+10
68,1,2.00155e+11
69,0,4.62895e+10
69,1,2.09956e+11
70,0,6.15247e+10
70,1,2.02257e+11
71,0,4.89632e+10
71,1,2.82997e+11
72,0,4.47791e+10
72,1,2.07094e+11
73,0,4.93823e+10
73,1,3.10648e+11
74,0,3.65438e+10
74,1,1.48027e+11
75,0,2.27975e-24
75,1,3782.6
76,0,1.00006e+10
76,1,1.33498e+11
77,0,4.3813e+10
77,1,2.57182e+11
78,0,3.92968e+10
78,1,2.67746e+11
79,0,4.52349e+10
79,1,3.17227e+11
80,0,3.5265e+10
80,1,1.59938e+11
81,0,4.19508e+10
81,1,1.75955e+11
82,0,4.26806e+10
82,1,1.69584e+11
83,0,5.38278e+10
83,1,3.39233e+11
