GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,8.36389e+10
0,1,2.51393e+11
1,0,1.06714e+11
1,1,4.05696e+11
2,0,1.08392e+11
2,1,4.04715e+11
3,0,9.65133e+10
3,1,2.71861e+11
4,0,1.31994e+11
4,1,3.80865e+11
5,0,2.11739e+11
5,1,6.03472e+11
6,0,1.72135e+11
6,1,4.52287e+11
7,0,2.11897e+11
7,1,5.42197e+11
8,0,1.18942e+11
8,1,3.24925e+11
9,0,1.79021e+11
9,1,4.81318e+11
10,0,2.14734e+11
10,1,5.11033e+11
11,0,1.11271e+11
11,1,3.15518e+11
12,0,1.08812e+11
12,1,3.1375e+11
13,0,1.99284e+11
13,1,7.59926e+11
14,0,1.04887e+11
14,1,3.50035e+11
15,0,8.80929e+10
15,1,2.81074e+11
16,0,5.73834e+10
16,1,1.84026e+11
17,0,1.00978e+11
17,1,3.17444e+11
18,0,9.71684e+10
18,1,3.12684e+11
19,0,9.80311e+10
19,1,2.8878e+11
20,0,1.03204e+11
20,1,3.67098e+11
21,0,9.9743e+10
21,1,2.88103e+11
22,0,1.43689e+11
22,1,4.18275e+11
23,0,1.58654e+11
23,1,3.72069e+11
24,0,1.9712e+11
24,1,4.45778e+11
25,0,1.07523e+11
25,1,3.32987e+11
26,0,1.08121e+11
26,1,3.24501e+11
27,0,1.80377e+11
27,1,5.03965e+11
28,0,3.13777e+10
28,1,1.79295e+11
29,0,2.62545e+10
29,1,1.6047e+11
30,0,9.74565e+10
30,1,3.46201e+11
31,0,9.91733e+10
31,1,3.11064e+11
32,0,1.00384e+11
32,1,3.98971e+11
33,0,9.01023e+10
33,1,2.4102e+11
34,0,9.54042e+10
34,1,3.04416e+11
35,0,1.04901e+11
35,1,3.46152e+11
36,0,9.93649e+10
36,1,3.09989e+11
37,0,1.67179e+11
37,1,4.04563e+11
38,0,2.00097e+11
38,1,5.50551e+11
39,0,1.11222e+11
39,1,3.10719e+11
40,0,1.04471e+11
40,1,2.73776e+11
41,0,1.09089e+11
41,1,2.97686e+11
42,0,5.48253e+09
42,1,4.03688e+10
43,0,9.88879e+10
43,1,3.78001e+11
44,0,9.85794e+10
44,1,3.39147e+11
45,0,9.52816e+10
45,1,4.1358e+11
46,0,7.71344e+10
46,1,2.7655e+11
47,0,9.3173e+10
47,1,2.89335e+11
48,0,9.82281e+10
48,1,3.63533e+11
49,0,9.57158e+10
49,1,2.79287e+11
50,0,9.20445e+10
50,1,2.57785e+11
51,0,9.96161e+10
51,1,3.00151e+11
52,0,1.08528e+11
52,1,3.95124e+11
53,0,1.03257e+11
53,1,3.19172e+11
54,0,1.10838e+11
54,1,3.50029e+11
55,0,1.21177e+11
55,1,3.63765e+11
56,0,1.00712e+11
56,1,3.48162e+11
57,0,1.00016e+11
57,1,3.14145e+11
58,0,9.75824e+10
58,1,2.85747e+11
59,0,9.76351e+10
59,1,2.85754e+11
60,0,9.0339e+09
60,1,5.57586e+10
61,0,4.50004e+10
61,1,2.50018e+11
62,0,4.88201e+10
62,1,2.04056e+11
63,0,9.33134e+10
63,1,2.8568e+11
64,0,2.24221e+10
64,1,1.21071e+11
65,0,9.25905e+10
65,1,2.62632e+11
66,0,9.60603e+10
66,1,2.7868e+11
67,0,1.07986e+11
67,1,3.40381e+11
68,0,9.9392e+10
68,1,2.69141e+11
69,0,1.08844e+11
69,1,3.24651e+11
70,0,1.54295e+11
70,1,4.20012e+11
71,0,1.04865e+11
71,1,4.21546e+11
72,0,9.67007e+10
72,1,2.8525e+11
73,0,1.04884e+11
73,1,3.87659e+11
74,0,9.31404e+10
74,1,2.73485e+11
75,0,5.68111e-24
75,1,4570.85
76,0,2.04694e+10
76,1,1.47164e+11
77,0,9.40013e+10
77,1,3.29868e+11
78,0,8.53199e+10
78,1,3.26375e+11
79,0,9.29026e+10
79,1,3.31357e+11
80,0,8.24792e+10
80,1,2.34969e+11
81,0,1.03008e+11
81,1,3.11157e+11
82,0,1.02244e+11
82,1,2.764e+11
83,0,1.04773e+11
83,1,3.28467e+11
