FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,4.66936e+07,3.12155e+06
0,0.1,1,1.141e+09,5.06369e+07
0,1,10,8.86948e+08,5.70115e+08
0,10,100,6.25926e+08,2.49668e+09
0,100,1000,2.45057e+07,5.52599e+08
0,1000,10000,127347,4.9137e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,1.03638e+06,5.81185e+06
1,10,100,2.45348e+07,2.03093e+08
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,1.44209e+07,443584
2,0.1,1,1.0358e+08,1.67334e+07
2,1,10,2.25645e+08,1.72939e+08
2,10,100,1.57872e+08,9.60024e+08
2,100,1000,258128,1.35484e+06
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,4.94975e+09,3.38514e+06
3,0.01,0.1,5.06146e+09,1.37537e+07
3,0.1,1,8.20924e+07,1.56477e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,2.03002e+07,183964
4,0.1,1,6.14167e+07,1.57179e+06
4,1,10,2.15623e+06,731865
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,1.79265e+08,457572
5,0.01,0.1,3.85928e+09,4.9445e+06
5,0.1,1,2.84801e+08,4.335e+06
5,1,10,2.33401e+06,564999
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,4.08627e+09,2.7758e+07
6,0.1,1,4.77139e+09,1.19442e+08
6,1,10,4.37208e+08,1.30519e+08
6,10,100,1.40237e+07,2.9376e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,1.40325e+08,2.06443e+06
7,0.1,1,4.88e+08,3.75719e+07
7,1,10,5.54775e+08,1.54569e+08
7,10,100,1.03807e+08,1.99087e+08
7,100,1000,1.3602e+06,6.62592e+06
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,2.58833e+09,1.7251e+07
8,0.1,1,2.34747e+09,8.24461e+07
8,1,10,2.76437e+08,6.90442e+07
8,10,100,1.18836e+07,6.72879e+06
8,100,1000,0,0
8,1000,10000,0,0
