FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,3.15046e+08,1.58434e+06
0,0.1,1,6.36862e+09,3.78477e+07
0,1,10,9.98896e+09,5.32769e+08
0,10,100,2.61498e+09,2.19989e+09
0,100,1000,6.80607e+07,5.76018e+08
0,1000,10000,163499,6.52879e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,3.34831e+06,3.03945e+06
1,10,100,5.99587e+07,1.09705e+08
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,2.3065e+06,152972
2,0.1,1,3.17367e+08,9.44019e+06
2,1,10,9.08981e+08,1.20379e+08
2,10,100,3.49734e+08,7.71806e+08
2,100,1000,365785,789282
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,7.95582e+09,3.0902e+06
3,0.01,0.1,6.50343e+09,1.93368e+07
3,0.1,1,5.8544e+07,2.64509e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,2.68787e+07,486674
4,0.1,1,6.12629e+07,2.16404e+06
4,1,10,1.29739e+06,678479
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,8.29109e+08,347017
5,0.01,0.1,2.71743e+09,6.03611e+06
5,0.1,1,3.04375e+08,5.06995e+06
5,1,10,887832,867041
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,5.4547e+09,3.44035e+07
6,0.1,1,6.25951e+09,1.3381e+08
6,1,10,8.20051e+08,1.45681e+08
6,10,100,1.73624e+07,2.65172e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,1.35936e+08,2.51352e+06
7,0.1,1,4.91423e+08,3.56045e+07
7,1,10,6.51308e+08,1.58191e+08
7,10,100,1.11307e+08,1.96734e+08
7,100,1000,1.72498e+06,6.62258e+06
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,3.56879e+09,2.35603e+07
8,0.1,1,2.64269e+09,8.36534e+07
8,1,10,3.99389e+08,7.11211e+07
8,10,100,1.2157e+06,6.28299e+06
8,100,1000,0,0
8,1000,10000,0,0
