FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,1.37639e+07,2.5523e+06
0,0.1,1,8.77649e+07,4.38643e+07
0,1,10,2.01611e+08,3.97893e+08
0,10,100,2.57315e+08,1.92937e+09
0,100,1000,1.7065e+07,5.60486e+08
0,1000,10000,160863,7.13501e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,291950,6.86076e+06
1,10,100,1.08219e+07,2.01843e+08
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,87754.1,10893
2,0.1,1,2.15371e+07,7.82732e+06
2,1,10,1.0276e+08,1.12298e+08
2,10,100,7.85377e+07,7.60709e+08
2,100,1000,391020,1.02522e+06
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,3.18032e+09,1.45207e+06
3,0.01,0.1,5.71556e+09,4.82183e+06
3,0.1,1,1.13485e+08,1.36827e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,8.80925e+06,177186
4,0.1,1,2.19548e+07,1.44281e+06
4,1,10,1.65503e+06,614544
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,9.82743e+07,147227
5,0.01,0.1,6.09751e+09,3.32173e+06
5,0.1,1,4.8011e+07,3.08498e+06
5,1,10,1.3391e+06,551980
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,3.83236e+09,1.87074e+07
6,0.1,1,2.86563e+09,8.04798e+07
6,1,10,2.91235e+08,9.9874e+07
6,10,100,1.33194e+07,1.8686e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,7.58625e+07,1.42557e+06
7,0.1,1,3.35203e+08,2.13683e+07
7,1,10,4.16497e+08,1.11749e+08
7,10,100,6.23661e+07,1.41701e+08
7,100,1000,838040,6.52009e+06
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,2.75188e+09,1.43495e+07
8,0.1,1,1.30412e+09,5.20362e+07
8,1,10,2.33719e+08,5.03154e+07
8,10,100,1.2541e+06,5.42532e+06
8,100,1000,0,0
8,1000,10000,0,0
