Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
33736.4,2,100,H,Ecto,251392
33736.4,2,1000,H,Ecto,5.74054e+06
33736.4,2,1000,H,Endo,2.8754e+07
33736.4,2,10000,H,Endo,1.57803e+07
33736.4,2,100000,H,Endo,183212
33736.4,2,100,O,Ecto,782403
33736.4,2,1000,O,Ecto,659611
33736.4,2,10000,O,Endo,10298.1
33736.4,2,1000,C,Ecto,3.60504e+07
33736.4,2,10000,C,Ecto,1.23812e+06
75491.6,2,100,H,Ecto,1.7353e+06
75491.6,2,1000,H,Ecto,14358.8
75491.6,2,1000,H,Endo,764.271
75491.6,2,10000,H,Endo,40111.1
75491.6,2,100000,H,Endo,2.90027
75491.6,2,100,O,Ecto,1.38689e+06
75491.6,2,1000,O,Ecto,75435.5
75491.6,2,10000,O,Endo,0.100776
75491.6,2,100,C,Ecto,103117
75491.6,2,1000,C,Ecto,1.0843e+06
75491.6,2,10000,C,Ecto,5261.7
40245.4,2,100,H,Ecto,1.92307e+06
40245.4,2,1000,H,Ecto,1.00161e+07
40245.4,2,1000,H,Endo,6.99523e+06
40245.4,2,10000,H,Endo,4.93442e+06
40245.4,2,100000,H,Endo,45409.7
40245.4,2,100,O,Ecto,1.57981e+06
40245.4,2,1000,O,Ecto,732968
40245.4,2,10000,O,Endo,116.059
40245.4,2,1000,C,Ecto,3.42613e+07
40245.4,2,10000,C,Ecto,1.69475e+06
51961.7,2,10,H,Ecto,856.604
51961.7,2,100,H,Ecto,23644.7
51961.7,2,1000,H,Endo,10.2002
51961.7,2,10000,H,Endo,0.518835
51961.7,2,10,O,Ecto,499.056
51961.7,2,100,O,Ecto,14639.1
51961.7,2,1000,O,Ecto,9630.5
51961.7,2,10,C,Ecto,5.83797
51961.7,2,100,C,Ecto,259.126
51961.7,2,1000,C,Ecto,34131.4
51961.7,2,10000,C,Ecto,0.00110254
695.239,5,10,H,Ecto,3.47238e+06
695.239,5,100,H,Ecto,2.06917e+07
695.239,5,1000,H,Endo,129.083
695.239,5,10000,H,Endo,17.1035
695.239,5,10,O,Ecto,525550
695.239,5,100,O,Ecto,2.40712e+07
695.239,5,1000,O,Ecto,8.14313e+06
695.239,5,10,C,Ecto,2755.16
695.239,5,100,C,Ecto,652006
695.239,5,1000,C,Ecto,2.14887e+07
695.239,5,10000,C,Ecto,0.0535956
101.363,5,1,H,Ecto,1.02364e+06
101.363,5,10,H,Ecto,594502
101.363,5,100,H,Ecto,3.04588e+06
101.363,5,10,O,Ecto,450314
101.363,5,100,O,Ecto,1.71812e+06
101.363,5,100,C,Ecto,12.4147
101.363,5,1000,C,Ecto,26526.7
