Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
33736.4,2,100,H,Ecto,481756
33736.4,2,1000,H,Ecto,2.67413e+06
33736.4,2,10000,H,Ecto,1.7023e-05
33736.4,2,1000,H,Endo,7.22741e+06
33736.4,2,10000,H,Endo,1.53412e+08
33736.4,2,100000,H,Endo,567009
33736.4,2,100,O,Ecto,1.3069e+06
33736.4,2,1000,O,Ecto,1.78267e+06
33736.4,2,10000,O,Endo,5457.21
33736.4,2,1000,C,Ecto,6.51673e+07
33736.4,2,10000,C,Ecto,2.97197e+06
75491.6,2,100,H,Ecto,705352
75491.6,2,1000,H,Ecto,45878.4
75491.6,2,1000,H,Endo,1537.04
75491.6,2,10000,H,Endo,151429
75491.6,2,100000,H,Endo,23.8734
75491.6,2,100,O,Ecto,1.39145e+06
75491.6,2,1000,O,Ecto,952937
75491.6,2,10000,O,Endo,0.319543
75491.6,2,100,C,Ecto,71616.5
75491.6,2,1000,C,Ecto,2.2159e+06
75491.6,2,10000,C,Ecto,388.055
40245.4,2,100,H,Ecto,1.47903e+06
40245.4,2,1000,H,Ecto,4.07711e+06
40245.4,2,10000,H,Ecto,7.10005e-06
40245.4,2,1000,H,Endo,4.3148e+06
40245.4,2,10000,H,Endo,1.4057e+08
40245.4,2,100000,H,Endo,35645.8
40245.4,2,100,O,Ecto,4.74778e+06
40245.4,2,1000,O,Ecto,3.67695e+06
40245.4,2,10000,O,Endo,100.793
40245.4,2,100,C,Ecto,55166.4
40245.4,2,1000,C,Ecto,8.58719e+07
40245.4,2,10000,C,Ecto,3.14711e+06
51961.7,2,10,H,Ecto,54.6156
51961.7,2,100,H,Ecto,58761.9
51961.7,2,1000,H,Ecto,6666.84
51961.7,2,1000,H,Endo,76.9782
51961.7,2,10000,H,Endo,0.200651
51961.7,2,10,O,Ecto,58.2236
51961.7,2,100,O,Ecto,52908.2
51961.7,2,1000,O,Ecto,17529.5
51961.7,2,10,C,Ecto,0.00109178
51961.7,2,100,C,Ecto,790.254
51961.7,2,1000,C,Ecto,21329.3
51961.7,2,10000,C,Ecto,0.613912
43836.1,2,1000,H,Ecto,49565.2
43836.1,2,10000,H,Ecto,0.174874
43836.1,2,1000,H,Endo,3627.66
43836.1,2,10000,H,Endo,7.90388e+06
43836.1,2,100,O,Ecto,0.454309
43836.1,2,1000,O,Ecto,14060
43836.1,2,10000,O,Endo,449.753
43836.1,2,100,C,Ecto,0.0116419
43836.1,2,1000,C,Ecto,1.03508e+06
43836.1,2,10000,C,Ecto,5217.34
12094.4,2,10,H,Ecto,154927
12094.4,2,100,H,Ecto,355222
12094.4,2,1000,H,Ecto,163755
12094.4,2,1000,H,Endo,13418.1
12094.4,2,10,O,Ecto,11947.3
12094.4,2,100,O,Ecto,163722
12094.4,2,1000,O,Ecto,213929
12094.4,2,10,C,Ecto,6.55116
12094.4,2,100,C,Ecto,364332
12094.4,2,1000,C,Ecto,1.10183e+06
12094.4,2,10000,C,Ecto,91748
51104.4,2,100,H,Ecto,314485
51104.4,2,1000,H,Ecto,5.44259e+06
51104.4,2,1000,H,Endo,420559
51104.4,2,10000,H,Endo,2.47626e+07
51104.4,2,100,O,Ecto,392476
51104.4,2,1000,O,Ecto,2.12931e+06
51104.4,2,10000,O,Endo,1910.99
51104.4,2,100,C,Ecto,180220
51104.4,2,1000,C,Ecto,1.29111e+07
51104.4,2,10000,C,Ecto,2.6619e+06
7457.79,2,100,H,Ecto,1.20825e+07
7457.79,2,1000,H,Ecto,1.51913e+06
7457.79,2,1000,H,Endo,1.06877e+07
7457.79,2,10000,H,Endo,2.31415e+07
7457.79,2,100,O,Ecto,5.43605e+06
7457.79,2,1000,O,Ecto,3.89918e+07
7457.79,2,10000,O,Ecto,8245.61
7457.79,2,10000,O,Endo,227498
7457.79,2,1000,C,Ecto,493097
7457.79,2,10000,C,Ecto,782005
12361.4,2,100,H,Ecto,2.31405e+07
12361.4,2,1000,H,Ecto,6.16176e+06
12361.4,2,1000,H,Endo,6.10489e+07
12361.4,2,10000,H,Endo,4.20503e+07
12361.4,2,100000,H,Endo,2.46002
12361.4,2,100,O,Ecto,169586
12361.4,2,1000,O,Ecto,1.0672e+07
12361.4,2,1000,O,Endo,9.68652
12361.4,2,10000,O,Endo,27806.2
12361.4,2,1000,C,Ecto,1.51347e+06
12361.4,2,10000,C,Ecto,2.24588e+06
11794.9,2,10,H,Ecto,1.8459e+07
11794.9,2,100,H,Ecto,1.28897e+07
11794.9,2,1000,H,Ecto,9.67877e+06
11794.9,2,10000,H,Endo,2.14485e+06
11794.9,2,10,O,Ecto,35854.2
11794.9,2,100,O,Ecto,2.50436e+06
11794.9,2,1000,O,Ecto,1.26949e+06
11794.9,2,10000,O,Ecto,26505.8
11794.9,2,1000,O,Endo,6.45959e-22
11794.9,2,10000,O,Endo,7.00718e-25
11794.9,2,10,C,Ecto,4131.54
11794.9,2,100,C,Ecto,2.72005e+06
11794.9,2,1000,C,Ecto,461306
11794.9,2,10000,C,Ecto,1723.9
11104.8,2,100,H,Ecto,8.27521e+06
11104.8,2,1000,H,Ecto,2.1626e+06
11104.8,2,1000,H,Endo,1.67897e+07
11104.8,2,10000,H,Endo,1.57451e+07
11104.8,2,100000,H,Endo,0.0100682
11104.8,2,100,O,Ecto,100426
11104.8,2,1000,O,Ecto,4.01649e+06
11104.8,2,1000,O,Endo,1.48546
11104.8,2,10000,O,Endo,18366.3
11104.8,2,1000,C,Ecto,531729
11104.8,2,10000,C,Ecto,785033
3848.3,2,100,H,Ecto,349051
3848.3,2,1000,H,Ecto,1.08901e+06
3848.3,2,10000,H,Ecto,10.022
3848.3,2,1000,H,Endo,1.21294e+07
3848.3,2,10000,H,Endo,41.9112
3848.3,2,100,O,Ecto,2.47477e+06
3848.3,2,1000,O,Ecto,135246
3848.3,2,1000,O,Endo,5.21386e+06
3848.3,2,10000,O,Endo,28213.6
3848.3,2,100,C,Ecto,6096.58
3848.3,2,1000,C,Ecto,3.34322e+06
3848.3,2,10000,C,Ecto,169830
38776.6,2,100,H,Ecto,422061
38776.6,2,1000,H,Ecto,3.77906e+07
38776.6,2,10000,H,Ecto,35.8515
38776.6,2,1000,H,Endo,3.89363e+06
38776.6,2,10000,H,Endo,2.2944e+06
38776.6,2,100000,H,Endo,10.2261
38776.6,2,100,O,Ecto,24465.5
38776.6,2,1000,O,Ecto,539123
38776.6,2,10000,O,Ecto,439.602
38776.6,2,1000,O,Endo,6.11844e+06
38776.6,2,10000,O,Endo,1.90153e+06
38776.6,2,100,C,Ecto,703.446
38776.6,2,1000,C,Ecto,1.5953e+07
38776.6,2,10000,C,Ecto,1.92517e+06
6257.22,2,100,H,Ecto,7.50978e+06
6257.22,2,1000,H,Ecto,8.18144e+07
6257.22,2,10000,H,Ecto,272.876
6257.22,2,1000,H,Endo,5.79577e+08
6257.22,2,10000,H,Endo,85745
6257.22,2,100,O,Ecto,1.19684e+07
6257.22,2,1000,O,Ecto,4.12716e+06
6257.22,2,1000,O,Endo,1.53277e+08
6257.22,2,10000,O,Endo,2.38053e+06
6257.22,2,100,C,Ecto,2.61562e+06
6257.22,2,1000,C,Ecto,1.05189e+08
6257.22,2,10000,C,Ecto,1.94393e+07
85041.8,2,1000,H,Ecto,7392.22
85041.8,2,10000,H,Ecto,0.00601198
85041.8,2,1000,H,Endo,8897.52
85041.8,2,10000,H,Endo,203490
85041.8,2,100000,H,Endo,1945.12
85041.8,2,1000,O,Ecto,380.763
85041.8,2,10000,O,Ecto,90.5334
85041.8,2,1000,O,Endo,14552.8
85041.8,2,10000,O,Endo,219.26
85041.8,2,1000,C,Ecto,7332.8
85041.8,2,10000,C,Ecto,20.8587
39456.7,2,100,H,Ecto,5248.35
39456.7,2,1000,H,Ecto,16886.2
39456.7,2,10000,H,Ecto,0.180272
39456.7,2,1000,H,Endo,175024
39456.7,2,100,O,Ecto,67581.6
39456.7,2,1000,O,Ecto,6653.13
39456.7,2,1000,O,Endo,111355
39456.7,2,10000,O,Endo,658.832
39456.7,2,100,C,Ecto,498.465
39456.7,2,1000,C,Ecto,54784.3
39456.7,2,10000,C,Ecto,1587.86
85041.8,2,100,H,Ecto,1.51017e+06
85041.8,2,1000,H,Ecto,5.29073e+06
85041.8,2,10000,H,Ecto,0.104163
85041.8,2,1000,H,Endo,36999.2
85041.8,2,10,O,Ecto,53150.7
85041.8,2,100,O,Ecto,6.12068e+06
85041.8,2,1000,O,Ecto,793546
85041.8,2,1000,O,Endo,840014
85041.8,2,10000,O,Endo,290.368
85041.8,2,100,C,Ecto,93412.9
85041.8,2,1000,C,Ecto,2.67862e+06
6385.34,2,100,H,Ecto,1.51117e+07
6385.34,2,1000,H,Ecto,6.00216e+07
6385.34,2,10000,H,Ecto,1.21443
6385.34,2,1000,H,Endo,688826
