Month,Year,Biomass_FG_0,Biomass_FG_1,Biomass_FG_2,Biomass_FG_3,Biomass_FG_4,Biomass_FG_5,Biomass_FG_6,Biomass_FG_7,Biomass_FG_8
1, 1,2.13907e+09,0,2.52001e+08,8.17624e+06,1.89162e+06,7.12581e+06,4.35593e+08,2.87782e+08,2.86537e+08
2, 1,1.92157e+09,0,2.31415e+08,7.44841e+06,1.71468e+06,6.54946e+06,3.98026e+08,2.64593e+08,2.62909e+08
3, 1,1.73395e+09,0,2.06004e+08,6.7357e+06,1.55291e+06,6.03588e+06,3.64975e+08,2.44154e+08,2.42276e+08
4, 1,1.70129e+09,0,1.94013e+08,5.98986e+06,1.40634e+06,5.55608e+06,3.37432e+08,2.27118e+08,2.25455e+08
5, 1,1.7468e+09,0,1.87644e+08,6.16244e+06,1.4032e+06,5.80179e+06,3.56519e+08,2.36914e+08,2.39204e+08
6, 1,1.8342e+09,0,1.87117e+08,8.03938e+06,1.68238e+06,7.37838e+06,4.42265e+08,2.73471e+08,2.90459e+08
7, 1,1.94394e+09,0,1.89756e+08,8.84178e+06,2.02043e+06,8.10346e+06,5.02712e+08,3.01734e+08,3.2316e+08
8, 1,2.06408e+09,0,1.95534e+08,9.70609e+06,2.47904e+06,8.51254e+06,5.72971e+08,3.3946e+08,3.64162e+08
9, 1,2.16974e+09,0,2.07546e+08,1.00159e+07,3.06117e+06,9.12025e+06,6.51584e+08,3.98314e+08,4.1319e+08
10, 1,2.29296e+09,0,2.20214e+08,9.11216e+06,2.79483e+06,8.45744e+06,5.91926e+08,3.65831e+08,3.73493e+08
11, 1,2.34618e+09,0,2.27144e+08,8.32644e+06,2.49385e+06,7.80094e+06,5.37491e+08,3.36582e+08,3.38396e+08
12, 1,2.25603e+09,0,2.25149e+08,7.57862e+06,2.14756e+06,7.21418e+06,4.88551e+08,3.09784e+08,3.06901e+08
13, 2,2.04983e+09,0,2.23372e+08,6.87176e+06,1.82217e+06,6.68257e+06,4.435e+08,2.84709e+08,2.78565e+08
14, 2,1.75409e+09,0,2.15934e+08,6.17875e+06,1.52934e+06,6.17883e+06,4.01816e+08,2.61359e+08,2.53024e+08
15, 2,1.5753e+09,0,2.0467e+08,5.4815e+06,1.33582e+06,5.69888e+06,3.64897e+08,2.40886e+08,2.30706e+08
16, 2,1.53577e+09,0,1.97328e+08,4.73744e+06,1.21383e+06,5.16709e+06,3.36994e+08,2.24211e+08,2.12008e+08
17, 2,1.57913e+09,0,1.96745e+08,5.28422e+06,1.21039e+06,5.39954e+06,3.57134e+08,2.3068e+08,2.23878e+08
18, 2,1.68353e+09,0,2.0068e+08,7.23618e+06,1.3086e+06,6.34504e+06,4.48257e+08,2.6246e+08,2.70956e+08
19, 2,1.78737e+09,0,2.05597e+08,7.92643e+06,1.46119e+06,7.14216e+06,5.08414e+08,2.88559e+08,3.01264e+08
20, 2,1.90723e+09,0,2.12853e+08,8.65757e+06,1.66352e+06,7.98582e+06,5.8287e+08,3.23271e+08,3.35122e+08
21, 2,2.00895e+09,0,2.17847e+08,9.0693e+06,2.31316e+06,7.84763e+06,6.68452e+08,3.79633e+08,3.82656e+08
22, 2,2.1284e+09,0,2.24178e+08,8.3296e+06,2.06237e+06,7.27309e+06,6.10411e+08,3.48844e+08,3.47074e+08
23, 2,2.19108e+09,0,2.29102e+08,7.63876e+06,1.83799e+06,6.72307e+06,5.56677e+08,3.20448e+08,3.15016e+08
24, 2,2.14056e+09,0,2.28627e+08,6.98916e+06,1.64144e+06,6.21591e+06,5.08816e+08,2.95315e+08,2.8653e+08
25, 3,1.99793e+09,0,2.21966e+08,6.36763e+06,1.45891e+06,5.74369e+06,4.65462e+08,2.71661e+08,2.6109e+08
26, 3,1.78338e+09,0,2.09015e+08,5.77104e+06,1.28624e+06,5.30707e+06,4.26475e+08,2.50471e+08,2.38335e+08
27, 3,1.66434e+09,0,1.95656e+08,5.17615e+06,1.12695e+06,4.89121e+06,3.91378e+08,2.31801e+08,2.18378e+08
28, 3,1.6418e+09,0,1.8985e+08,4.56239e+06,989492,4.47385e+06,3.63294e+08,2.16053e+08,2.02028e+08
29, 3,1.67457e+09,0,1.86941e+08,5.10323e+06,965373,4.96177e+06,3.89566e+08,2.23141e+08,2.14362e+08
30, 3,1.75296e+09,0,1.91684e+08,7.42713e+06,1.02355e+06,6.38485e+06,4.87161e+08,2.55501e+08,2.62597e+08
31, 3,1.86868e+09,0,1.97396e+08,8.63166e+06,1.10969e+06,7.36798e+06,5.49713e+08,2.8406e+08,2.96755e+08
32, 3,2.00408e+09,0,2.04328e+08,9.40138e+06,1.30923e+06,8.32797e+06,6.23773e+08,3.2424e+08,3.37559e+08
33, 3,2.09906e+09,0,2.13861e+08,1.03656e+07,1.82089e+06,8.84066e+06,7.09388e+08,3.89465e+08,3.8731e+08
34, 3,2.23051e+09,0,2.24487e+08,9.41879e+06,1.7232e+06,8.13377e+06,6.43136e+08,3.58368e+08,3.53142e+08
35, 3,2.29379e+09,0,2.33425e+08,8.59559e+06,1.62954e+06,7.14921e+06,5.83724e+08,3.28953e+08,3.21999e+08
36, 3,2.26229e+09,0,2.3456e+08,7.8428e+06,1.5332e+06,6.55905e+06,5.30019e+08,3.02636e+08,2.93143e+08
37, 4,2.14084e+09,0,2.30513e+08,7.12791e+06,1.44872e+06,6.02393e+06,4.81469e+08,2.7922e+08,2.67303e+08
38, 4,1.94545e+09,0,2.1905e+08,6.44488e+06,1.3751e+06,5.51337e+06,4.37066e+08,2.5777e+08,2.43943e+08
39, 4,1.79091e+09,0,2.00973e+08,5.76275e+06,1.304e+06,5.00491e+06,3.98595e+08,2.38277e+08,2.23442e+08
40, 4,1.76144e+09,0,1.93421e+08,5.06037e+06,1.23304e+06,4.48749e+06,3.6688e+08,2.22189e+08,2.0863e+08
