GridcellIndex,Cohort_FunctionalGroupIndex,Cohort_AdultMass,Cohort_Consumed_Autotroph,Cohort_Consumed_Herbivore,Cohort_Consumed_Omnivore,Cohort_Consumed_Carnivore
0,0,85947.5,1.75538e+09,0,0,0
0,0,117291,9.38247e+06,0,0,0
0,0,74137.9,4.51435e+07,0,0,0
0,0,12972.5,3.48995e+09,0,0,0
0,0,14496.5,2.92768e+08,0,0,0
0,0,50066.8,2.68873e+07,0,0,0
0,0,84028.9,1.35229e+09,0,0,0
0,0,13564.2,1.26112e+08,0,0,0
0,0,82262.7,7.48754e+06,0,0,0
0,0,15129,3.53856e+08,0,0,0
0,0,36408.4,0,0,0,0
0,2,81677.5,480839,181877,28938.1,293.729
0,2,46438.6,1.0452e+08,1.44675e+07,4.16577e+06,191036
0,2,95218.5,97641.2,63941.7,6106.39,14.904
0,2,36331.3,2.62225e+09,4.74316e+08,1.51244e+08,7.68926e+06
0,2,13366.5,7.66394e+08,3.42446e+08,6.03367e+07,1.35574e+07
0,2,85325.3,4.28338e+06,3.10724e+06,249301,337961
0,2,93633.5,0,0,0,0
0,3,65.5304,3.54056e+07,0,0,0
0,3,377.186,3.20145e+07,0,0,0
0,3,5.41374,1.2046e+07,0,0,0
0,4,248.142,0,3.58898e+07,454914,323637
0,5,99.7157,1.29377e+07,266639,2242.84,10.3767
0,5,753.104,3.2119e+07,3.77943e+06,142271,5907.65
0,6,1266.35,8.51177e+07,0,0,0
0,6,183.948,1153.71,0,0,0
0,6,498.164,3.40977e+06,0,0,0
0,6,448.067,2.5407e+06,0,0,0
0,6,151.669,6.62502e+06,0,0,0
0,6,380.867,6.95571e+07,0,0,0
0,6,976.651,3.22391e+08,0,0,0
0,6,183.948,1.10012e+07,0,0,0
0,6,105.115,8.99835e+06,0,0,0
0,6,42.0066,1.10949e+07,0,0,0
0,6,292.01,5.26805e+07,0,0,0
0,6,1152.68,8.26026e+07,0,0,0
0,6,498.164,1.5687e+07,0,0,0
0,6,11528.9,5.00371e+06,0,0,0
0,6,544.105,5.57014e+06,0,0,0
0,6,40.653,8.68461e+06,0,0,0
0,6,193.211,398263,0,0,0
0,6,219.985,1.99679e+07,0,0,0
0,6,183.948,7995.84,0,0,0
0,6,39.9854,152069,0,0,0
0,6,2809.14,1.48426e+08,0,0,0
0,6,1221.02,5.20052e+07,0,0,0
0,6,493.053,0,0,0,0
0,6,183.948,0,0,0,0
0,6,438.095,0,0,0,0
0,6,134.128,0,0,0,0
0,7,851.533,0,647840,1.1406e+06,214534
0,7,96.4193,0,7.9489,0.031894,0.00182678
0,7,975.98,0,473982,8073.83,627.453
0,7,1989.28,0,1687.62,1431.81,149.139
0,7,3241.22,0,1.15773e+06,1.11695e+06,98194.5
0,7,4432.86,0,3.94594e+07,9.90573e+06,1.24991e+06
0,7,489.949,0,2.19868e+07,718036,713832
0,7,542.675,0,34961.2,80963.5,29862.8
0,7,17717.2,0,1.06308e+06,189850,126607
0,7,1215.24,0,335709,75147.8,68425.1
0,7,356.71,0,2.67315e+07,4.49018e+06,4.70429e+06
0,7,4793.44,0,6470.01,16.8016,0
0,7,18014.9,0,1.28031e+07,2.11382e+07,1.30232e+07
0,7,10436.1,0,6.01588e+07,632886,495159
0,7,369.939,0,3.98821e+07,1.19639e+06,405785
0,7,5110.36,0,1.79232e+06,47114.1,17327.2
0,7,558.643,0,453302,12478.1,989.11
0,7,24150.6,0,3.21323e+06,224743,283978
0,7,2049.77,0,2.29772e+07,1.14233e+06,441596
0,7,836.254,0,892368,150.406,0
0,7,6425.15,0,5.08417e+06,1.91458e+06,426833
0,7,3488.15,0,7.31316e+06,309148,39958.6
0,7,17589.1,0,5.10811e+06,76941.6,39393.5
0,7,2046.56,0,0,0,0
0,7,4097.96,0,0,0,0
0,8,1902.48,638455,247607,374780,31073.2
0,8,369.796,4.61164e+06,1.83831e+06,558057,449568
0,8,554.035,139062,11044,24111.8,12114.6
0,8,1539.86,3.31093e+07,5.05527e+06,4.75501e+06,2.29821e+06
0,8,161.015,7.7455e+06,7.64598e+06,370780,520295
0,8,13434.3,58072,22662.3,18751.8,1927.51
0,8,5396.97,6.30127e+07,3.43536e+07,1.87347e+07,1.03034e+06
0,8,1052.24,5.85762e+07,5.67266e+06,9.18012e+06,4.56789e+06
0,8,376.637,1.2569e+07,2.52163e+07,224544,167736
0,8,1907.99,3.96842e+07,1.2552e+07,1.14085e+06,761139
0,8,896.294,1.07588e+08,1.39064e+08,8.33683e+06,1.07019e+07
0,8,77.2903,1.06882e+07,294632,769.155,0
0,8,1901.51,2.45925e+07,554302,93819.8,14355.4
0,8,369.796,68632.1,3213.44,144.228,3.14704
0,8,422.75,2.65767e+07,2.9719e+07,465175,342391
0,8,870.982,4.6785e+07,6.81567e+06,785630,295696
0,8,502.143,1.04332e+08,4.81634e+07,4.92453e+06,4.98978e+06
0,8,367.837,9.04088e+06,172456,0,0
0,8,5716.57,3.00253e+06,1.64325e+06,252431,261914
0,8,1902.48,1.72245e+06,233357,8295.04,391.491
0,8,34018.9,53834.1,13200.2,4064.68,1374.11
0,8,161.015,0,0,0,0
0,8,513.248,0,0,0,0
0,8,369.796,0,0,0,0
1,0,23370,2.30315e+08,0,0,0
1,0,15004.8,6.03976e+09,0,0,0
1,0,12167.2,9.07799e+09,0,0,0
1,0,101738,1.75335e+07,0,0,0
1,0,12238.6,3.63207e+08,0,0,0
1,0,8840.89,1.31782e+09,0,0,0
1,0,34740.1,621146,0,0,0
1,2,13726.8,1.25072e+07,1.64918e+07,1.52271e+06,34074
1,2,86412.5,1.59109e+08,1.13278e+08,3.43167e+07,6.47356e+06
1,2,26760.3,7.364e+07,1.4517e+07,5.94105e+07,118275
1,2,13726.8,1.61026e+08,4.67034e+07,5.99394e+07,3.007e+07
1,2,13381.8,2.18808e+07,2.28771e+06,3.34113e+06,3.41258e+06
1,3,8.35744,4.55352e+07,0,0,0
1,6,1926.8,3.47949e+07,0,0,0
1,6,830.065,7.71678e+08,0,0,0
1,6,3984.29,8.37959e+07,0,0,0
1,6,40.5023,91692.4,0,0,0
1,6,971.48,9.51892e+06,0,0,0
1,6,53.4362,3.38768e+07,0,0,0
1,6,2888.5,5.70818e+07,0,0,0
1,6,111.235,2.78666e+07,0,0,0
1,6,9351.74,1.43602e+06,0,0,0
1,6,54.61,2.25658e+07,0,0,0
1,6,250.307,1031.52,0,0,0
