FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,4.16258e+10,2.85882e+08
0,0.1,1,1.99302e+11,1.4531e+09
0,1,10,3.01275e+10,3.41158e+09
0,10,100,1.21193e+09,2.30295e+09
0,100,1000,3.92034e+07,1.02226e+09
0,1000,10000,2.83442e+06,2.18204e+08
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,7.91849e+08,7.02396e+08
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,3.69444e+10,6.71928e+08
2,1,10,7.66214e+09,1.18476e+09
2,10,100,3.97195e+08,1.12427e+09
2,100,1000,9.55013e+06,1.4971e+08
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,1.10831e+09,866026
3,0.01,0.1,1.05293e+09,5.05459e+06
3,0.1,1,1.32857e+08,4.56915e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,2.32131e+07,399904
4,0.1,1,6.29331e+07,1.51985e+07
4,1,10,2.56206e+07,1.13577e+07
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,6.28686e+08,422105
5,0.01,0.1,1.85186e+08,1.24782e+06
5,0.1,1,2.20067e+08,5.70244e+06
5,1,10,4.10125e+06,2.33542e+06
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,2.30396e+09,2.25159e+07
6,0.1,1,1.19658e+09,4.7372e+07
6,1,10,1.87406e+08,4.21817e+07
6,10,100,2.59088e+06,3.98478e+06
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,5.4447e+07,1.08235e+06
7,0.1,1,9.39223e+08,7.21373e+07
7,1,10,6.40592e+08,2.11856e+08
7,10,100,1.16098e+08,1.66552e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,1.96548e+09,1.84287e+07
8,0.1,1,1.33919e+09,5.17918e+07
8,1,10,1.6374e+08,4.91862e+07
8,10,100,449972,3.30836e+06
8,100,1000,0,0
8,1000,10000,0,0
