FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,5.77948e+10,1.88942e+08
0,0.1,1,3.19588e+11,1.66012e+09
0,1,10,4.92593e+10,3.42917e+09
0,10,100,1.27827e+09,2.19419e+09
0,100,1000,4.76411e+07,1.00184e+09
0,1000,10000,6.51912e+06,2.31821e+08
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,1.07815e+09,7.5864e+08
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,2.14115e+10,7.3193e+08
2,1,10,1.19703e+10,1.26711e+09
2,10,100,9.74604e+08,1.08052e+09
2,100,1000,1.12916e+07,1.55283e+08
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,1.88347e+09,415027
3,0.01,0.1,9.23405e+08,3.24298e+06
3,0.1,1,1.50791e+08,3.59844e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,2.32931e+07,251072
4,0.1,1,7.86581e+07,1.02374e+07
4,1,10,3.21593e+07,8.40711e+06
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,7.66939e+08,250878
5,0.01,0.1,1.29134e+08,771570
5,0.1,1,1.29708e+08,4.30384e+06
5,1,10,5.3944e+06,2.13925e+06
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,2.38285e+09,1.42355e+07
6,0.1,1,1.49565e+09,4.14448e+07
6,1,10,1.49047e+08,3.78145e+07
6,10,100,2.19658e+06,3.51512e+06
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,4.03139e+07,704027
7,0.1,1,9.27033e+08,4.88641e+07
7,1,10,8.37631e+08,1.75859e+08
7,10,100,8.06572e+07,1.42724e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,1.86561e+09,1.11919e+07
8,0.1,1,1.44806e+09,4.05833e+07
8,1,10,1.65347e+08,4.02051e+07
8,10,100,525252,3.6467e+06
8,100,1000,0,0
8,1000,10000,0,0
