FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,4.78285e+09,3.1692e+08
0,0.1,1,2.48661e+10,2.08885e+09
0,1,10,7.30013e+09,3.25458e+09
0,10,100,8.89252e+08,1.43954e+09
0,100,1000,5.21544e+07,1.03105e+09
0,1000,10000,1.23666e+06,2.3312e+08
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,1.89135e+08,1.34033e+09
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,5.68034e+09,7.40339e+08
2,1,10,2.32696e+09,1.10947e+09
2,10,100,2.89831e+08,1.28033e+09
2,100,1000,9.94646e+06,1.00645e+08
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,3.38565e+09,1.04022e+06
3,0.01,0.1,1.99063e+09,1.48694e+07
3,0.1,1,1.58169e+08,1.18158e+07
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,2.58842e+07,2.03848e+06
4,0.1,1,2.91384e+08,3.80242e+07
4,1,10,1.34924e+07,1.31568e+07
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,2.0412e+09,1.2119e+06
5,0.01,0.1,3.59952e+08,3.31009e+06
5,0.1,1,2.0976e+08,2.23959e+07
5,1,10,1.70932e+06,2.83568e+06
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,6.29327e+09,5.02143e+07
6,0.1,1,2.35595e+09,9.41635e+07
6,1,10,2.97389e+08,6.29173e+07
6,10,100,2.29807e+06,5.24956e+06
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,9.28937e+07,2.27541e+06
7,0.1,1,2.25961e+09,1.75376e+08
7,1,10,1.24186e+09,3.50412e+08
7,10,100,1.19003e+08,2.85531e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,3.65165e+09,3.85983e+07
8,0.1,1,3.06407e+09,9.31853e+07
8,1,10,3.37314e+08,7.20858e+07
8,10,100,1.09172e+06,3.4282e+06
8,100,1000,0,0
8,1000,10000,0,0
