FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,1.63589e+09,2.3752e+08
0,0.1,1,3.30693e+09,1.52893e+09
0,1,10,3.51711e+09,2.84854e+09
0,10,100,3.31593e+08,2.1169e+09
0,100,1000,2.76406e+07,1.02367e+09
0,1000,10000,1.03863e+06,2.51416e+08
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,9.40272e+07,1.23388e+09
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,2.47617e+09,7.1463e+08
2,1,10,1.4326e+09,1.0259e+09
2,10,100,1.93635e+08,1.00272e+09
2,100,1000,6.47545e+06,1.63222e+08
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,1.65526e+10,1.7931e+06
3,0.01,0.1,1.27431e+09,6.0024e+06
3,0.1,1,1.95006e+08,5.7554e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,4.21593e+07,671761
4,0.1,1,1.38399e+08,1.79207e+07
4,1,10,4.18006e+07,1.16907e+07
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,1.74791e+09,594326
5,0.01,0.1,1.08902e+08,1.31077e+06
5,0.1,1,8.37713e+07,6.97735e+06
5,1,10,6.9842e+06,3.36486e+06
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,3.00615e+09,2.56172e+07
6,0.1,1,1.97155e+09,6.9365e+07
6,1,10,1.84381e+08,5.57486e+07
6,10,100,2.01126e+06,4.03672e+06
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,5.03803e+07,1.36063e+06
7,0.1,1,1.26639e+09,9.17593e+07
7,1,10,9.79177e+08,2.94232e+08
7,10,100,1.05338e+08,2.24215e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,2.35347e+09,2.04747e+07
8,0.1,1,1.7334e+09,6.89268e+07
8,1,10,1.56586e+08,5.44228e+07
8,10,100,1.10732e+06,8.5136e+06
8,100,1000,0,0
8,1000,10000,0,0
