FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,1.77805e+09,2.71242e+08
0,0.1,1,8.77029e+09,2.02315e+09
0,1,10,5.27659e+09,3.32108e+09
0,10,100,7.32263e+08,1.39776e+09
0,100,1000,4.57404e+07,1.03497e+09
0,1000,10000,1.08881e+06,2.3522e+08
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,1.25475e+08,1.35371e+09
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,3.43815e+09,7.70446e+08
2,1,10,1.87374e+09,1.16329e+09
2,10,100,2.30236e+08,1.24673e+09
2,100,1000,4.93525e+06,8.12741e+07
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,3.01114e+09,872820
3,0.01,0.1,1.77153e+09,1.13821e+07
3,0.1,1,9.40666e+07,1.04674e+07
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,2.06579e+07,1.56723e+06
4,0.1,1,2.27251e+08,3.11058e+07
4,1,10,1.19081e+07,1.10063e+07
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,1.85097e+09,962983
5,0.01,0.1,3.16634e+08,2.55791e+06
5,0.1,1,1.72167e+08,1.81406e+07
5,1,10,1.52449e+06,2.44703e+06
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,5.24695e+09,3.73719e+07
6,0.1,1,1.92576e+09,7.59553e+07
6,1,10,2.51117e+08,5.37148e+07
6,10,100,1.97086e+06,4.42961e+06
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,7.26828e+07,1.64051e+06
7,0.1,1,1.69922e+09,1.35003e+08
7,1,10,9.82776e+08,2.86377e+08
7,10,100,1.05597e+08,2.35968e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,2.89753e+09,2.92885e+07
8,0.1,1,2.6289e+09,7.26755e+07
8,1,10,2.76647e+08,6.16715e+07
8,10,100,964002,3.10725e+06
8,100,1000,0,0
8,1000,10000,0,0
