GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,9.37788e+10
0,1,3.18905e+11
1,0,1.16439e+11
1,1,4.46542e+11
2,0,1.19068e+11
2,1,4.56883e+11
3,0,1.19574e+11
3,1,4.31777e+11
4,0,1.17895e+11
4,1,3.62822e+11
5,0,1.27605e+11
5,1,4.775e+11
6,0,1.22198e+11
6,1,3.95623e+11
7,0,1.1844e+11
7,1,3.56328e+11
8,0,1.19962e+11
8,1,3.54901e+11
9,0,1.22496e+11
9,1,3.71817e+11
10,0,1.26233e+11
10,1,3.82903e+11
11,0,1.26449e+11
11,1,3.60591e+11
12,0,1.29843e+11
12,1,4.04505e+11
13,0,1.33629e+11
13,1,4.52962e+11
14,0,1.12147e+11
14,1,3.57853e+11
15,0,9.79142e+10
15,1,3.4989e+11
16,0,6.51731e+10
16,1,2.9543e+11
17,0,1.17474e+11
17,1,4.55932e+11
18,0,1.14107e+11
18,1,3.73772e+11
19,0,1.19391e+11
19,1,4.07282e+11
20,0,1.1385e+11
20,1,3.35562e+11
21,0,1.17719e+11
21,1,3.87501e+11
22,0,1.03532e+11
22,1,2.63254e+11
23,0,1.17448e+11
23,1,3.69831e+11
24,0,1.24155e+11
24,1,3.79915e+11
25,0,1.27675e+11
25,1,4.28346e+11
26,0,1.25927e+11
26,1,3.84306e+11
27,0,1.25358e+11
27,1,3.36208e+11
28,0,3.22594e+10
28,1,1.44344e+11
29,0,2.87664e+10
29,1,1.77268e+11
30,0,1.06163e+11
30,1,3.34357e+11
31,0,9.73152e+10
31,1,2.40635e+11
32,0,1.0826e+11
32,1,3.55316e+11
33,0,1.12218e+11
33,1,3.75438e+11
34,0,1.11105e+11
34,1,3.51901e+11
35,0,1.0809e+11
35,1,2.90153e+11
36,0,1.13603e+11
36,1,3.56945e+11
37,0,1.15327e+11
37,1,3.55927e+11
38,0,1.2116e+11
38,1,3.60497e+11
39,0,1.18335e+11
39,1,3.30948e+11
40,0,1.25809e+11
40,1,3.89989e+11
41,0,1.33361e+11
41,1,4.11244e+11
42,0,5.93619e+09
42,1,3.90622e+10
43,0,1.10169e+11
43,1,4.09565e+11
44,0,9.26347e+10
44,1,2.24839e+11
45,0,9.98755e+10
45,1,3.38997e+11
46,0,8.03083e+10
46,1,2.66782e+11
47,0,1.00272e+11
47,1,2.80179e+11
48,0,1.08037e+11
48,1,3.40476e+11
49,0,1.083e+11
49,1,3.16804e+11
50,0,1.07743e+11
50,1,3.26454e+11
51,0,1.13575e+11
51,1,3.69915e+11
52,0,1.14855e+11
52,1,3.15578e+11
53,0,1.13379e+11
53,1,2.94094e+11
54,0,1.19558e+11
54,1,3.22935e+11
55,0,1.26395e+11
55,1,3.63325e+11
56,0,1.07528e+11
56,1,3.40372e+11
57,0,1.09336e+11
57,1,3.54666e+11
58,0,1.01122e+11
58,1,2.78736e+11
59,0,1.04308e+11
59,1,3.02742e+11
60,0,9.67422e+09
60,1,6.17276e+10
61,0,4.81512e+10
61,1,2.2704e+11
62,0,5.35016e+10
62,1,2.3754e+11
63,0,1.08321e+11
63,1,4.01246e+11
64,0,2.48489e+10
64,1,1.21706e+11
65,0,1.0884e+11
65,1,3.50772e+11
66,0,1.0275e+11
66,1,2.65567e+11
67,0,1.18542e+11
67,1,3.60764e+11
68,0,1.25842e+11
68,1,4.07083e+11
69,0,1.21962e+11
69,1,3.54309e+11
70,0,1.1394e+11
70,1,4.05395e+11
71,0,1.11937e+11
71,1,3.64998e+11
72,0,1.01825e+11
72,1,2.84245e+11
73,0,1.12562e+11
73,1,4.13642e+11
74,0,1.00088e+11
74,1,2.89376e+11
75,0,4.93426e-161
75,1,1.0585e-26
76,0,2.28787e+10
76,1,1.53011e+11
77,0,1.08043e+11
77,1,4.05162e+11
78,0,9.37147e+10
78,1,3.56165e+11
79,0,9.58452e+10
79,1,2.51369e+11
80,0,8.80269e+10
80,1,2.19689e+11
81,0,1.13295e+11
81,1,3.16451e+11
82,0,1.28063e+11
82,1,4.34881e+11
83,0,1.20875e+11
83,1,3.53271e+11
