FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,0,0
0,1,10,4.89028e+08,2.56552e+08
0,10,100,6.49932e+08,1.92458e+09
0,100,1000,5.03427e+07,3.39042e+08
0,1000,10000,21983.4,1.92674e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,169.358,1660.44
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,0,0
2,1,10,4.27395e+07,2.45674e+07
2,10,100,9.72603e+07,3.09249e+08
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,7.01953e+09,2.33214e+06
3,0.01,0.1,2.93793e+09,5.19855e+06
3,0.1,1,9.75573e+07,2.92228e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,1.65857e+07,290337
4,0.1,1,4.27557e+07,1.17082e+06
4,1,10,2.04246e+06,890660
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,1.14622e+08,228832
5,0.01,0.1,5.94668e+09,4.3042e+06
5,0.1,1,7.84947e+07,4.17081e+06
5,1,10,897637,1.0454e+06
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,4.27031e+09,2.68946e+07
6,0.1,1,6.61617e+09,2.01934e+08
6,1,10,1.14852e+09,2.99117e+08
6,10,100,4.14452e+07,6.67475e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,2.0144e+07,427810
7,0.1,1,2.67185e+08,2.53217e+07
7,1,10,8.39048e+08,2.11103e+08
7,10,100,1.2312e+08,1.66715e+08
7,100,1000,2.29584e+06,6.36525e+06
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,2.53226e+09,1.93813e+07
8,0.1,1,3.07531e+09,1.28745e+08
8,1,10,5.20099e+08,1.75356e+08
8,10,100,7.15875e+06,1.56945e+07
8,100,1000,0,0
8,1000,10000,0,0
