FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,0,0
0,1,10,1.44858e+08,1.64859e+08
0,10,100,5.52147e+08,1.47877e+09
0,100,1000,3.43977e+07,3.0806e+08
0,1000,10000,24786.2,1.69313e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,3490.58,3316.34
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,0,0
2,1,10,3.16783e+07,1.77715e+07
2,10,100,7.69634e+07,2.59688e+08
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,4.27887e+09,1.39722e+06
3,0.01,0.1,2.77612e+09,4.15157e+06
3,0.1,1,7.55737e+07,1.84778e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,3.64896e+06,296705
4,0.1,1,3.2351e+07,1.16021e+06
4,1,10,3.89632e+06,734002
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,7.73982e+07,193850
5,0.01,0.1,8.20521e+08,3.22468e+06
5,0.1,1,8.62306e+07,2.56434e+06
5,1,10,1.15215e+06,654048
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,3.11119e+09,1.92274e+07
6,0.1,1,6.64402e+09,1.50536e+08
6,1,10,1.27119e+09,2.18444e+08
6,10,100,3.39801e+07,5.1225e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,2.06782e+07,291263
7,0.1,1,2.13597e+08,1.85491e+07
7,1,10,6.27939e+08,1.45287e+08
7,10,100,9.19129e+07,1.33698e+08
7,100,1000,1.4789e+06,2.56708e+06
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,2.16306e+09,1.39585e+07
8,0.1,1,2.84669e+09,9.55884e+07
8,1,10,5.86857e+08,1.34897e+08
8,10,100,7.72196e+06,1.3958e+07
8,100,1000,0,0
8,1000,10000,0,0
