GridcellIndex,FunctionalGroupIndex,JuvenileMass,AdultMass,IndividualBodyMass,CohortAbundance,LogOptimalPreyBodySizeRatio,BirthTimeStep,ProportionTimeActive,TrophicIndex,IndividualReproductivePotentialMass,MaturityTimeStep,IsAdult,AgeMonths,TimeStepsJuviline,TimeStepsAdult
0,0,176.037,44205.2,44205.2,59.1526,-2.34468,40,0.5,2,39803.6,70,1,70,30,40
0,0,240.664,13943.9,13943.9,332.427,-2.24328,64,0.5,2,18141.7,83,1,46,19,27
0,0,466.4,47427.3,34908.2,119.895,-2.50065,79,0.5,2,0,4294967295,0,31,31,0
0,0,202.412,3930.78,3930.78,151.693,-2.34468,76,0.5,2,6163.92,87,1,34,11,23
0,0,60.9117,5663.83,4525.77,225.227,-2.34468,89,0.5,2,0,4294967295,0,21,21,0
0,0,528.618,52777.1,3955.76,284999,-2.50065,99,0.5,2,0,4294967295,0,11,11,0
0,0,249.93,14163,737.203,411071,-2.24328,102,0.5,2,0,4294967295,0,8,8,0
0,0,196.981,3938.46,518.409,324842,-2.34468,102,0.5,2,0,4294967295,0,8,8,0
0,0,184.22,45349.6,347.954,214546,-2.34468,103,0.5,2,0,4294967295,0,7,7,0
0,0,909.42,15540.4,9993.17,131828,-2.20265,100,0.5,2,0,4294967295,0,10,10,0
0,0,35.3259,16847,12839.2,168803,-2.34468,88,0.5,2,6499.23,4294967295,0,22,22,0
0,0,2730.02,29106.1,17368.5,548414,-2.20265,100,0.5,2,3904.05,4294967295,0,10,10,0
0,0,2348.1,114892,21151.1,166482,-2.18799,99,0.5,2,0,4294967295,0,11,11,0
0,0,480.879,7560.08,981.945,3786.64,-2.30151,105,0.5,2,0,4294967295,0,5,5,0
0,0,231.598,32189.7,24380.7,351738,-2.34468,75,0.5,2,0,4294967295,0,35,35,0
0,0,462.611,8269.19,3202.74,56798.9,-2.30151,103,0.5,2,0,4294967295,0,7,7,0
0,0,509.015,7327.32,7327.32,261986,-2.30151,101,0.5,2,159.711,110,1,9,9,0
0,0,2730.02,29106.1,29106.1,1404.98,-2.20265,54,0.5,2,37903.7,80,1,56,26,30
0,2,206.004,33736.4,26130.3,99465.8,-2.34468,52,0.5,2.19925,0,4294967295,0,58,58,0
0,2,241.808,75491.6,5414.55,3025.44,-2.34468,99,0.5,2.64949,0,4294967295,0,11,11,0
0,2,5536.32,40245.4,16163.9,119021,-2.20265,99,0.5,2.50732,0,4294967295,0,11,11,0
0,2,648.451,51961.7,51961.7,7.09326,-2.34468,63,0.5,2.32914,33668.5,97,1,47,34,13
0,3,1.02553,45.6791,28.2537,1.74803e+06,-2.71651,99,0,2,0,4294967295,0,11,11,0
0,3,4.85812,401.125,34.6811,2.35377e+06,-2.34468,101,0,2,0,4294967295,0,9,9,0
0,3,0.180946,4.52671,0.590947,3.55509e+07,-2.35147,103,0,2,0,4294967295,0,7,7,0
0,5,10.6988,695.239,258.587,1.99498e+06,-2.24328,90,0,2,0,4294967295,0,20,20,0
0,5,0.977174,101.363,14.1567,2.34623e+06,-2.35147,99,0,2,0,4294967295,0,11,11,0
0,6,3.97114,638.6,630.867,1105.98,-2.34468,63,0,2,381.114,89,1,47,26,21
0,6,1.04887,166.209,163.159,328715,-2.34468,77,0,2,203.478,101,1,33,24,9
0,6,1.97838,401.029,395.422,784489,-2.34468,79,0,2,254.217,104,1,31,25,6
0,6,7.71119,891.974,711.368,942005,-2.34468,87,0,2,0,4294967295,0,23,23,0
0,6,4.27089,141.444,138.716,378608,-2.20756,87,0,2,116.975,101,1,23,14,9
0,6,1,42.4303,41.2447,521019,-2.34468,89,0,2,61.2394,103,1,21,14,7
0,6,2.31719,369.68,198.987,2.45077e+06,-2.34468,89,0,2,0,4294967295,0,21,21,0
0,6,13.0445,848.628,403.2,156046,-2.34468,90,0,2,0,4294967295,0,20,20,0
0,6,1.1263,191.848,90.2312,841588,-2.34468,90,0,2,0,4294967295,0,20,20,0
0,6,17.2057,1799.38,1722.92,278934,-2.34468,79,0,2,1.58379,4294967295,0,31,31,0
0,6,12.1671,253.651,249.566,341162,-2.18799,90,0,2,220.108,103,1,20,13,7
0,6,73.886,9466.73,5545.41,34.6623,-2.34468,77,0,2,0,4294967295,0,33,33,0
0,6,84.6171,763.972,618.411,227149,-2.46243,92,0,2,5.22116,4294967295,0,18,18,0
0,6,1,42.2529,26.5128,486700,-2.34468,99,0,2,0,4294967295,0,11,11,0
0,6,4.06126,626.399,76.9237,347465,-2.34468,99,0,2,0,4294967295,0,11,11,0
0,6,32.2763,274.636,270.32,88240.4,-2.30426,99,0,2,61.4328,104,1,11,5,6
0,6,1.91917,389.943,45.5736,2.0802e+06,-2.34468,99,0,2,0,4294967295,0,11,11,0
0,6,1.10535,177.224,29.4476,1.00184e+06,-2.34468,99,0,2,0,4294967295,0,11,11,0
0,6,12.2237,893.832,165.323,14132.9,-2.34468,99,0,2,0,4294967295,0,11,11,0
0,6,12.512,242.462,74.1349,1.29712e+06,-2.18799,101,0,2,0,4294967295,0,9,9,0
0,6,3.8581,633.466,29.6396,148358,-2.34468,101,0,2,0,4294967295,0,9,9,0
0,6,13.2697,921.832,77.4957,4248.41,-2.34468,101,0,2,0,4294967295,0,9,9,0
0,6,4.37172,151.834,32.8042,3.85824e+06,-2.20756,101,0,2,0,4294967295,0,9,9,0
0,6,18.4372,1743.6,67.1238,333983,-2.34468,102,0,2,0,4294967295,0,8,8,0
0,6,1.02846,169.603,5.62624,1.04906e+07,-2.34468,102,0,2,0,4294967295,0,8,8,0
0,6,1,42.4923,5.48661,3.45291e+06,-2.34468,102,0,2,0,4294967295,0,8,8,0
0,6,4.04491,654.452,11.0636,324691,-2.34468,103,0,2,0,4294967295,0,7,7,0
0,6,67.9999,771.524,139.933,684891,-2.46243,103,0,2,0,4294967295,0,7,7,0
0,6,4.45305,132.847,12.1671,4.12873e+06,-2.20756,103,0,2,0,4294967295,0,7,7,0
0,7,90.2105,3119.02,3095.89,1222.29,-2.71651,51,0,3,3146.04,80,1,59,29,30
0,7,20.3828,481.765,475.4,1.59145,-2.24328,44,0,3,385.706,67,1,66,23,43
0,7,7.91804,93.2779,59.3833,1299.59,-2.50065,67,0,3,0,4294967295,0,43,43,0
0,7,5.35344,3353.51,3329.19,57.3317,-2.34468,19,0,3,2287.54,91,1,91,72,19
0,7,55.3801,5743.31,5708.05,26731.4,-2.34468,75,0,3,4352.68,100,1,35,25,10
0,7,9.64598,1088.38,1077.2,3440.98,-2.18799,32,0,3,955.949,78,1,78,46,32
0,7,56.2794,5991.57,430.884,13661.2,-2.34468,87,0,3,0,4294967295,0,23,23,0
0,7,396.497,4347.55,4318.46,31948.1,-2.30151,87,0,3,4041.37,100,1,23,13,10
0,7,21.7698,482.525,207.753,1.07279e+06,-2.24328,89,0,3,0,4294967295,0,21,21,0
0,7,8.60019,1230.55,48.1946,1.93281e+06,-2.18799,91,0,3,0,4294967295,0,19,19,0
0,7,128.055,21556,21468.1,17.4356,-2.34468,56,0,3,9777.73,92,1,54,36,18
0,7,6.47266,108.657,106.384,443.762,-2.20265,42,0,3,27.3066,100,1,68,58,10
0,7,5.46593,3451.49,12.8264,135416,-2.34468,101,0,3,0,4294967295,0,9,9,0
0,7,20.3828,481.765,35.308,131669,-2.24328,102,0,3,0,4294967295,0,8,8,0
0,7,402.17,4882.5,866.205,501999,-2.30151,102,0,3,0,4294967295,0,8,8,0
0,7,54.6828,5770.99,72.3523,2.30401e+06,-2.34468,102,0,3,0,4294967295,0,8,8,0
0,7,687.647,6545.78,6507.19,2404.45,-2.30426,68,0,3,5013.75,89,1,42,21,21
0,7,89.2353,3293.1,149.418,3.38128e+06,-2.71651,103,0,3,0,4294967295,0,7,7,0
0,7,9.56215,1096.35,10.3216,2.93923e+06,-2.18799,103,0,3,0,4294967295,0,7,7,0
0,7,6.47266,108.657,6.24767,8928.69,-2.20265,103,0,3,0,4294967295,0,7,7,0
0,7,5.34732,3447.73,5.1348,51794.8,-2.34468,103,0,3,0,4294967295,0,7,7,0
0,7,408.095,18118.7,1029.23,35287.2,-2.50065,89,0,3,0,4294967295,0,21,21,0
0,7,39.7023,335.771,119.199,414.842,-2.24328,92,0,3,0,4294967295,0,18,18,0
0,7,638.777,6592.92,958.337,708325,-2.30426,102,0,3,0,4294967295,0,8,8,0
0,8,1.5114,101.151,98.988,15.3843,-2.34468,65,0,2,70.4591,89,1,45,24,21
0,8,1.8558,51.8969,50.5339,146530,-2.34468,67,0,2,43.0954,89,1,43,22,21
0,8,8.19917,1603.65,1589.04,60221,-2.34468,67,0,2,1106.16,103,1,43,36,7
0,8,27.6444,5883.77,4792.03,66926.9,-2.34468,75,0,2,0,4294967295,0,35,35,0
0,8,21.054,2140.9,2123.06,35969.3,-2.24328,75,0,2,1259.69,103,1,35,28,7
0,8,3.65091,368.079,169.484,1.095e+06,-2.24328,89,0,2,0,4294967295,0,21,21,0
0,8,26.8698,6182.5,572.726,63556.7,-2.34468,89,0,2,0,4294967295,0,21,21,0
0,8,7.85624,1622.39,163.28,1.77111e+06,-2.34468,91,0,2,0,4294967295,0,19,19,0
0,8,80.5064,744.718,736.118,270180,-2.30426,91,0,2,0.900904,105,1,19,14,5
0,8,1.8558,51.8969,25.2825,1.4611e+06,-2.34468,99,0,2,0,4294967295,0,11,11,0
0,8,3.53559,384.776,46.492,1.35221e+06,-2.24328,99,0,2,0,4294967295,0,11,11,0
0,8,19.6717,784.611,775.695,222822,-2.24328,79,0,2,473.141,103,1,31,24,7
0,8,1.55266,105.727,8.71082,7810.26,-2.34468,101,0,2,0,4294967295,0,9,9,0
0,8,1.5,98.6932,3.48269,3508.58,-2.34468,103,0,2,0,4294967295,0,7,7,0
0,8,1.83375,52.994,4.21609,4.43753e+06,-2.34468,103,0,2,0,4294967295,0,7,7,0
0,8,4.38811,450.657,9.56287,3.81694e+06,-2.24328,103,0,2,0,4294967295,0,7,7,0
