GridcellIndex,FunctionalGroupIndex,JuvenileMass,AdultMass,IndividualBodyMass,CohortAbundance,LogOptimalPreyBodySizeRatio,BirthTimeStep,ProportionTimeActive,TrophicIndex,IndividualReproductivePotentialMass,MaturityTimeStep,IsAdult,AgeMonths,TimeStepsJuviline,TimeStepsAdult
0,0,240.664,13943.9,13943.9,221.7,-2.24328,64,0.5,2,0,83,1,47,19,28
0,0,466.4,47427.3,38861.3,116.352,-2.50065,79,0.5,2,0,4294967295,0,32,32,0
0,0,202.412,3930.78,3930.78,72.0873,-2.34468,76,0.5,2,0,87,1,35,11,24
0,0,60.9117,5663.83,4942.67,212.65,-2.34468,89,0.5,2,0,4294967295,0,22,22,0
0,0,528.618,52777.1,4309.47,266167,-2.50065,99,0.5,2,0,4294967295,0,12,12,0
0,0,249.93,14163,750.988,308967,-2.24328,102,0.5,2,0,4294967295,0,9,9,0
0,0,909.42,15540.4,11057.2,127763,-2.20265,100,0.5,2,0,4294967295,0,11,11,0
0,0,2348.1,114892,22989.5,161561,-2.18799,99,0.5,2,0,4294967295,0,12,12,0
0,0,480.879,7560.08,1021.6,3600.88,-2.30151,105,0.5,2,0,4294967295,0,6,6,0
0,0,231.598,32189.7,25579.5,341413,-2.34468,75,0.5,2,0,4294967295,0,36,36,0
0,0,462.611,8269.19,3557.75,54552.1,-2.30151,103,0.5,2,0,4294967295,0,8,8,0
0,0,509.015,7327.32,7327.32,228666,-2.30151,101,0.5,2,874.641,110,1,10,9,1
0,0,2730.02,29106.1,29106.1,334741,-2.20265,54,0.5,2,6206.81,80,1,57,26,31
0,0,184.785,43476.7,184.785,14388.5,-2.34468,111,0.5,2,0,4294967295,0,0,0,0
0,0,2730.02,29106.1,2730.02,21270.9,-2.20265,111,0.5,2,0,4294967295,0,0,0,0
0,0,243.007,12965.6,243.007,27149,-2.24328,111,0.5,2,0,4294967295,0,0,0,0
0,0,199.037,3662.79,199.037,133939,-2.34468,111,0.5,2,0,4294967295,0,0,0,0
0,0,237.019,116215,2528.27,20836.1,-2.34468,99,0.5,2,0,4294967295,0,12,12,0
0,0,13.2188,2841.28,2841.28,123.885,-2.34468,87,0.5,2,0,105,1,24,18,6
0,2,206.004,33736.4,26875.5,96526.2,-2.34468,52,0.5,2.12593,0,4294967295,0,59,59,0
0,2,241.808,75491.6,5869.19,2935.53,-2.34468,99,0.5,2.52063,0,4294967295,0,12,12,0
0,2,5536.32,40245.4,16551,115501,-2.20265,99,0.5,2.1974,0,4294967295,0,12,12,0
0,2,648.451,51961.7,51961.7,5.95851,-2.34468,63,0.5,2.23618,0,97,1,48,34,14
0,2,648.451,51961.7,648.451,402.417,-2.34468,111,0.5,2.5,0,4294967295,0,0,0,0
0,3,1.02553,45.6791,27.9898,1.65853e+06,-2.71651,99,0,2,0,4294967295,0,12,12,0
0,3,4.85812,401.125,34.3772,2.23565e+06,-2.34468,101,0,2,0,4294967295,0,10,10,0
0,3,0.180946,4.52671,0.572645,3.0341e+07,-2.35147,103,0,2,0,4294967295,0,8,8,0
0,5,10.6988,695.239,257.372,1.90488e+06,-2.24328,90,0,2,0,4294967295,0,21,21,0
0,5,0.977174,101.363,13.9929,2.21574e+06,-2.35147,99,0,2,0,4294967295,0,12,12,0
0,6,3.97114,638.6,628.618,987258,-2.34468,63,0,2,0,89,1,48,26,22
0,6,4.27089,141.444,137.925,303265,-2.20756,87,0,2,0,101,1,24,14,10
0,6,2.31719,369.68,197.972,3.66399e+06,-2.34468,89,0,2,0,4294967295,0,22,22,0
0,6,1.1263,191.848,89.6433,1.29911e+06,-2.34468,90,0,2,0,4294967295,0,21,21,0
0,6,17.2057,1799.38,1718.42,249757,-2.34468,79,0,2,1.58379,4294967295,0,32,32,0
0,6,12.1671,253.651,248.38,277682,-2.18799,90,0,2,0,103,1,21,13,8
0,6,73.886,9466.73,5535.33,33.2431,-2.34468,77,0,2,0,4294967295,0,34,34,0
0,6,84.6171,763.972,616.192,215766,-2.46243,92,0,2,5.22116,4294967295,0,19,19,0
0,6,1,42.2529,26.2603,1.12333e+06,-2.34468,99,0,2,0,4294967295,0,12,12,0
0,6,4.06126,626.399,76.397,331098,-2.34468,99,0,2,0,4294967295,0,12,12,0
0,6,32.2763,274.636,269.067,63175,-2.30426,99,0,2,61.4328,104,1,12,5,7
0,6,1.91917,389.943,45.2066,1.9783e+06,-2.34468,99,0,2,0,4294967295,0,12,12,0
0,6,1.10535,177.224,29.1761,950758,-2.34468,99,0,2,0,4294967295,0,12,12,0
0,6,12.2237,893.832,164.43,377216,-2.34468,99,0,2,0,4294967295,0,12,12,0
0,6,12.512,242.462,73.6215,1.23587e+06,-2.18799,101,0,2,0,4294967295,0,10,10,0
0,6,3.8581,633.466,29.3669,140798,-2.34468,101,0,2,0,4294967295,0,10,10,0
0,6,13.2697,921.832,76.9664,279490,-2.34468,101,0,2,0,4294967295,0,10,10,0
0,6,4.37172,151.834,32.5117,3.66359e+06,-2.20756,101,0,2,0,4294967295,0,10,10,0
0,6,1.02846,169.603,5.53959,9.80675e+06,-2.34468,102,0,2,0,4294967295,0,9,9,0
0,6,1,42.4923,5.40144,3.22663e+06,-2.34468,102,0,2,0,4294967295,0,9,9,0
0,6,4.04491,654.452,10.9255,305968,-2.34468,103,0,2,0,4294967295,0,8,8,0
0,6,67.9999,771.524,139.137,653723,-2.46243,103,0,2,0,4294967295,0,8,8,0
0,6,4.45305,132.847,12.0196,3.89406e+06,-2.20756,103,0,2,0,4294967295,0,8,8,0
0,6,1.03403,42.0157,1.03403,3.08569e+07,-2.34468,111,0,2,0,4294967295,0,0,0,0
0,6,2.06647,370.408,2.06647,9.65077e+07,-2.34468,111,0,2,0,4294967295,0,0,0,0
0,6,12.2963,228.648,12.2963,6.10688e+06,-2.18799,111,0,2,0,4294967295,0,0,0,0
0,6,4.28753,663.107,4.28753,96467.3,-2.34468,111,0,2,0,4294967295,0,0,0,0
0,6,4.30537,137.644,4.30537,1.0286e+07,-2.20756,111,0,2,0,4294967295,0,0,0,0
0,6,1,158.318,1,6.68781e+07,-2.34468,111,0,2,0,4294967295,0,0,0,0
0,7,90.2105,3119.02,3089.15,909.68,-2.71651,51,0,3,0,80,1,60,29,31
0,7,7.91804,93.2779,58.9428,1237.24,-2.50065,67,0,3,0,4294967295,0,44,44,0
0,7,5.35344,3353.51,3322.1,48.8188,-2.34468,19,0,3,0,91,1,92,72,20
0,7,55.3801,5743.31,5697.77,22316.7,-2.34468,75,0,3,0,100,1,36,25,11
0,7,9.64598,1088.38,1073.95,2524.76,-2.18799,32,0,3,0,78,1,79,46,33
0,7,56.2794,5991.57,429.155,13068.7,-2.34468,87,0,3,0,4294967295,0,24,24,0
0,7,396.497,4347.55,4309.97,25058,-2.30151,87,0,3,0,100,1,24,13,11
0,7,21.7698,482.525,206.708,1.0247e+06,-2.24328,89,0,3,0,4294967295,0,22,22,0
0,7,8.60019,1230.55,47.8131,1.83856e+06,-2.18799,91,0,3,0,4294967295,0,20,20,0
0,7,128.055,21556,21442.4,14.3957,-2.34468,56,0,3,9777.73,92,1,55,36,19
0,7,6.47266,108.657,105.726,379.779,-2.20265,42,0,3,27.3066,100,1,69,58,11
0,7,687.647,6545.78,6495.93,1804.29,-2.30426,68,0,3,0,89,1,43,21,22
0,7,9.56215,1096.35,10.1899,3.06442e+06,-2.18799,103,0,3,0,4294967295,0,8,8,0
0,7,6.47266,108.657,6.15452,8359.08,-2.20265,103,0,3,0,4294967295,0,8,8,0
0,7,408.095,18118.7,1026.08,31320.2,-2.50065,89,0,3,0,4294967295,0,22,22,0
0,7,39.7023,335.771,118.486,395.828,-2.24328,92,0,3,0,4294967295,0,19,19,0
0,7,638.777,6592.92,955.335,649940,-2.30426,102,0,3,0,4294967295,0,9,9,0
0,7,5.41196,3265.4,5.41196,367382,-2.34468,111,0,3,0,4294967295,0,0,0,0
0,7,55.3801,5743.31,55.3801,4.94641e+06,-2.34468,111,0,3,0,4294967295,0,0,0,0
0,7,19.2596,462.143,19.2596,227324,-2.24328,111,0,3,0,4294967295,0,0,0,0
0,7,404.624,4339.51,404.624,1.31188e+06,-2.30151,111,0,3,0,4294967295,0,0,0,0
