GridcellIndex,FunctionalGroupIndex,JuvenileMass,AdultMass,IndividualBodyMass,CohortAbundance,LogOptimalPreyBodySizeRatio,BirthTimeStep,ProportionTimeActive,TrophicIndex,IndividualReproductivePotentialMass,MaturityTimeStep,IsAdult,AgeMonths,TimeStepsJuviline,TimeStepsAdult
0,0,240.664,13943.9,13943.9,58.5527,-2.24328,64,0.5,2,0,83,1,50,19,31
0,0,466.4,47427.3,47427.3,88.5892,-2.50065,79,0.5,2,10145.1,113,1,35,34,1
0,0,202.412,3930.78,3930.78,5.77223,-2.34468,76,0.5,2,0,87,1,38,11,27
0,0,60.9117,5663.83,5663.83,138.069,-2.34468,89,0.5,2,2438.34,112,1,25,23,2
0,0,528.618,52777.1,7234.36,233476,-2.50065,99,0.5,2,0,4294967295,0,15,15,0
0,0,249.93,14163,1350.39,266129,-2.24328,102,0.5,2,0,4294967295,0,12,12,0
0,0,909.42,15540.4,15540.4,106695,-2.20265,100,0.5,2,1880.22,114,1,14,14,0
0,0,2348.1,114892,33138,147656,-2.18799,99,0.5,2,0,4294967295,0,15,15,0
0,0,480.879,7560.08,1903.87,3286,-2.30151,105,0.5,2,0,4294967295,0,9,9,0
0,0,462.611,8269.19,6211.13,273281,-2.30151,103,0.5,2,1944.46,4294967295,0,11,11,0
0,0,2730.02,29106.1,29106.1,118650,-2.20265,54,0.5,2,0,80,1,60,26,34
0,0,184.785,43476.7,287.03,12955.1,-2.34468,111,0.5,2,0,4294967295,0,3,3,0
0,0,2730.02,29106.1,4924.36,19058.2,-2.20265,111,0.5,2,0,4294967295,0,3,3,0
0,0,243.007,12965.6,381.19,26456.6,-2.24328,111,0.5,2,0,4294967295,0,3,3,0
0,0,237.019,116215,4541.91,18779.5,-2.34468,99,0.5,2,0,4294967295,0,15,15,0
0,0,13.2188,2841.28,2841.28,74.1178,-2.34468,87,0.5,2,0,105,1,27,18,9
0,0,199.158,96852.9,67708.7,16795.8,-2.34468,91,0.5,2,0,4294967295,0,23,23,0
0,0,13.2188,2841.28,13.2188,12607.5,-2.34468,114,0.5,2,0,4294967295,0,0,0,0
0,0,202.493,3854.37,202.493,167572,-2.34468,114,0.5,2,0,4294967295,0,0,0,0
0,0,2730.02,29106.1,2730.02,975787,-2.20265,114,0.5,2,0,4294967295,0,0,0,0
0,0,820.918,18190.6,11838.2,1.40439e+06,-2.20265,104,0.5,2,0,4294967295,0,10,10,0
0,2,206.004,33736.4,31048.6,88218.3,-2.34468,52,0.5,2.13778,0,4294967295,0,62,62,0
0,2,241.808,75491.6,8621.66,2682.41,-2.34468,99,0.5,2.47696,0,4294967295,0,15,15,0
0,2,5536.32,40245.4,19336.2,105558,-2.20265,99,0.5,2.12699,0,4294967295,0,15,15,0
0,2,648.451,51961.7,974.467,367.765,-2.34468,111,0.5,2.39225,0,4294967295,0,3,3,0
0,3,4.85812,401.125,115.493,1.29372e+06,-2.34468,101,0.133687,2,0,4294967295,0,13,13,0
0,3,0.180946,4.52671,3.06304,1.29227e+07,-2.35147,103,0.133687,2,0,4294967295,0,11,11,0
0,3,1.09486,45.9163,1.09486,5.93006e+07,-2.71651,114,0.133687,2,0,4294967295,0,0,0,0
0,5,10.6988,695.239,561.118,1.57096e+06,-2.24328,90,0.133687,2.50213,0,4294967295,0,24,24,0
0,5,0.977174,101.363,50.7854,1.32947e+06,-2.35147,99,0.133687,2.33134,0,4294967295,0,15,15,0
0,6,3.97114,638.6,638.6,429178,-2.34468,63,0.133687,2,183.007,89,1,51,26,25
0,6,2.31719,369.68,369.68,2.28136e+06,-2.34468,89,0.133687,2,135.08,113,1,25,24,1
0,6,17.2057,1799.38,1799.38,154559,-2.34468,79,0.133687,2,0,112,1,35,33,2
