Month,Year,Biomass_FG_0,Biomass_FG_1,Biomass_FG_2,Biomass_FG_3,Biomass_FG_4,Biomass_FG_5,Biomass_FG_6,Biomass_FG_7,Biomass_FG_8
1, 1,2.88007e+09,8.92493e+07,7.12279e+08,8.12706e+06,2.34232e+06,9.60671e+06,3.87875e+08,3.38237e+08,2.25771e+08
2, 1,2.5069e+09,8.13134e+07,6.31381e+08,7.21199e+06,2.06486e+06,8.65692e+06,3.47892e+08,2.97763e+08,2.04521e+08
3, 1,2.23321e+09,4.05817e+07,5.61281e+08,6.38427e+06,1.82934e+06,7.67116e+06,3.15029e+08,2.69613e+08,1.87374e+08
4, 1,2.14202e+09,2.31467e+07,5.24044e+08,5.56558e+06,1.62456e+06,6.87865e+06,2.88646e+08,2.48335e+08,1.7349e+08
5, 1,2.12652e+09,1.02926e+07,4.62005e+08,5.97046e+06,1.69992e+06,6.66896e+06,3.05722e+08,2.58363e+08,1.85197e+08
6, 1,2.19889e+09,7.68187e+06,4.44283e+08,8.12568e+06,1.89437e+06,8.03424e+06,3.87712e+08,3.02308e+08,2.30043e+08
7, 1,2.31032e+09,6.97408e+06,4.41959e+08,9.39702e+06,2.17518e+06,8.86069e+06,4.3934e+08,3.3176e+08,2.59789e+08
8, 1,2.41028e+09,6.04716e+06,4.41562e+08,1.06111e+07,2.53076e+06,9.62641e+06,4.98792e+08,3.74873e+08,2.96099e+08
9, 1,2.4866e+09,5.65335e+06,4.52924e+08,1.1625e+07,2.87971e+06,1.10972e+07,5.68813e+08,4.42037e+08,3.38663e+08
10, 1,2.58173e+09,6.30273e+06,4.72981e+08,1.05367e+07,2.58301e+06,1.00935e+07,5.07918e+08,4.00476e+08,3.0662e+08
11, 1,2.58784e+09,6.7155e+06,4.78117e+08,9.52778e+06,2.31581e+06,9.1424e+06,4.56307e+08,3.63303e+08,2.76914e+08
12, 1,2.46389e+09,6.24951e+06,4.6357e+08,8.61673e+06,2.07271e+06,8.29039e+06,4.09711e+08,3.29395e+08,2.4993e+08
13, 2,2.20679e+09,7.42732e+06,4.38694e+08,7.77739e+06,1.85957e+06,7.56236e+06,3.67904e+08,2.96773e+08,2.25615e+08
14, 2,1.8361e+09,9.36052e+06,3.94777e+08,6.97855e+06,1.67408e+06,6.92486e+06,3.31061e+08,2.68583e+08,2.04159e+08
15, 2,1.67084e+09,9.0271e+06,3.50888e+08,6.19687e+06,1.49415e+06,6.34359e+06,3.00492e+08,2.44446e+08,1.85633e+08
16, 2,1.65115e+09,7.50965e+06,3.29801e+08,5.3862e+06,1.30157e+06,5.76004e+06,2.7623e+08,2.26886e+08,1.70728e+08
17, 2,1.68294e+09,3.32467e+06,3.21089e+08,6.08979e+06,1.33676e+06,6.28141e+06,2.97907e+08,2.32992e+08,1.81599e+08
18, 2,1.76538e+09,2.96116e+06,3.1961e+08,8.56864e+06,1.35261e+06,7.94547e+06,3.8018e+08,2.6422e+08,2.19644e+08
19, 2,1.8659e+09,2.41711e+06,3.32978e+08,9.87934e+06,1.40667e+06,9.05768e+06,4.34018e+08,2.91246e+08,2.49775e+08
20, 2,1.97486e+09,2.51007e+06,3.45538e+08,1.19462e+07,1.69726e+06,1.04103e+07,4.96654e+08,3.28867e+08,2.8449e+08
21, 2,2.08858e+09,2.18858e+06,3.60593e+08,1.36911e+07,2.10713e+06,1.17242e+07,5.73407e+08,3.88142e+08,3.29542e+08
22, 2,2.23207e+09,2.3123e+06,3.78599e+08,1.25232e+07,1.96782e+06,1.06695e+07,5.1806e+08,3.53329e+08,2.97407e+08
23, 2,2.32212e+09,2.11857e+06,3.91662e+08,1.13999e+07,1.83709e+06,9.51934e+06,4.68047e+08,3.21891e+08,2.69283e+08
24, 2,2.30381e+09,2.0968e+06,3.95578e+08,1.03768e+07,1.71706e+06,8.6371e+06,4.24587e+08,2.93454e+08,2.44349e+08
25, 3,2.16205e+09,1.98662e+06,3.82323e+08,9.41948e+06,1.60573e+06,7.8791e+06,3.85185e+08,2.67002e+08,2.21711e+08
26, 3,1.93207e+09,1.77147e+06,3.65706e+08,8.50081e+06,1.50148e+06,7.19506e+06,3.50668e+08,2.43336e+08,2.00655e+08
27, 3,1.81783e+09,1.52031e+06,3.47397e+08,7.56954e+06,1.4025e+06,6.54557e+06,3.20245e+08,2.22882e+08,1.82693e+08
28, 3,1.84757e+09,1.4442e+06,3.36887e+08,6.59605e+06,1.30768e+06,5.86535e+06,2.94699e+08,2.06011e+08,1.68006e+08
29, 3,1.90778e+09,528079,3.32542e+08,7.35532e+06,1.4966e+06,6.32486e+06,3.17235e+08,2.17029e+08,1.81762e+08
30, 3,2.03426e+09,795108,3.38415e+08,1.02966e+07,1.79667e+06,7.97976e+06,4.06489e+08,2.58208e+08,2.27968e+08
31, 3,2.18468e+09,1.09525e+06,3.46602e+08,1.16634e+07,2.03056e+06,9.00848e+06,4.69326e+08,2.94782e+08,2.59591e+08
32, 3,2.33965e+09,1.9935e+06,3.60085e+08,1.19948e+07,2.34654e+06,1.10392e+07,5.41132e+08,3.46391e+08,3.00344e+08
33, 3,2.46324e+09,3.11904e+06,3.74942e+08,1.17978e+07,3.2442e+06,1.32393e+07,6.23608e+08,4.23407e+08,3.46108e+08
34, 3,2.62377e+09,4.39418e+06,3.94678e+08,1.07245e+07,3.08478e+06,1.21034e+07,5.62314e+08,3.84663e+08,3.13267e+08
35, 3,2.69267e+09,6.59207e+06,4.16353e+08,9.87928e+06,2.92819e+06,1.11312e+07,5.09601e+08,3.51893e+08,2.84263e+08
36, 3,2.62965e+09,2.8306e+06,4.23765e+08,9.08885e+06,2.77738e+06,1.02141e+07,4.61009e+08,3.21619e+08,2.57248e+08
37, 4,2.42956e+09,547621,4.17639e+08,8.33175e+06,2.64269e+06,9.3955e+06,4.1566e+08,2.94172e+08,2.32454e+08
38, 4,2.09459e+09,862404,3.95776e+08,7.60208e+06,2.51205e+06,8.62582e+06,3.74712e+08,2.68614e+08,2.1114e+08
39, 4,1.92839e+09,929772,3.66621e+08,6.85505e+06,2.38374e+06,7.87131e+06,3.40846e+08,2.47371e+08,1.92373e+08
40, 4,1.93056e+09,855793,3.53004e+08,6.05781e+06,2.25552e+06,7.10355e+06,3.14346e+08,2.30318e+08,1.77249e+08
41, 4,1.98645e+09,672920,3.40299e+08,6.53581e+06,2.50018e+06,6.84184e+06,3.33539e+08,2.42158e+08,1.88768e+08
42, 4,2.09428e+09,380113,3.40975e+08,9.05111e+06,2.88247e+06,8.5268e+06,4.22267e+08,2.83636e+08,2.30977e+08
43, 4,2.23798e+09,284954,3.47779e+08,1.05258e+07,3.2184e+06,9.35205e+06,4.81744e+08,3.13857e+08,2.61881e+08
44, 4,2.37084e+09,385011,3.4921e+08,1.18264e+07,3.68422e+06,1.06289e+07,5.47099e+08,3.61881e+08,2.99212e+08
45, 4,2.48143e+09,592026,3.54946e+08,1.20688e+07,4.06604e+06,1.23386e+07,6.1948e+08,4.34761e+08,3.49704e+08
