Month,Year,Biomass_FG_0,Biomass_FG_1,Biomass_FG_2,Biomass_FG_3,Biomass_FG_4,Biomass_FG_5,Biomass_FG_6,Biomass_FG_7,Biomass_FG_8
1, 1,5.83638e+09,8.93663e+08,1.26634e+09,6.94759e+07,4.64844e+06,4.51933e+07,7.3612e+07,2.72468e+08,6.20228e+07
2, 1,5.55581e+09,7.29121e+08,1.27814e+09,6.28733e+07,4.1712e+06,4.19161e+07,6.4924e+07,2.42897e+08,5.28244e+07
3, 1,5.36494e+09,6.5567e+08,1.26267e+09,5.47342e+07,3.58763e+06,3.86313e+07,5.75059e+07,2.16769e+08,4.50395e+07
4, 1,5.42105e+09,6.18811e+08,1.30369e+09,4.309e+07,3.0615e+06,3.52669e+07,5.1562e+07,1.96558e+08,3.91535e+07
5, 1,4.91926e+09,4.72811e+08,1.25897e+09,5.19064e+07,5.15275e+06,3.80574e+07,6.55515e+07,2.41795e+08,5.43898e+07
6, 1,4.76931e+09,4.56699e+08,1.25953e+09,6.43392e+07,1.16995e+07,5.97247e+07,1.09334e+08,3.73833e+08,9.37087e+07
7, 1,4.6366e+09,4.69865e+08,1.2694e+09,6.78192e+07,1.47235e+07,5.51947e+07,1.44467e+08,4.78142e+08,1.28536e+08
8, 1,4.5806e+09,4.26746e+08,1.28198e+09,6.98979e+07,1.41345e+07,3.87304e+07,1.84754e+08,5.93051e+08,1.59701e+08
9, 1,4.38595e+09,4.57066e+08,1.276e+09,6.60058e+07,1.44953e+07,2.48247e+07,2.341e+08,7.36086e+08,1.8984e+08
10, 1,4.39348e+09,4.96903e+08,1.34393e+09,5.30822e+07,1.1224e+07,1.99873e+07,1.82113e+08,5.90078e+08,1.43159e+08
11, 1,4.32378e+09,4.99938e+08,1.35695e+09,4.47381e+07,9.04256e+06,1.53714e+07,1.47904e+08,4.83992e+08,1.14169e+08
12, 1,4.12872e+09,4.73579e+08,1.26795e+09,3.62474e+07,7.82522e+06,1.22441e+07,1.2205e+08,4.03772e+08,9.26902e+07
13, 2,3.82694e+09,4.66445e+08,1.18149e+09,2.7407e+07,7.02008e+06,1.00623e+07,1.03378e+08,3.41181e+08,7.76259e+07
14, 2,3.47461e+09,4.47494e+08,1.077e+09,1.81873e+07,6.33106e+06,8.55091e+06,8.86312e+07,2.92282e+08,6.62907e+07
15, 2,3.19738e+09,4.06167e+08,9.73953e+08,9.79708e+06,5.73683e+06,7.46081e+06,7.77642e+07,2.49251e+08,5.77307e+07
