GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,3.68055e+11
0,1,1.01358e+12
1,0,5.4258e+11
1,1,1.43185e+12
2,0,5.13265e+11
2,1,1.38354e+12
3,0,8.15454e+11
3,1,2.50619e+12
4,0,9.44344e+11
4,1,3.18264e+12
5,0,6.79019e+11
5,1,1.40378e+12
6,0,1.00937e+12
6,1,3.62756e+12
7,0,8.51341e+11
7,1,2.27365e+12
8,0,6.10267e+11
8,1,1.42126e+12
9,0,9.82169e+11
9,1,3.25643e+12
10,0,1.09575e+12
10,1,3.95237e+12
11,0,9.64784e+11
11,1,3.16416e+12
12,0,7.40944e+11
12,1,1.94534e+12
13,0,8.89352e+11
13,1,2.28436e+12
14,0,6.57199e+11
14,1,2.16549e+12
15,0,2.71188e+11
15,1,6.75795e+11
16,0,4.29826e+11
16,1,1.23995e+12
17,0,3.99471e+11
17,1,9.55123e+11
18,0,7.10557e+11
18,1,2.2924e+12
19,0,6.10569e+11
19,1,1.69407e+12
20,0,6.419e+11
20,1,1.89864e+12
21,0,7.65321e+11
21,1,2.32284e+12
22,0,6.62912e+11
22,1,1.67874e+12
23,0,8.23606e+11
23,1,2.19353e+12
24,0,9.26432e+11
24,1,2.65575e+12
25,0,7.0467e+11
25,1,1.82971e+12
26,0,7.86169e+11
26,1,1.99062e+12
27,0,9.6312e+11
27,1,2.84509e+12
28,0,2.52499e+11
28,1,6.94612e+11
29,0,1.50778e+11
29,1,4.49728e+11
30,0,6.11471e+11
30,1,1.85632e+12
31,0,4.65926e+11
31,1,1.23757e+12
32,0,4.19321e+11
32,1,1.16424e+12
33,0,6.0012e+11
33,1,1.65087e+12
34,0,7.57278e+11
34,1,2.37155e+12
35,0,7.29819e+11
35,1,2.40125e+12
36,0,6.67598e+11
36,1,1.67196e+12
37,0,9.63185e+11
37,1,3.35761e+12
38,0,9.16671e+11
38,1,2.6115e+12
39,0,8.23294e+11
39,1,2.25079e+12
40,0,6.03639e+11
40,1,1.64574e+12
41,0,7.93654e+11
41,1,2.25393e+12
42,0,2.74115e+11
42,1,8.2289e+11
43,0,3.98297e+11
43,1,1.08528e+12
44,0,5.91583e+11
44,1,1.7761e+12
45,0,3.54172e+11
45,1,1.01202e+12
46,0,3.39562e+11
46,1,9.68359e+11
47,0,5.1352e+11
47,1,1.43181e+12
48,0,7.36677e+11
48,1,2.39544e+12
49,0,4.17928e+11
49,1,1.14981e+12
50,0,3.69476e+11
50,1,9.69284e+11
51,0,5.33926e+11
51,1,1.60127e+12
52,0,4.17846e+11
52,1,1.00643e+12
53,0,7.78419e+11
53,1,2.25967e+12
54,0,6.99503e+11
54,1,1.74485e+12
55,0,9.07492e+11
55,1,2.70333e+12
56,0,7.09016e+11
56,1,2.183e+12
57,0,7.68991e+11
57,1,2.51662e+12
58,0,4.45554e+11
58,1,1.29778e+12
59,0,3.79488e+11
59,1,1.03086e+12
60,0,2.69427e+11
60,1,7.91035e+11
61,0,1.66941e+11
61,1,4.53535e+11
62,0,2.53761e+11
62,1,6.6256e+11
63,0,4.07399e+11
63,1,1.22364e+12
64,0,2.25974e+11
64,1,6.65275e+11
65,0,3.71783e+11
65,1,9.86996e+11
66,0,5.6936e+11
66,1,1.7273e+12
67,0,6.59953e+11
67,1,1.94587e+12
68,0,7.93107e+11
68,1,2.14957e+12
69,0,7.54566e+11
69,1,2.0871e+12
70,0,8.32219e+11
70,1,2.35462e+12
71,0,6.86726e+11
71,1,1.97979e+12
72,0,6.48615e+11
72,1,1.76589e+12
73,0,5.69347e+11
73,1,1.66326e+12
74,0,3.01867e+11
74,1,7.89208e+11
75,0,1.21982e+11
75,1,3.67709e+11
76,0,1.47411e+11
76,1,4.37086e+11
77,0,3.71649e+11
77,1,9.86134e+11
78,0,2.73921e+11
78,1,7.56614e+11
79,0,3.1205e+11
79,1,9.13941e+11
80,0,3.37928e+11
80,1,9.55914e+11
81,0,4.86626e+11
81,1,1.3074e+12
82,0,7.52008e+11
82,1,2.21834e+12
83,0,6.91754e+11
83,1,1.97115e+12
