FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,323639,165326
0,1,10,1.4055e+08,2.11233e+08
0,10,100,1.63618e+08,1.56727e+09
0,100,1000,2.93426e+07,4.42795e+08
0,1000,10000,15058.4,8.13249e+06
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,536.755,31285.1
1,10,100,1.14943e+06,2.4535e+07
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,339292,316200
2,1,10,2.05989e+07,5.00696e+07
2,10,100,3.52962e+07,5.65123e+08
2,100,1000,323838,8.22511e+06
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,3.08659e+09,1.71863e+06
3,0.01,0.1,1.03036e+09,3.59925e+06
3,0.1,1,5.0776e+07,1.48335e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,1.60085e+06,56632.1
4,0.1,1,2.4882e+07,1.1073e+06
4,1,10,2.62631e+06,536057
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,1.14242e+09,283670
5,0.01,0.1,1.60783e+09,4.11312e+06
5,0.1,1,2.41647e+08,2.45034e+06
5,1,10,391147,556379
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,2.73241e+09,1.75675e+07
6,0.1,1,4.53977e+09,1.01568e+08
6,1,10,6.16556e+08,1.41794e+08
6,10,100,1.81288e+07,3.13791e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,3.24946e+07,538770
7,0.1,1,2.99639e+08,1.94725e+07
7,1,10,5.79886e+08,1.30427e+08
7,10,100,5.21587e+07,1.36161e+08
7,100,1000,1.25112e+06,3.33811e+06
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,2.20159e+09,1.40053e+07
8,0.1,1,1.90909e+09,6.13158e+07
8,1,10,3.77956e+08,8.33801e+07
8,10,100,4.79643e+06,7.13868e+06
8,100,1000,0,0
8,1000,10000,0,0
