FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,1.99445e+08,876071
0,1,10,2.19252e+09,3.24703e+08
0,10,100,1.40748e+09,2.00736e+09
0,100,1000,1.16252e+08,5.15617e+08
0,1000,10000,88922.4,8.81851e+06
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,765164,9.53915e+06
1,10,100,7.18817e+06,2.52601e+07
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,8.74563e+06,434615
2,1,10,1.5213e+08,6.32894e+07
2,10,100,2.57704e+08,5.2987e+08
2,100,1000,212939,6.64193e+06
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,5.13816e+09,2.52393e+06
3,0.01,0.1,3.20091e+09,6.44284e+06
3,0.1,1,1.0427e+08,2.82774e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,6.0146e+06,158136
4,0.1,1,4.09246e+07,2.43013e+06
4,1,10,1.85556e+06,816118
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,2.49345e+08,385593
5,0.01,0.1,3.73174e+09,7.52197e+06
5,0.1,1,1.14822e+08,3.34288e+06
5,1,10,2.50586e+06,640520
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,6.13583e+09,3.41932e+07
6,0.1,1,8.27087e+09,1.94216e+08
6,1,10,1.28562e+09,2.48132e+08
6,10,100,3.81274e+07,4.79767e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,5.07048e+07,841807
7,0.1,1,4.95667e+08,2.9565e+07
7,1,10,9.93345e+08,2.24648e+08
7,10,100,2.14624e+08,1.86892e+08
7,100,1000,1.27459e+06,6.15432e+06
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,3.67458e+09,2.52405e+07
8,0.1,1,3.06591e+09,1.12913e+08
8,1,10,7.61082e+08,1.4058e+08
8,10,100,8.60003e+06,1.17759e+07
8,100,1000,0,0
8,1000,10000,0,0
