FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,4.13724e+07,186761
0,1,10,2.72482e+09,2.28402e+08
0,10,100,2.03661e+09,1.57785e+09
0,100,1000,7.31673e+07,4.38835e+08
0,1000,10000,100614,7.93828e+06
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,94560.2,26813.6
1,10,100,1.10022e+07,2.1563e+07
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,1.01813e+06,326990
2,1,10,4.43168e+08,4.98193e+07
2,10,100,2.93917e+08,5.39837e+08
2,100,1000,298429,8.21178e+06
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,2.62194e+09,1.42099e+06
3,0.01,0.1,1.33337e+09,3.14512e+06
3,0.1,1,4.75593e+07,1.3809e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,1.47174e+06,52977.6
4,0.1,1,2.76157e+07,992435
4,1,10,2.45712e+06,496599
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,6.8881e+08,208396
5,0.01,0.1,1.42839e+09,3.66498e+06
5,0.1,1,2.32901e+08,2.20778e+06
5,1,10,337588,475790
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,3.05014e+09,1.58513e+07
6,0.1,1,4.82746e+09,9.26008e+07
6,1,10,6.94053e+08,1.30462e+08
6,10,100,1.80158e+07,2.88394e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,3.43575e+07,490707
7,0.1,1,3.19389e+08,1.75139e+07
7,1,10,6.48595e+08,1.18878e+08
7,10,100,6.06748e+07,1.26955e+08
7,100,1000,1.18007e+06,3.15011e+06
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,2.46353e+09,1.27465e+07
8,0.1,1,2.0898e+09,5.61357e+07
8,1,10,4.59865e+08,7.73962e+07
8,10,100,4.56174e+06,6.7725e+06
8,100,1000,0,0
8,1000,10000,0,0
