FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,414638,203589
0,1,10,1.7916e+08,2.36041e+08
0,10,100,1.94097e+08,1.69883e+09
0,100,1000,3.30457e+07,4.65844e+08
0,1000,10000,15796.4,8.74433e+06
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,1536.82,78555.4
1,10,100,2.28179e+06,3.35447e+07
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,457424,448174
2,1,10,2.62809e+07,6.04438e+07
2,10,100,5.61196e+07,6.21738e+08
2,100,1000,337449,8.28981e+06
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,3.74737e+09,2.00316e+06
3,0.01,0.1,1.16092e+09,4.03627e+06
3,0.1,1,5.38818e+07,1.59111e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,1.72852e+06,60335.1
4,0.1,1,2.67856e+07,1.23191e+06
4,1,10,2.87298e+06,595501
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,1.49712e+09,347010
5,0.01,0.1,1.8051e+09,4.54905e+06
5,0.1,1,2.59296e+08,2.71654e+06
5,1,10,465999,665044
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,2.95269e+09,1.94963e+07
6,0.1,1,4.89614e+09,1.12673e+08
6,1,10,6.6332e+08,1.59385e+08
6,10,100,1.9581e+07,3.41756e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,3.45814e+07,596055
7,0.1,1,3.21735e+08,2.18782e+07
7,1,10,6.22147e+08,1.45052e+08
7,10,100,5.82711e+07,1.46927e+08
7,100,1000,1.34463e+06,3.54789e+06
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,2.36928e+09,1.54787e+07
8,0.1,1,2.03723e+09,6.83528e+07
8,1,10,4.03379e+08,9.05787e+07
8,10,100,5.05797e+06,7.52871e+06
8,100,1000,0,0
8,1000,10000,0,0
