FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,2.98837e+07,219833
0,1,10,1.39388e+09,2.38621e+08
0,10,100,1.44653e+09,1.62332e+09
0,100,1000,8.22192e+07,4.57985e+08
0,1000,10000,97425.9,8.08077e+06
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,91653.8,97607.1
1,10,100,3.6621e+06,1.51866e+07
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,5.35038e+06,334671
2,1,10,2.10506e+08,4.63862e+07
2,10,100,6.9593e+08,5.17959e+08
2,100,1000,281169,8.28417e+06
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,1.42518e+09,1.21474e+06
3,0.01,0.1,1.4252e+09,3.48879e+06
3,0.1,1,5.94259e+07,1.569e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,1.35402e+06,62564.7
4,0.1,1,2.48315e+07,1.10706e+06
4,1,10,2.31752e+06,512533
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,2.63189e+08,188538
5,0.01,0.1,1.26636e+09,3.88607e+06
5,0.1,1,6.94526e+07,2.04356e+06
5,1,10,300182,486807
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,2.18505e+09,1.73899e+07
6,0.1,1,4.22563e+09,1.03283e+08
6,1,10,6.76629e+08,1.42969e+08
6,10,100,1.83961e+07,3.05345e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,3.2336e+07,511960
7,0.1,1,2.50246e+08,1.73716e+07
7,1,10,5.5361e+08,1.26672e+08
7,10,100,6.17647e+07,1.31725e+08
7,100,1000,1.13534e+06,3.45423e+06
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,1.63931e+09,1.31178e+07
8,0.1,1,1.72615e+09,6.15856e+07
8,1,10,4.33162e+08,8.43285e+07
8,10,100,5.03009e+06,7.53476e+06
8,100,1000,0,0
8,1000,10000,0,0
