FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,3.19949e+10,1.77585e+08
0,0.1,1,4.99186e+10,6.31813e+08
0,1,10,4.54617e+10,9.06536e+08
0,10,100,1.27755e+09,2.20654e+09
0,100,1000,1.79697e+08,1.92244e+09
0,1000,10000,129911,4.17547e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,2.86551e+08,3.54792e+08
1,100,1000,2.74669e+06,1.61728e+07
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,1.70452e+09,1.72281e+07
2,0.1,1,1.03724e+10,1.7839e+08
2,1,10,4.67944e+09,3.95673e+08
2,10,100,6.53769e+08,5.86819e+08
2,100,1000,188371,1.26499e+07
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,6.13578e+10,8.21547e+07
3,0.01,0.1,5.5589e+09,7.34043e+06
3,0.1,1,7.51914e+07,721286
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,4.81889e+07,484804
4,0.1,1,6.77018e+07,2.23822e+06
4,1,10,6.39801e+06,403258
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,7.83423e+08,325465
5,0.01,0.1,3.60109e+09,1.77515e+07
5,0.1,1,2.14308e+08,3.00885e+06
5,1,10,83394.4,33592.4
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,4.12488e+09,3.43797e+07
6,0.1,1,2.24583e+09,4.22026e+07
6,1,10,1.06033e+08,2.50794e+07
6,10,100,1.79882e+06,3.66099e+06
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,4.06033e+08,7.61975e+06
7,0.1,1,1.26372e+09,6.43799e+07
7,1,10,5.81105e+08,1.13675e+08
7,10,100,4.15909e+07,9.24056e+07
7,100,1000,58357.4,2.84441e+06
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,5.88215e+09,4.33452e+07
8,0.1,1,1.13337e+09,3.74519e+07
8,1,10,6.6668e+07,1.3189e+07
8,10,100,1.05395e+06,1.05312e+06
8,100,1000,0,0
8,1000,10000,0,0
