FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,3.08463e+09,1.68828e+08
0,0.1,1,5.20722e+09,4.9955e+08
0,1,10,7.3457e+08,7.7225e+08
0,10,100,2.67285e+08,1.82022e+09
0,100,1000,1.97088e+07,1.87072e+09
0,1000,10000,124868,3.26925e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,2.97658e+07,6.56384e+08
1,100,1000,16446,2.62125e+06
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,1.8808e+08,2.73065e+07
2,0.1,1,8.74154e+08,1.74183e+08
2,1,10,5.31273e+08,3.63644e+08
2,10,100,7.88164e+07,5.43387e+08
2,100,1000,247559,1.29558e+07
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,7.00778e+10,7.75531e+07
3,0.01,0.1,1.16745e+09,2.42355e+06
3,0.1,1,1.86598e+07,316222
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,3.15363e+07,547019
4,0.1,1,2.89309e+07,931274
4,1,10,3.6118e+06,3.01028e+06
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,6.10721e+08,462548
5,0.01,0.1,4.21519e+09,7.21989e+06
5,0.1,1,9.76629e+07,2.09382e+06
5,1,10,6.03035e+06,510713
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,7.91581e+09,2.42642e+07
6,0.1,1,1.18232e+09,2.771e+07
6,1,10,9.84143e+07,1.76989e+07
6,10,100,1.24794e+06,3.2456e+06
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,2.01206e+08,3.4855e+06
7,0.1,1,5.55742e+08,2.66778e+07
7,1,10,2.93693e+08,6.87841e+07
7,10,100,2.31865e+07,7.56443e+07
7,100,1000,69031.1,2.28264e+06
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,2.41618e+09,1.59102e+07
8,0.1,1,6.27461e+08,1.88689e+07
8,1,10,4.32428e+07,9.1057e+06
8,10,100,755127,844177
8,100,1000,0,0
8,1000,10000,0,0
