FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,4.13569e+10,1.82515e+08
0,0.1,1,2.52901e+10,5.14451e+08
0,1,10,1.82443e+10,9.2292e+08
0,10,100,1.34515e+09,2.28343e+09
0,100,1000,1.21178e+08,1.87742e+09
0,1000,10000,106364,3.7456e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,2.01385e+08,6.87085e+08
1,100,1000,4.85187e+06,3.6517e+07
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,6.87811e+08,7.89883e+06
2,0.1,1,6.38734e+09,2.17873e+08
2,1,10,3.0835e+09,3.61272e+08
2,10,100,2.84965e+08,6.03027e+08
2,100,1000,5.27363e+06,1.61526e+07
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,1.36278e+12,1.25015e+08
3,0.01,0.1,3.96323e+10,1.80603e+07
3,0.1,1,8.16158e+07,2.82165e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,1.65832e+08,3.35748e+06
4,0.1,1,1.47352e+08,6.37942e+06
4,1,10,1.80131e+06,2.02623e+06
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,3.73936e+08,835289
5,0.01,0.1,4.91354e+10,6.35994e+07
5,0.1,1,2.37354e+08,7.59736e+06
5,1,10,408195,84321.3
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,9.38966e+09,6.78041e+07
6,0.1,1,4.77583e+09,8.00207e+07
6,1,10,2.34114e+08,4.08654e+07
6,10,100,2.85084e+06,5.56646e+06
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,5.94361e+08,1.40002e+07
7,0.1,1,3.80095e+09,1.64227e+08
7,1,10,1.79528e+09,2.74167e+08
7,10,100,5.57978e+07,1.75726e+08
7,100,1000,185561,1.59734e+06
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,8.95038e+09,6.94722e+07
8,0.1,1,3.00934e+09,9.31034e+07
8,1,10,9.74286e+07,2.37287e+07
8,10,100,489978,1.36492e+06
8,100,1000,0,0
8,1000,10000,0,0
