FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,5.1383e+10,2.11533e+08
0,0.1,1,8.63971e+10,5.63655e+08
0,1,10,2.27368e+10,8.66e+08
0,10,100,1.84974e+09,2.01472e+09
0,100,1000,2.51317e+08,1.96341e+09
0,1000,10000,128304,3.79687e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,3.55659e+06,1.17685e+06
1,10,100,5.11467e+08,3.79581e+08
1,100,1000,2.34842e+06,1.22087e+07
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,2.11053e+09,1.6119e+07
2,0.1,1,1.08294e+10,1.65015e+08
2,1,10,7.41096e+09,3.94302e+08
2,10,100,5.66937e+08,5.58431e+08
2,100,1000,226067,1.57215e+07
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,2.00392e+10,7.84344e+07
3,0.01,0.1,1.76022e+09,2.86077e+06
3,0.1,1,3.38311e+07,351177
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,1.29446e+07,331344
4,0.1,1,2.65546e+07,982197
4,1,10,170336,333967
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,1.70905e+08,114813
5,0.01,0.1,4.42684e+09,8.18646e+06
5,0.1,1,6.79505e+07,1.58659e+06
5,1,10,34837.1,29029.4
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,3.50657e+09,1.86085e+07
6,0.1,1,9.92675e+08,2.37945e+07
6,1,10,9.77718e+07,1.658e+07
6,10,100,1.93462e+06,3.02236e+06
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,1.33405e+08,3.66142e+06
7,0.1,1,4.12028e+08,2.99552e+07
7,1,10,3.20683e+08,6.72633e+07
7,10,100,3.16043e+07,6.68116e+07
7,100,1000,60889.5,2.28887e+06
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,1.95759e+09,1.93128e+07
8,0.1,1,5.27583e+08,1.91121e+07
8,1,10,4.61125e+07,8.5489e+06
8,10,100,620528,789015
8,100,1000,0,0
8,1000,10000,0,0
