"var","x","y"
0.0925196930766106,-0.75,46.25
0.122047200798988,-0.25,46.25
0.0925196930766106,0.25,46.25
0.151574805378914,0.75,46.25
0.240157499909401,1.25,46.25
0.181102395057678,1.75,46.25
0.122047200798988,2.25,46.25
0.0925196930766106,2.75,46.25
0.0334645695984364,3.25,46.25
0.122047200798988,3.75,46.25
0.0629921332001686,4.25,46.25
0.00393700785934925,4.75,46.25
0.0334645695984364,5.25,46.25
0.00393700785934925,5.75,46.25
0.122047200798988,-0.75,46.75
0.0925196930766106,-0.25,46.75
0.0629921332001686,0.25,46.75
0.0629921332001686,0.75,46.75
0.122047200798988,1.25,46.75
0.0334645695984364,1.75,46.75
0.0629921332001686,2.25,46.75
0.0334645695984364,2.75,46.75
0.0925196930766106,3.25,46.75
0.122047200798988,3.75,46.75
0.122047200798988,4.25,46.75
0.0334645695984364,4.75,46.75
0.0334645695984364,5.25,46.75
0.0334645695984364,5.75,46.75
0.0925196930766106,-0.75,47.25
0.0629921332001686,-0.25,47.25
0.0925196930766106,0.25,47.25
0.0334645695984364,0.75,47.25
0.0334645695984364,1.25,47.25
0.0334645695984364,1.75,47.25
0.122047200798988,2.25,47.25
0.0334645695984364,2.75,47.25
0.0925196930766106,3.25,47.25
0.0925196930766106,3.75,47.25
0.0925196930766106,4.25,47.25
0.0334645695984364,4.75,47.25
0.00393700785934925,5.25,47.25
0.00393700785934925,5.75,47.25
0.00393700785934925,-0.75,47.75
0.00393700785934925,-0.25,47.75
0.0334645695984364,0.25,47.75
0.00393700785934925,0.75,47.75
0.00393700785934925,1.25,47.75
0.0629921332001686,1.75,47.75
0.0334645695984364,2.25,47.75
0.00393700785934925,2.75,47.75
0.00393700785934925,3.25,47.75
0.00393700785934925,3.75,47.75
0.00393700785934925,4.25,47.75
0.0334645695984364,4.75,47.75
-0.0255905501544476,5.25,47.75
0.00393700785934925,5.75,47.75
0.0334645695984364,-0.75,48.25
0.00393700785934925,-0.25,48.25
0.00393700785934925,0.25,48.25
0.00393700785934925,0.75,48.25
0.00393700785934925,1.25,48.25
0.00393700785934925,1.75,48.25
0.00393700785934925,2.25,48.25
0.00393700785934925,2.75,48.25
0.00393700785934925,3.25,48.25
0.00393700785934925,3.75,48.25
0.00393700785934925,4.25,48.25
0.00393700785934925,4.75,48.25
0.00393700785934925,5.25,48.25
0.0334645695984364,5.75,48.25
0.122047200798988,-0.75,48.75
0.00393700785934925,-0.25,48.75
0.0334645695984364,0.25,48.75
-0.0255905501544476,0.75,48.75
-0.0255905501544476,1.25,48.75
0.0334645695984364,1.75,48.75
0.00393700785934925,2.25,48.75
0.00393700785934925,2.75,48.75
-0.0255905501544476,3.25,48.75
-0.0255905501544476,3.75,48.75
-0.0255905501544476,4.25,48.75
-0.0255905501544476,4.75,48.75
-0.0255905501544476,5.25,48.75
0.00393700785934925,5.75,48.75
