Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
12554.2,2,100,H,Ecto,1.71625e+08
12554.2,2,1000,H,Ecto,1.03493e+07
12554.2,2,10000,H,Ecto,17654.4
12554.2,2,1000,H,Endo,67.134
12554.2,2,10000,H,Endo,2.03853e+07
12554.2,2,100000,H,Endo,10784
12554.2,2,100,O,Ecto,5.56559e+07
12554.2,2,1000,O,Ecto,2.99562e+08
12554.2,2,100,C,Ecto,274354
12554.2,2,1000,C,Ecto,4.47453e+07
40737,2,100,H,Ecto,1.49339e+07
40737,2,1000,H,Ecto,3.00724e+06
40737,2,10000,H,Ecto,1433.28
40737,2,1000,H,Endo,8.17068
40737,2,10000,H,Endo,5.87307e+06
40737,2,100000,H,Endo,5801.2
40737,2,100,O,Ecto,6.15481e+06
40737,2,1000,O,Ecto,2.1097e+07
40737,2,100,C,Ecto,19153.3
40737,2,1000,C,Ecto,4.36625e+06
13560.4,2,100,H,Ecto,6165.85
13560.4,2,1000,H,Ecto,1256.55
13560.4,2,10000,H,Ecto,0.700865
13560.4,2,1000,H,Endo,0.0037997
13560.4,2,10000,H,Endo,2353.25
13560.4,2,100000,H,Endo,2.21024
13560.4,2,100,O,Ecto,2530.31
13560.4,2,1000,O,Ecto,8616.76
13560.4,2,100,C,Ecto,18.3402
13560.4,2,1000,C,Ecto,1846.81
41930.2,2,100,H,Ecto,2.29353
41930.2,2,1000,H,Ecto,5097.09
41930.2,2,10000,H,Ecto,5.57609
41930.2,2,1000,H,Endo,0.00465705
41930.2,2,10000,H,Endo,538372
41930.2,2,100,O,Ecto,34.4257
41930.2,2,1000,O,Ecto,3513.85
41930.2,2,10000,O,Ecto,1.11656
41930.2,2,1000,C,Ecto,419.946
41930.2,2,10000,C,Ecto,517.944
11818.2,2,100,H,Ecto,34634.9
11818.2,2,1000,H,Ecto,168747
11818.2,2,1000,H,Endo,29184.8
11818.2,2,10000,H,Endo,352770
11818.2,2,100,O,Ecto,695.397
11818.2,2,1000,O,Ecto,207261
11818.2,2,10000,O,Ecto,1674.36
11818.2,2,10000,O,Endo,23362.3
11818.2,2,100,C,Ecto,2699.83
11818.2,2,1000,C,Ecto,12181.1
11818.2,2,10000,C,Ecto,7282.31
43579.8,2,10,H,Ecto,1.17096e+06
43579.8,2,100,H,Ecto,1.12564e+08
43579.8,2,1000,H,Ecto,1.05954e+08
43579.8,2,1000,H,Endo,1.18762e+08
43579.8,2,10000,H,Endo,1.60143e+08
43579.8,2,100,O,Ecto,8.69841e+07
43579.8,2,1000,O,Ecto,6.85144e+06
43579.8,2,10000,O,Ecto,1.44312e+07
43579.8,2,10000,O,Endo,756367
43579.8,2,10,C,Ecto,1771.29
43579.8,2,100,C,Ecto,4.41946e+07
43579.8,2,1000,C,Ecto,3.6875e+07
43579.8,2,10000,C,Ecto,1.6842e+06
11920.4,2,10,H,Ecto,1.55154e+06
11920.4,2,100,H,Ecto,1.09863e+06
11920.4,2,1000,H,Ecto,202415
11920.4,2,1000,H,Endo,369.067
11920.4,2,10000,H,Endo,494851
11920.4,2,10,O,Ecto,17631.4
11920.4,2,100,O,Ecto,937862
11920.4,2,1000,O,Ecto,1.45024
11920.4,2,10000,O,Ecto,173.518
11920.4,2,10,C,Ecto,1012.93
11920.4,2,100,C,Ecto,781.428
11920.4,2,1000,C,Ecto,8379.48
11920.4,2,10000,C,Ecto,19.2357
50055.7,2,10,H,Ecto,1.99486e+07
50055.7,2,100,H,Ecto,1.07594e+07
50055.7,2,1000,H,Ecto,2.97779e+06
50055.7,2,1000,H,Endo,2819.97
50055.7,2,10000,H,Endo,1.05038e+07
50055.7,2,10,O,Ecto,181711
