GridcellIndex,Cohort_FunctionalGroupIndex,Cohort_AdultMass,Cohort_Consumed_Autotroph,Cohort_Consumed_Herbivore,Cohort_Consumed_Omnivore,Cohort_Consumed_Carnivore
0,0,37743.9,1.15267e+06,0,0,0
0,0,19926.1,3.79564e+08,0,0,0
0,0,13652.5,1.30939e+08,0,0,0
0,0,9016.11,405452,0,0,0
0,0,7991.54,3.62333e+06,0,0,0
0,0,114892,2.37309e+06,0,0,0
0,0,71665.9,9.7337e+08,0,0,0
0,0,32921.8,4.72893e+06,0,0,0
0,0,110006,1.5139e+06,0,0,0
0,0,14047.5,3.10329e+08,0,0,0
0,0,37743.9,3.27886e+06,0,0,0
0,0,83660.1,8.52384e+06,0,0,0
0,2,12554.2,1.20385e+09,3.34601e+07,5.59478e+07,3.72559e+07
0,2,40737,6.65016e+07,7.3755e+06,8.55148e+06,9.08102e+06
0,3,430.716,1.15118e+08,0,0,0
0,3,56.6736,1.67205e+07,0,0,0
0,3,4.55732,0,0,0,0
0,5,100.554,2.3176e+07,1.06482e+07,1.11162e+07,536279
0,5,720.111,3.54386e+07,5.73782e+06,6.10017e+06,333708
0,6,1343.66,2.04778e+07,0,0,0
0,6,164.609,7.66959e+06,0,0,0
0,6,921.832,2.38615e+07,0,0,0
0,6,20415.4,3.82516e+06,0,0,0
0,6,104.887,3.11934e+06,0,0,0
0,6,369.117,5.94234e+07,0,0,0
0,6,8718.16,76882.5,0,0,0
0,6,438.694,5.72751e+07,0,0,0
0,6,255.117,1.1761e+07,0,0,0
0,6,841.207,4.59179e+06,0,0,0
0,6,40.3843,7.75806e+06,0,0,0
0,6,186.008,1.62691e+07,0,0,0
0,6,10893.6,3.61554e+06,0,0,0
0,6,951.298,1.2519e+08,0,0,0
0,6,286.789,2.82901e+07,0,0,0
0,6,178.171,6.46916e+06,0,0,0
0,6,11299.7,402015,0,0,0
0,6,903.267,4.38277e+07,0,0,0
0,6,1844.71,1.85041e+07,0,0,0
0,6,8718.16,950643,0,0,0
0,6,1347.27,3.79844e+07,0,0,0
0,6,35.052,1.22524e+07,0,0,0
0,6,367.415,1.40135e+07,0,0,0
0,6,104.887,1.47125e+07,0,0,0
0,6,471.724,2.23473e+07,0,0,0
0,6,2366.45,2.22707e+06,0,0,0
0,6,817.387,5.59545e+06,0,0,0
0,6,1306.29,2.55042e+07,0,0,0
0,6,257.035,7.04483e+06,0,0,0
