Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
12554.2,2,100,H,Ecto,1.88185e+08
12554.2,2,1000,H,Ecto,1.04647e+07
12554.2,2,10000,H,Ecto,20339.7
12554.2,2,1000,H,Endo,158.143
12554.2,2,10000,H,Endo,7.8265e+06
12554.2,2,100000,H,Endo,2914.47
12554.2,2,100,O,Ecto,2.65475e+07
12554.2,2,1000,O,Ecto,2.28635e+08
12554.2,2,100,C,Ecto,250617
12554.2,2,1000,C,Ecto,4.63482e+07
40737,2,100,H,Ecto,1.98872e+07
40737,2,1000,H,Ecto,3.54958e+06
40737,2,10000,H,Ecto,424.726
40737,2,1000,H,Endo,10.2364
40737,2,10000,H,Endo,1.42511e+06
40737,2,100000,H,Endo,768.781
40737,2,100,O,Ecto,4.35336e+06
40737,2,1000,O,Ecto,2.51037e+07
40737,2,100,C,Ecto,39228.9
40737,2,1000,C,Ecto,4.32187e+06
13560.4,2,100,H,Ecto,119.703
13560.4,2,1000,H,Ecto,245.498
13560.4,2,10000,H,Ecto,0.0573331
13560.4,2,1000,H,Endo,15.1283
13560.4,2,10000,H,Endo,61225.7
13560.4,2,100,O,Ecto,4084.29
13560.4,2,1000,O,Ecto,5251.27
13560.4,2,10000,O,Ecto,0.000133157
13560.4,2,100,C,Ecto,9.54323
13560.4,2,1000,C,Ecto,571.95
13560.4,2,10000,C,Ecto,0.977696
720.111,5,10,H,Ecto,62190.1
720.111,5,100,H,Ecto,5.59889e+06
720.111,5,1000,H,Ecto,3.3167e+06
720.111,5,100000,H,Endo,7.40956
720.111,5,10,O,Ecto,545089
720.111,5,100,O,Ecto,2.11797e+06
720.111,5,1000,O,Ecto,4.67662e+06
720.111,5,10,C,Ecto,58.6829
720.111,5,100,C,Ecto,2582.36
720.111,5,1000,C,Ecto,1.23308e+06
100.554,5,1,H,Ecto,1523.83
100.554,5,10,H,Ecto,7114.28
100.554,5,100,H,Ecto,24720.7
100.554,5,10,O,Ecto,222.228
1125.42,7,10,H,Ecto,51.0968
1125.42,7,100,H,Ecto,175469
1125.42,7,1000,H,Ecto,72718
1125.42,7,10000,H,Endo,12187.7
1125.42,7,100000,H,Endo,178.781
1125.42,7,10,O,Ecto,15808.4
1125.42,7,100,O,Ecto,267021
1125.42,7,1000,O,Ecto,101191
1125.42,7,10,C,Ecto,7.29431
1125.42,7,100,C,Ecto,13581.6
1125.42,7,1000,C,Ecto,332862
4435.61,7,10,H,Ecto,0.479309
4435.61,7,100,H,Ecto,2.07414e+06
4435.61,7,1000,H,Ecto,362164
4435.61,7,10000,H,Ecto,0.198052
4435.61,7,1000,H,Endo,0.0158081
4435.61,7,10000,H,Endo,594548
4435.61,7,100000,H,Endo,928.234
4435.61,7,100,O,Ecto,2.82901e+06
4435.61,7,1000,O,Ecto,4.8135e+06
4435.61,7,10,C,Ecto,1.75854e-05
4435.61,7,100,C,Ecto,98781.4
4435.61,7,1000,C,Ecto,399970
93.1332,7,1,H,Ecto,220.58
93.1332,7,10,H,Ecto,836.41
93.1332,7,100,H,Ecto,2185.32
93.1332,7,1000,H,Ecto,125.61
93.1332,7,10,O,Ecto,133.459
93.1332,7,100,O,Ecto,678.396
93.1332,7,1000,O,Ecto,13.0529
93.1332,7,1000,C,Ecto,1.68882
458.529,7,10,H,Ecto,46995.3
458.529,7,100,H,Ecto,2.27715e+06
458.529,7,1000,H,Ecto,1.99187e+06
458.529,7,10,O,Ecto,678899
458.529,7,100,O,Ecto,925782
458.529,7,1000,O,Ecto,1.40483e+06
458.529,7,10,C,Ecto,9.6218
458.529,7,100,C,Ecto,52.3889
458.529,7,1000,C,Ecto,481887
4155.31,7,10,H,Ecto,4.75881
4155.31,7,100,H,Ecto,8.92058e+06
