Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
12554.2,2,100,H,Ecto,1.33436e+08
12554.2,2,1000,H,Ecto,8.67351e+06
12554.2,2,10000,H,Ecto,18007.8
12554.2,2,1000,H,Endo,117.107
12554.2,2,10000,H,Endo,4.82224e+07
12554.2,2,100000,H,Endo,41646.2
12554.2,2,100,O,Ecto,4.29911e+07
12554.2,2,1000,O,Ecto,2.18036e+08
12554.2,2,100,C,Ecto,270108
12554.2,2,1000,C,Ecto,4.06705e+07
13560.4,2,100,H,Ecto,6202.38
13560.4,2,1000,H,Ecto,1191.49
13560.4,2,10000,H,Ecto,0.685608
13560.4,2,1000,H,Endo,0.00217511
13560.4,2,10000,H,Endo,2423.44
13560.4,2,100000,H,Endo,2.30556
13560.4,2,100,O,Ecto,2389.2
13560.4,2,1000,O,Ecto,7890.22
13560.4,2,100,C,Ecto,17.189
13560.4,2,1000,C,Ecto,1826.69
41930.2,2,100,H,Ecto,1.46125
41930.2,2,1000,H,Ecto,2837.69
41930.2,2,10000,H,Ecto,1.738
41930.2,2,1000,H,Endo,2.74166
41930.2,2,10000,H,Endo,446097
41930.2,2,100,O,Ecto,20.3036
41930.2,2,1000,O,Ecto,1988.97
41930.2,2,10000,O,Ecto,0.837861
41930.2,2,1000,C,Ecto,248.781
41930.2,2,10000,C,Ecto,388.66
40737,2,100,H,Ecto,1.13835e+07
40737,2,1000,H,Ecto,921088
40737,2,10000,H,Ecto,1995.85
40737,2,1000,H,Endo,13.5925
40737,2,10000,H,Endo,4.70103e+06
40737,2,100000,H,Endo,4330.17
40737,2,100,O,Ecto,2.55595e+06
40737,2,1000,O,Ecto,1.23141e+07
40737,2,100,C,Ecto,27260
40737,2,1000,C,Ecto,4.13498e+06
11818.2,2,100,H,Ecto,19364.7
11818.2,2,1000,H,Ecto,160513
11818.2,2,1000,H,Endo,30180.3
11818.2,2,10000,H,Endo,310673
11818.2,2,100,O,Ecto,449.499
11818.2,2,1000,O,Ecto,26270.5
11818.2,2,10000,O,Ecto,1426.41
11818.2,2,10000,O,Endo,19850.1
11818.2,2,100,C,Ecto,1779.27
11818.2,2,1000,C,Ecto,11160.8
11818.2,2,10000,C,Ecto,7385.98
43579.8,2,100,H,Ecto,1.52064e+08
43579.8,2,1000,H,Ecto,3.74656e+07
43579.8,2,1000,H,Endo,1.36763e+08
43579.8,2,10000,H,Endo,1.55604e+08
43579.8,2,100,O,Ecto,6.43154e+07
43579.8,2,1000,O,Ecto,5.01372e+06
43579.8,2,10000,O,Ecto,1.8567e+07
43579.8,2,10000,O,Endo,1.37843e+06
43579.8,2,10,C,Ecto,811.832
43579.8,2,100,C,Ecto,2.86006e+07
43579.8,2,1000,C,Ecto,3.43657e+07
43579.8,2,10000,C,Ecto,1.19534e+06
11920.4,2,10,H,Ecto,2.92629e+06
11920.4,2,100,H,Ecto,1.86719e+06
11920.4,2,1000,H,Ecto,216253
11920.4,2,1000,H,Endo,523.525
11920.4,2,10000,H,Endo,391867
11920.4,2,10,O,Ecto,8877.79
11920.4,2,100,O,Ecto,1.8479e+06
11920.4,2,1000,O,Ecto,2.86779
11920.4,2,10000,O,Ecto,513.542
11920.4,2,10,C,Ecto,1388.42
11920.4,2,100,C,Ecto,5043.56
11920.4,2,1000,C,Ecto,11373.9
11920.4,2,10000,C,Ecto,73.4583
50055.7,2,10,H,Ecto,2.55546e+07
50055.7,2,100,H,Ecto,1.87493e+07
50055.7,2,1000,H,Ecto,2.43268e+06
50055.7,2,1000,H,Endo,7342.28
50055.7,2,10000,H,Endo,513144
50055.7,2,10,O,Ecto,83731.7
50055.7,2,100,O,Ecto,2.07612e+07
50055.7,2,1000,O,Ecto,0.00703827
50055.7,2,10000,O,Ecto,6571.29
50055.7,2,10,C,Ecto,12551.7
50055.7,2,100,C,Ecto,58036.4
50055.7,2,1000,C,Ecto,139181
50055.7,2,10000,C,Ecto,903.469
21864.7,2,100,H,Ecto,1201.34
21864.7,2,1000,H,Ecto,326535
21864.7,2,10000,H,Ecto,342.548
21864.7,2,1000,H,Endo,142011
21864.7,2,10000,H,Endo,35076.7
21864.7,2,100000,H,Endo,26747.1
21864.7,2,100,O,Ecto,50.842
21864.7,2,1000,O,Ecto,41580.8
21864.7,2,10000,O,Endo,109154
21864.7,2,100,C,Ecto,12.6498
21864.7,2,1000,C,Ecto,9.51996
21864.7,2,10000,C,Ecto,69.6528
34332.4,2,100,H,Ecto,3.58908e+06
34332.4,2,1000,H,Ecto,2.00555e+08
34332.4,2,10000,H,Ecto,1.0628e+06
34332.4,2,1000,H,Endo,1.77673e+08
34332.4,2,10000,H,Endo,1.67219e+07
34332.4,2,100000,H,Endo,1.92768e+07
34332.4,2,100,O,Ecto,317434
34332.4,2,1000,O,Ecto,5.95574e+07
34332.4,2,10000,O,Endo,3.05881e+07
34332.4,2,100,C,Ecto,52107.1
34332.4,2,1000,C,Ecto,3286.86
34332.4,2,10000,C,Ecto,37607.7
21864.7,2,10,H,Ecto,7.8189e+06
21864.7,2,100,H,Ecto,8.98461e+07
21864.7,2,1000,H,Ecto,1.24218e+08
21864.7,2,10000,H,Ecto,2.1187e+06
21864.7,2,1000,H,Endo,1.1251e+07
21864.7,2,10000,H,Endo,7362
21864.7,2,100000,H,Endo,102791
21864.7,2,100,O,Ecto,3.67415e+06
21864.7,2,1000,O,Ecto,4.03905e+07
21864.7,2,100,C,Ecto,1.05848e+06
21864.7,2,10000,C,Ecto,27.4231
12095.8,2,10,H,Ecto,877478
12095.8,2,100,H,Ecto,3.01262e+07
12095.8,2,1000,H,Ecto,4.86e+07
12095.8,2,10000,H,Ecto,1.47614e+06
12095.8,2,1000,H,Endo,9.16502e+06
12095.8,2,10000,H,Endo,25052.4
12095.8,2,100000,H,Endo,133554
12095.8,2,100,O,Ecto,1.18388e+06
12095.8,2,1000,O,Ecto,2.21632e+07
12095.8,2,100,C,Ecto,589999
12095.8,2,10000,C,Ecto,48.4253
46505.6,2,100,H,Ecto,1.78625e+07
46505.6,2,1000,H,Ecto,8.06437e+07
46505.6,2,10000,H,Ecto,3.10792e+06
46505.6,2,1000,H,Endo,1.25571e+08
46505.6,2,10000,H,Endo,1.53564e+06
46505.6,2,100000,H,Endo,5.02683e+06
46505.6,2,100,O,Ecto,238062
46505.6,2,1000,O,Ecto,1.00422e+08
46505.6,2,10000,O,Endo,1.00331e+06
46505.6,2,100,C,Ecto,323531
46505.6,2,1000,C,Ecto,212.413
46505.6,2,10000,C,Ecto,4991.25
30222,2,100,H,Ecto,33930.7
30222,2,1000,H,Ecto,1.767e+06
30222,2,1000,H,Endo,2.66008e+07
30222,2,10000,H,Endo,3.28931e+06
30222,2,1000,O,Ecto,3.38983e+06
30222,2,10000,O,Ecto,130.466
30222,2,10000,O,Endo,2501.31
30222,2,1000,C,Ecto,1.23993e+07
30222,2,10000,C,Ecto,260221
12363.9,2,100,H,Ecto,872689
12363.9,2,1000,H,Ecto,2.09936e+06
12363.9,2,1000,H,Endo,4.78177e+06
12363.9,2,10000,H,Endo,681.61
12363.9,2,100,O,Ecto,2.12128e+06
12363.9,2,1000,O,Ecto,91479.1
12363.9,2,10000,O,Ecto,53.6139
12363.9,2,10000,O,Endo,5.74402e+06
12363.9,2,100,C,Ecto,29133.9
12363.9,2,1000,C,Ecto,295072
12363.9,2,10000,C,Ecto,401184
33929.6,2,100,H,Ecto,7.83886e+07
33929.6,2,1000,H,Ecto,4.04628e+06
33929.6,2,10,O,Ecto,1.77793e+07
33929.6,2,100,O,Ecto,9.81408e+07
33929.6,2,1000,O,Ecto,4.93678e+07
33929.6,2,100,C,Ecto,1.87621e+06
33929.6,2,1000,C,Ecto,9893.11
33929.6,2,10000,C,Ecto,81251.7
96044.8,2,1000,H,Ecto,341.667
96044.8,2,1000,H,Endo,19.7785
96044.8,2,10000,H,Endo,78114.6
96044.8,2,100000,H,Endo,221.904
96044.8,2,1000,O,Ecto,154.02
96044.8,2,10000,O,Endo,106343
96044.8,2,1000,C,Ecto,3494.06
