GridcellIndex,Cohort_FunctionalGroupIndex,Cohort_AdultMass,Cohort_Consumed_Autotroph,Cohort_Consumed_Herbivore,Cohort_Consumed_Omnivore,Cohort_Consumed_Carnivore
0,0,22423.5,165289,0,0,0
0,0,94241.6,4.35171e+08,0,0,0
0,0,1172.55,2.11258e+06,0,0,0
0,0,7829.9,5.01013e+07,0,0,0
0,0,17176.9,8.20034e+06,0,0,0
0,0,2889.46,2.91934e+08,0,0,0
0,0,97443.7,1.02368e+07,0,0,0
0,0,4383.19,1.84446e+09,0,0,0
0,0,194.472,5.96177e+06,0,0,0
0,0,8252.81,5.11456e+08,0,0,0
0,0,11722.8,5.50141e+06,0,0,0
0,0,76879.9,4.22485e+09,0,0,0
0,0,92885.6,9.39948e+07,0,0,0
0,0,194.472,5610.6,0,0,0
0,0,1193.96,2.6666e+08,0,0,0
0,0,176.009,180996,0,0,0
0,0,530.063,4.29712e+07,0,0,0
0,0,17355.1,1.47241e+07,0,0,0
0,0,4566.58,2.47118e+08,0,0,0
0,0,525.829,1.28337e+08,0,0,0
0,0,7901.58,1.80393e+06,0,0,0
0,0,17463.8,6.01946e+08,0,0,0
0,1,16641.6,0,2.75014e+07,1103.48,1.28344e+07
0,1,16739.1,0,8.09047e+09,736288,5.74181e+08
0,1,24190.7,0,7.14731e+07,342385,374968
0,2,673.386,40240.7,1107.58,291.139,0.937504
0,2,1202.09,4.25047e+06,271781,22302.8,2360.77
0,2,79538.6,1.73348e+08,7.09887e+06,1.15368e+06,138325
0,2,1062.39,1.78163e+07,170051,144396,2213.88
0,2,9750.42,1.03881e+06,3284.22,7826.05,947.946
0,2,25865.6,2.99771e+06,330023,9838.36,1015.73
0,2,80128.8,2.26409e+06,2.48498e+06,11131.9,1.51909e+06
0,2,42124.4,103016,91439.1,626.128,8402.54
0,2,419.75,3.95244e+06,99277.1,32067,163.201
0,2,3170.09,1.27731e+08,677027,792078,91479.2
0,3,4.8811,0,0,0,0
0,3,36.953,0,0,0,0
0,3,317.818,0,0,0,0
0,3,36.7712,0,0,0,0
0,3,4.91107,0,0,0,0
0,5,34.721,0,0,0,0
0,5,628.93,0,0,0,0
0,6,453.525,0,0,0,0
0,6,136.443,0,0,0,0
0,6,2733.37,0,0,0,0
0,6,2480.77,0,0,0,0
0,6,37.4761,0,0,0,0
0,6,21117.4,0,0,0,0
0,6,21117.4,0,0,0,0
0,6,455.023,0,0,0,0
0,6,2599.39,0,0,0,0
0,6,496.763,0,0,0,0
0,6,145.762,0,0,0,0
0,6,21117.4,0,0,0,0
0,6,33.8288,0,0,0,0
0,6,124.664,0,0,0,0
0,6,39.2753,0,0,0,0
0,6,484.232,0,0,0,0
0,6,37.7799,0,0,0,0
0,6,2760.55,0,0,0,0
0,7,937.01,0,0,0,0
0,7,389.987,0,0,0,0
0,7,8904.78,0,0,0,0
0,7,8512.7,0,0,0,0
0,7,943.609,0,0,0,0
0,7,391.34,0,0,0,0
0,7,97.3044,0,0,0,0
0,7,385.704,0,0,0,0
0,7,9722.57,0,0,0,0
0,8,10190.8,0,0,0,0
0,8,2349.1,0,0,0,0
0,8,486.441,0,0,0,0
0,8,108.633,0,0,0,0
0,8,2446,0,0,0,0
0,8,10190.8,0,0,0,0
0,8,483.51,0,0,0,0
0,8,101.307,0,0,0,0
0,8,10718.1,0,0,0,0
0,8,487.877,0,0,0,0
0,8,2201.83,0,0,0,0
0,8,289.167,0,0,0,0
0,8,103.411,0,0,0,0
0,8,253.132,0,0,0,0
0,8,11081.1,0,0,0,0
0,8,111.674,0,0,0,0
0,8,10244.9,0,0,0,0
0,8,36494.1,0,0,0,0
1,0,31733.4,2.11138e+08,0,0,0
1,0,521.926,72131.6,0,0,0
1,0,4567.8,1.88295e+06,0,0,0
1,0,15094.5,1.96992e+07,0,0,0
1,0,261.356,17947.2,0,0,0
1,0,4650.24,3.07741e+09,0,0,0
1,0,161.46,3.58599e+08,0,0,0
1,0,2017.47,5.93808e+07,0,0,0
1,0,2846.25,4.80807e+07,0,0,0
1,0,69.3038,2.18307e+07,0,0,0
1,0,524.108,4.62469e+08,0,0,0
1,0,88449.9,3.70183e+08,0,0,0
1,0,15094.5,1.69859e+09,0,0,0
1,0,30537.2,9.93644e+07,0,0,0
1,0,7904.96,1.3656e+08,0,0,0
1,0,171.543,2.34174e+08,0,0,0
1,0,310.923,1.26047e+07,0,0,0
1,0,498.086,2.11282e+09,0,0,0
1,0,72.4176,4.71862e+07,0,0,0
1,0,3188.49,1.25611e+07,0,0,0
1,0,4583.13,4.28713e+09,0,0,0
1,0,72.7026,1.65714e+08,0,0,0
1,0,160.88,5.4734e+07,0,0,0
1,0,29998.2,2.07069e+10,0,0,0
1,0,68.6811,182729,0,0,0
1,0,261.356,2.89443e+07,0,0,0
1,0,67937.6,257784,0,0,0
1,0,23140.2,2.46072e+08,0,0,0
1,0,1100.69,7.92775e+06,0,0,0
1,0,22423.5,1.17313e+08,0,0,0
1,1,34612.3,0,1.83191e+09,2.43468e+07,230097
1,1,34698.8,0,1.70164e+09,2.38233e+07,115355
1,1,16934.3,0,7.37127e+08,4.07646e+08,5.15157e+08
1,1,44541.9,0,2.50008e+07,652244,9236.87
1,2,8942.93,8.69332e+06,3.78305e+07,7.09928e+06,3628.65
1,2,1380.84,6.22348e+07,1.13991e+07,5.94602e+06,3.54293e+06
1,2,849.563,2.3742e+08,1.16584e+07,3.80419e+06,3.96565e+06
1,2,9533.46,3.57681e+09,4.15925e+08,1.38197e+08,1.61046e+08
1,2,134.99,2.4461e+08,237080,32018.8,123796
1,2,3273.56,4.53774e+07,2.60254e+07,2.14684e+07,455157
1,2,5047.13,574629,1.187e+06,337491,690.67
1,2,1344.52,8.76729e+07,4.79048e+06,1.60638e+06,1.46619e+06
1,2,3299.99,1.70275e+07,1.01079e+07,8.19278e+06,166613
1,2,154.748,2.80658e+08,268756,35869.6,164690
1,2,3106.74,1.05539e+07,5.69741e+06,4.62114e+06,115486
1,2,904.192,2.46928e+09,2.5552e+07,6.78903e+06,8.30146e+06
1,2,25957,2.32481e+07,2.17466e+08,2.90562e+06,11720.2
1,2,10794.6,7.6792e+07,5.99975e+08,6.38158e+07,20134.7
1,2,5824.96,7.40796e+08,1.1725e+09,4.53698e+08,670707
1,2,10706.2,3.36778e+08,1.91993e+08,1.42812e+08,1.71556e+06
1,2,82849.6,1.86685e+07,5.72297e+06,5.64155e+06,263732
1,2,922.477,2.42455e+06,149125,79857.2,42908.3
1,2,17562.3,3.53302e+06,5.54483e+06,1500.21,563.413
1,2,10694.8,3.01123e+06,5.71639e+06,6.78063e+06,231243
1,3,5.47254,0,0,0,0
1,3,93.9947,0,0,0,0
1,3,5.84993,0,0,0,0
1,3,13.5315,0,0,0,0
1,6,2644.98,0,0,0,0
1,6,669.493,0,0,0,0
1,6,321.632,0,0,0,0
1,6,51.9454,0,0,0,0
1,6,669.493,0,0,0,0
1,6,336.258,0,0,0,0
1,6,2683.29,0,0,0,0
1,6,52.0029,0,0,0,0
1,6,2543.02,0,0,0,0
1,6,327.544,0,0,0,0
1,6,686.168,0,0,0,0
1,6,51.9454,0,0,0,0
1,7,210.606,0,0,0,0
1,7,359.163,0,0,0,0
1,7,78.1031,0,0,0,0
1,7,60622.7,0,0,0,0
1,7,19854.6,0,0,0,0
1,7,1812.53,0,0,0,0
1,7,9174.24,0,0,0,0
1,7,77.5737,0,0,0,0
1,7,1827.49,0,0,0,0
1,7,9186.18,0,0,0,0
1,7,359.163,0,0,0,0
1,7,27648.4,0,0,0,0
1,7,27040.9,0,0,0,0
1,7,30348.2,0,0,0,0
1,7,100001,0,0,0,0
1,8,380.334,0,0,0,0
1,8,28.8472,0,0,0,0
1,8,129.575,0,0,0,0
1,8,1806.89,0,0,0,0
1,8,1141.75,0,0,0,0
1,8,2095.64,0,0,0,0
1,8,28.8472,0,0,0,0
1,8,135.612,0,0,0,0
1,8,2131.03,0,0,0,0
1,8,410.423,0,0,0,0
1,8,29.7919,0,0,0,0
1,8,469.309,0,0,0,0
2,0,80854.8,9.85643e+07,0,0,0
2,0,3643.52,4.56846e+07,0,0,0
2,0,435.662,1.35194e+07,0,0,0
2,0,88173.6,1.68882e+09,0,0,0
2,0,1048.64,11930.9,0,0,0
2,0,1526.18,1.42177e+07,0,0,0
2,0,1790.79,1.84213e+10,0,0,0
2,0,1101.36,3.31467e+07,0,0,0
2,0,48.9016,6.94711e+07,0,0,0
2,0,381.617,1.04287e+09,0,0,0
2,0,1108.61,1.62962e+08,0,0,0
2,0,443.58,2.60258e+08,0,0,0
2,0,1466.25,1.89146e+07,0,0,0
2,0,49.1052,2.05303e+06,0,0,0
2,0,8406.27,9.42153e+07,0,0,0
2,0,1832.78,9.16577e+09,0,0,0
2,0,46.9198,9.85077e+07,0,0,0
2,0,431.8,6.92361e+08,0,0,0
2,0,1068.08,1.36033e+09,0,0,0
2,0,7634.81,1.22783e+07,0,0,0
2,0,557.865,2.59001e+10,0,0,0
2,0,1977.4,2.58326e+06,0,0,0
2,1,41970.4,0,1.97036e+10,2.31674e+06,770063
2,1,44669.2,0,3.95503e+08,1.98001e+07,1.51738e+08
2,1,40493.3,0,4.70438e+09,6.86064e+06,7.10105e+06
2,2,3393,256.71,37878.4,4927.93,0.658482
2,2,1519.92,584803,3.84136e+07,1.1166e+07,424.974
2,2,133.191,1.08146e+07,36023.7,19202.6,1110.38
2,2,3409.11,1.50289e+06,2.04203e+08,2.5777e+07,3475.41
2,2,985.482,7.05183e+06,5.82315e+07,8.1305e+07,341.216
2,2,1570.86,8.1426e+09,9.25579e+07,5.15158e+07,1.52716e+06
2,2,133.191,1.44414e+09,2.55173e+06,3.71875e+06,359353
2,2,1556.8,2.31531e+09,6.79322e+06,4.73234e+06,550613
2,2,932.693,6.43022e+09,6.97886e+07,2.75278e+07,675968
2,2,9751.43,1.73366e+06,2.60758e+08,3.44771e+06,4157.05
2,2,46009.5,8.93601e+08,1.78911e+08,360813,426233
2,3,3.86529,0,0,0,0
2,3,4.04476,0,0,0,0
2,3,3.82291,0,0,0,0
2,5,51.9362,0,0,0,0
2,6,281.474,0,0,0,0
2,6,667.414,0,0,0,0
2,6,49.2028,0,0,0,0
2,6,2647.36,0,0,0,0
2,6,2704.47,0,0,0,0
2,6,281.474,0,0,0,0
2,6,50.0037,0,0,0,0
2,6,731.044,0,0,0,0
2,6,263.827,0,0,0,0
2,6,281.474,0,0,0,0
2,6,50.814,0,0,0,0
2,6,49.394,0,0,0,0
2,6,665.779,0,0,0,0
2,6,292.263,0,0,0,0
2,6,2707.35,0,0,0,0
2,7,2784.21,0,0,0,0
2,7,10058.3,0,0,0,0
2,7,266.325,0,0,0,0
2,7,9012.6,0,0,0,0
2,7,2856.76,0,0,0,0
2,7,66287.6,0,0,0,0
2,7,10491.7,0,0,0,0
2,7,21923.1,0,0,0,0
2,7,2800.5,0,0,0,0
2,7,22224.6,0,0,0,0
2,7,266.325,0,0,0,0
2,7,10058.3,0,0,0,0
2,7,6921.28,0,0,0,0
2,8,134.885,0,0,0,0
2,8,1805.33,0,0,0,0
2,8,31.4078,0,0,0,0
2,8,400.382,0,0,0,0
2,8,391.29,0,0,0,0
2,8,5806.25,0,0,0,0
2,8,1898.74,0,0,0,0
2,8,32.2278,0,0,0,0
2,8,388.353,0,0,0,0
2,8,30.3908,0,0,0,0
2,8,134.885,0,0,0,0
2,8,33.1519,0,0,0,0
2,8,134.885,0,0,0,0
2,8,2063.77,0,0,0,0
2,8,805.516,0,0,0,0
2,8,365.093,0,0,0,0
2,8,390.71,0,0,0,0
3,0,11899.1,2.91766e+07,0,0,0
3,0,1090.97,1.18393e+06,0,0,0
3,0,2055.6,20655.5,0,0,0
3,0,3839.7,1.29183e+08,0,0,0
3,0,407.727,1.03448e+08,0,0,0
3,0,45.69,384763,0,0,0
3,0,2129.05,2.54583e+09,0,0,0
3,0,1349.67,6.63345e+07,0,0,0
3,0,2034.08,5.07278e+09,0,0,0
3,0,1090.97,6.21056e+09,0,0,0
3,0,407.727,3.55573e+07,0,0,0
3,0,391.096,1.73271e+10,0,0,0
3,0,44.5776,3.7543e+08,0,0,0
3,0,16824.7,1.50071e+08,0,0,0
3,0,47.0074,9.44725e+08,0,0,0
3,0,16279.5,8.99373e+08,0,0,0
3,0,468.698,9.82412e+09,0,0,0
3,0,36053.7,161990,0,0,0
3,0,80854.8,3.19715e+07,0,0,0
3,0,2430.82,2.06793e+07,0,0,0
3,1,19521,0,1.09066e+06,4.404e+08,1.46396e+10
3,1,19191.9,0,6343.88,2.31506e+06,3.00308e+08
3,1,19684.9,0,2.81986e+06,4.37085e+08,2.70181e+10
3,1,41970.4,0,1.30121e+07,352403,858700
3,2,740.642,1.49405e+07,1.37563e+06,8.75831e+06,846640
3,2,2030.83,4.78433e+07,1.98264e+08,5.31088e+07,2.93189e+06
3,2,57957,108698,1835.52,502.741,1454.6
3,2,6470.19,3.38405e+08,9.22154e+08,2.35152e+07,1.89112e+07
3,2,106.117,3.56539e+06,10247.2,14980.5,12954.6
3,2,3163.8,13628.8,134803,9203.87,618.488
3,2,7695.43,1.42694e+08,5.24726e+08,1.03982e+07,4.4999e+06
3,2,55036,2.67828e+07,4.69626e+06,32965.9,84875
3,2,16244.8,4.87115e+08,3.26402e+08,2.5051e+07,5.44752e+06
3,2,1157.02,1.83398e+09,1.94846e+08,7.32406e+08,9.98722e+07
3,2,109.926,1.58007e+06,4086.64,5779.08,4406.38
3,2,2030.83,5.48863e+09,5.32813e+07,6.45885e+07,3.11386e+07
3,2,686.154,1.97678e+08,1.79941e+07,3.68302e+07,4.56908e+06
3,2,106.117,2.97919e+09,7.54676e+06,1.08499e+07,1.03584e+07
3,2,106.543,2.25897e+09,4.27668e+06,4.38088e+06,5.62667e+06
3,2,3163.8,420017,1.97038e+06,460032,25030.9
3,2,81634.5,7.87183e+08,1.82567e+06,3.76032e+06,2.15566e+07
3,2,15157.8,235605,109740,1861.31,1374.65
3,3,6.85485,0,0,0,0
3,3,6.61509,0,0,0,0
3,3,6.91686,0,0,0,0
3,5,63.3023,0,0,0,0
3,6,49.3791,0,0,0,0
3,6,1416.71,0,0,0,0
3,6,313.281,0,0,0,0
3,6,108.06,0,0,0,0
3,6,640.11,0,0,0,0
3,6,6627.94,0,0,0,0
