Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
41873.5,2,100,H,Ecto,2579.8
41873.5,2,1000,H,Ecto,1.56789e+07
41873.5,2,10000,H,Ecto,1.31396
41873.5,2,1000,H,Endo,5.70386e+06
41873.5,2,10000,H,Endo,3.66694e+09
41873.5,2,100,O,Ecto,12945.4
41873.5,2,1000,O,Ecto,1.18934e+06
41873.5,2,10000,O,Endo,6.37536e+06
41873.5,2,1000,C,Ecto,1.24883e+07
41873.5,2,10000,C,Ecto,1.21334e+07
70613.9,2,100,H,Ecto,3.00398e+07
70613.9,2,1000,H,Ecto,9.4873e+06
70613.9,2,1000,H,Endo,2.64917e+07
70613.9,2,10000,H,Endo,6.56543e+07
70613.9,2,100,O,Ecto,1.20655e+07
70613.9,2,1000,O,Ecto,5.06501e+06
70613.9,2,10,C,Ecto,1.82448e-05
70613.9,2,100,C,Ecto,1.2159e+06
70613.9,2,1000,C,Ecto,5.45514e+06
70613.9,2,10000,C,Ecto,0.0202606
44812.8,2,100,H,Ecto,1.91539e+06
44812.8,2,1000,H,Ecto,2.01126e+07
44812.8,2,10000,H,Ecto,0.00382185
44812.8,2,1000,H,Endo,2.10403e+07
44812.8,2,10000,H,Endo,2.10746e+09
44812.8,2,100,O,Ecto,3.7843e+06
44812.8,2,1000,O,Ecto,3.0808e+06
44812.8,2,10000,O,Endo,149950
44812.8,2,100,C,Ecto,547028
44812.8,2,1000,C,Ecto,3.32624e+06
44812.8,2,10000,C,Ecto,64176.6
3674.16,2,10,H,Ecto,4.48413
3674.16,2,100,H,Ecto,448776
3674.16,2,1000,H,Ecto,3409.82
3674.16,2,1000,H,Endo,10954.2
3674.16,2,100,O,Ecto,4.513e+06
3674.16,2,1000,O,Ecto,3585
3674.16,2,10000,O,Ecto,67334.3
3674.16,2,10,C,Ecto,4.01181e-06
3674.16,2,100,C,Ecto,23318.4
3674.16,2,1000,C,Ecto,400.173
3674.16,2,10000,C,Ecto,848.715
41146.9,2,100,H,Ecto,137792
41146.9,2,1000,H,Ecto,1.50923e+07
41146.9,2,1000,H,Endo,7.18562e+06
41146.9,2,10000,H,Endo,83.397
41146.9,2,100,O,Ecto,76.3946
41146.9,2,1000,O,Ecto,9.46987e+06
41146.9,2,10000,O,Ecto,29.2749
41146.9,2,1000,O,Endo,224041
41146.9,2,1000,C,Ecto,2.82052e+07
41146.9,2,10000,C,Ecto,7.52913e+06
7975.04,2,100,H,Ecto,1.347e+06
7975.04,2,1000,H,Ecto,423293
7975.04,2,1000,H,Endo,1.24376e+06
7975.04,2,100,O,Ecto,1.59995e+06
7975.04,2,1000,O,Ecto,225166
7975.04,2,10000,O,Ecto,28781.9
7975.04,2,1000,O,Endo,63.8101
7975.04,2,100,C,Ecto,25548
7975.04,2,1000,C,Ecto,110393
7975.04,2,10000,C,Ecto,460.132
53021,1,1000,H,Ecto,132506
53021,1,1000,H,Endo,3.846e+06
53021,1,10000,H,Endo,2.8502e+07
53021,1,1000,O,Ecto,0.0696935
53021,1,10000,O,Endo,11771.9
53021,1,1000,C,Ecto,1.20963e+07
53021,1,10000,C,Ecto,81.2476
18139.3,2,100,H,Ecto,9.46897e+06
18139.3,2,1000,H,Ecto,7.26518e+06
18139.3,2,1000,H,Endo,1.07978e+08
18139.3,2,10000,H,Endo,1.44791e+08
18139.3,2,100,O,Ecto,828179
18139.3,2,1000,O,Ecto,7143.33
18139.3,2,10000,O,Endo,1.34684
18139.3,2,100,C,Ecto,491797
18139.3,2,1000,C,Ecto,1.66084e+07
39233.9,2,100,H,Ecto,4.92641e+06
39233.9,2,1000,H,Ecto,2.83368e+06
