Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
41873.5,2,100,H,Ecto,441471
41873.5,2,1000,H,Ecto,1.02883e+07
41873.5,2,10000,H,Ecto,7.56281
41873.5,2,1000,H,Endo,2.71303e+07
41873.5,2,10000,H,Endo,1.06707e+08
41873.5,2,100000,H,Endo,101723
41873.5,2,100,O,Ecto,523610
41873.5,2,1000,O,Ecto,444016
41873.5,2,1000,O,Endo,1.08999e+06
41873.5,2,10000,O,Endo,7.00889e+06
41873.5,2,1000,C,Ecto,1.15424e+07
41873.5,2,10000,C,Ecto,5.35927e+07
7975.04,2,100,H,Ecto,1.46098e+06
7975.04,2,1000,H,Ecto,1.0885e+06
7975.04,2,1000,H,Endo,418883
7975.04,2,10000,H,Endo,7.12084e+06
7975.04,2,100,O,Ecto,3.52474e+06
7975.04,2,1000,O,Ecto,9809.69
7975.04,2,1000,O,Endo,1072.47
7975.04,2,10000,O,Endo,1442.58
7975.04,2,10,C,Ecto,0.427059
7975.04,2,100,C,Ecto,575225
7975.04,2,1000,C,Ecto,211937
70613.9,2,10,H,Ecto,81328.3
70613.9,2,100,H,Ecto,1.27381e+07
70613.9,2,1000,H,Ecto,84983.9
70613.9,2,1000,H,Endo,8062.92
70613.9,2,10000,H,Endo,7.59121e+06
70613.9,2,10,O,Ecto,585737
70613.9,2,100,O,Ecto,4.75717e+06
70613.9,2,1000,O,Ecto,585.558
70613.9,2,1000,O,Endo,31.9639
70613.9,2,10,C,Ecto,23.0343
70613.9,2,100,C,Ecto,544749
70613.9,2,1000,C,Ecto,372185
3674.16,2,10,H,Ecto,53119.7
3674.16,2,100,H,Ecto,3.24172e+06
3674.16,2,1000,H,Ecto,131.563
3674.16,2,10000,H,Endo,26667.7
3674.16,2,10,O,Ecto,848375
3674.16,2,100,O,Ecto,2.03507e+06
3674.16,2,10,C,Ecto,0.00858918
3674.16,2,100,C,Ecto,17965
3674.16,2,1000,C,Ecto,153818
831.785,5,10,H,Ecto,604490
831.785,5,100,H,Ecto,7.76199e+06
831.785,5,10000,H,Endo,5858.73
831.785,5,10,O,Ecto,719577
831.785,5,100,O,Ecto,3.76512e+06
831.785,5,10,C,Ecto,5.40341
831.785,5,100,C,Ecto,125688
831.785,5,1000,C,Ecto,484205
3196.25,7,100,H,Ecto,2.34763e+06
3196.25,7,1000,H,Ecto,94510.2
3196.25,7,1000,H,Endo,29904.3
3196.25,7,10000,H,Endo,2.52374e+06
3196.25,7,10,O,Ecto,35845.6
3196.25,7,100,O,Ecto,918263
3196.25,7,1000,O,Ecto,804.724
3196.25,7,1000,O,Endo,33.5109
3196.25,7,10,C,Ecto,0.00624747
3196.25,7,100,C,Ecto,198049
3196.25,7,1000,C,Ecto,28918
4537.61,7,100,H,Ecto,171194
4537.61,7,1000,H,Ecto,326442
4537.61,7,10000,H,Ecto,7.80635e-06
4537.61,7,1000,H,Endo,110473
4537.61,7,10000,H,Endo,1.23397e+06
4537.61,7,100,O,Ecto,373901
4537.61,7,1000,O,Ecto,5630.86
4537.61,7,1000,O,Endo,279.599
4537.61,7,10000,O,Endo,749.258
4537.61,7,10,C,Ecto,0.0187166
4537.61,7,100,C,Ecto,64779
4537.61,7,1000,C,Ecto,15509.5
93.8764,7,1,H,Ecto,23.7806
93.8764,7,10,H,Ecto,304.889
93.8764,7,100,H,Ecto,4612.05
93.8764,7,10,O,Ecto,646.224
93.8764,7,100,O,Ecto,1331.76
93.8764,7,10,C,Ecto,7.1892
93.8764,7,100,C,Ecto,37.2077
93.8764,7,1000,C,Ecto,92.7048
1098.5,7,10,H,Ecto,12481.5
1098.5,7,100,H,Ecto,3.24768e+06
1098.5,7,1000,H,Ecto,11002.2
1098.5,7,1000,H,Endo,751.951
1098.5,7,10000,H,Endo,1.00825e+06
1098.5,7,10,O,Ecto,167765
1098.5,7,100,O,Ecto,850970
1098.5,7,1000,O,Ecto,19.9784
1098.5,7,1000,O,Endo,2.03647
1098.5,7,10,C,Ecto,11.0855
1098.5,7,100,C,Ecto,92004.7
1098.5,7,1000,C,Ecto,133839
6675.25,7,100,H,Ecto,7.67079e+06
6675.25,7,1000,H,Ecto,186821
6675.25,7,1000,H,Endo,74206.3
6675.25,7,10000,H,Endo,6.61499e+06
6675.25,7,10,O,Ecto,64775
6675.25,7,100,O,Ecto,4.47941e+06
6675.25,7,1000,O,Ecto,798.604
6675.25,7,1000,O,Endo,50.6903
6675.25,7,10,C,Ecto,13.0645
6675.25,7,100,C,Ecto,848325
6675.25,7,1000,C,Ecto,284256
7088.42,7,100,H,Ecto,319236
7088.42,7,1000,H,Ecto,3.02706e+06
7088.42,7,10000,H,Ecto,0.000299376
7088.42,7,1000,H,Endo,949449
