Month,Year,Biomass_FG_0,Biomass_FG_1,Biomass_FG_2,Biomass_FG_3,Biomass_FG_4,Biomass_FG_5,Biomass_FG_6,Biomass_FG_7,Biomass_FG_8
1, 1,8.45218e+09,1.30556e+09,3.29143e+09,1.88803e+07,3.58489e+07,2.00131e+07,1.42087e+08,5.34883e+08,1.35575e+08
2, 1,8.26907e+09,1.064e+09,3.3439e+09,1.53168e+07,2.87318e+07,1.57284e+07,1.18464e+08,4.52232e+08,1.09807e+08
3, 1,7.98218e+09,9.95393e+08,3.3487e+09,1.17982e+07,2.25973e+07,1.21157e+07,1.00111e+08,3.85351e+08,9.06202e+07
4, 1,8.36337e+09,9.17371e+08,3.40961e+09,8.43291e+06,1.80668e+07,9.87514e+06,8.57473e+07,3.33363e+08,7.71739e+07
5, 1,7.44731e+09,8.20608e+08,3.04785e+09,1.1582e+07,2.10084e+07,1.21159e+07,1.04985e+08,4.16834e+08,1.02799e+08
6, 1,7.02931e+09,9.41813e+08,2.83006e+09,2.16432e+07,3.47841e+07,1.78119e+07,1.69875e+08,6.39202e+08,1.60366e+08
7, 1,6.73835e+09,9.58115e+08,2.63701e+09,2.71601e+07,4.01478e+07,2.39495e+07,2.05975e+08,7.78706e+08,2.00817e+08
8, 1,6.52649e+09,1.08012e+09,2.44347e+09,4.20024e+07,4.77307e+07,3.0202e+07,2.54144e+08,9.43957e+08,2.41392e+08
9, 1,6.02242e+09,1.21511e+09,2.20296e+09,4.12462e+07,5.42463e+07,3.86552e+07,3.26955e+08,1.16932e+09,2.96245e+08
10, 1,6.23739e+09,1.27312e+09,2.15168e+09,2.55292e+07,4.04547e+07,2.77829e+07,2.48012e+08,9.015e+08,2.28608e+08
11, 1,6.25571e+09,1.20788e+09,2.1685e+09,1.92093e+07,3.55874e+07,2.14515e+07,2.02236e+08,7.20026e+08,1.8691e+08
12, 1,6.0274e+09,1.15235e+09,2.1208e+09,1.42437e+07,3.02777e+07,1.6251e+07,1.65821e+08,5.71403e+08,1.52507e+08
13, 2,5.66829e+09,1.00797e+09,2.03875e+09,9.57012e+06,2.56511e+07,1.2589e+07,1.34966e+08,4.66722e+08,1.20159e+08
14, 2,5.30676e+09,8.73901e+08,1.92153e+09,7.6421e+06,2.21054e+07,1.0017e+07,1.11568e+08,3.89913e+08,9.77803e+07
15, 2,5.19386e+09,7.13901e+08,1.90206e+09,6.19013e+06,1.85701e+07,8.602e+06,9.62272e+07,3.25123e+08,8.24671e+07
16, 2,5.44214e+09,6.38269e+08,1.95558e+09,5.14958e+06,1.42822e+07,7.57453e+06,8.38126e+07,2.82256e+08,7.17776e+07
17, 2,5.1064e+09,5.82135e+08,1.89076e+09,6.87328e+06,1.67165e+07,1.1471e+07,9.69253e+07,3.44491e+08,8.67252e+07
18, 2,5.027e+09,6.5408e+08,1.87779e+09,1.69021e+07,2.67378e+07,1.58647e+07,1.47798e+08,5.07096e+08,1.28406e+08
19, 2,4.81637e+09,7.29979e+08,1.92288e+09,3.00023e+07,3.41019e+07,2.2132e+07,1.67362e+08,6.31956e+08,1.5866e+08
20, 2,4.78471e+09,6.58474e+08,1.94099e+09,3.62442e+07,4.20728e+07,2.77018e+07,2.02743e+08,7.71854e+08,1.9374e+08
21, 2,4.57084e+09,6.90444e+08,1.88874e+09,6.28252e+07,3.82101e+07,2.69458e+07,2.49938e+08,9.77224e+08,2.16887e+08
22, 2,4.78986e+09,7.74818e+08,1.99702e+09,4.64296e+07,2.62345e+07,1.74596e+07,1.92962e+08,7.56761e+08,1.65376e+08
23, 2,4.99587e+09,7.63524e+08,1.99111e+09,4.14839e+07,1.63208e+07,1.47582e+07,1.55802e+08,6.14183e+08,1.33759e+08
24, 2,5.14475e+09,6.96063e+08,1.96171e+09,3.7087e+07,1.19234e+07,1.23714e+07,1.28795e+08,5.11922e+08,1.08611e+08
25, 3,5.25431e+09,6.75344e+08,1.93577e+09,3.29562e+07,8.97825e+06,1.05716e+07,1.06184e+08,4.22271e+08,8.84053e+07
26, 3,5.10773e+09,7.04216e+08,1.90491e+09,2.88991e+07,6.86732e+06,9.17885e+06,8.95372e+07,3.56508e+08,7.17539e+07
27, 3,5.01268e+09,6.75941e+08,1.86696e+09,2.45188e+07,5.442e+06,8.11006e+06,7.63739e+07,3.07293e+08,6.06917e+07
28, 3,5.30657e+09,6.52806e+08,1.90966e+09,1.94515e+07,4.48824e+06,7.24039e+06,6.66356e+07,2.67883e+08,5.30756e+07
29, 3,5.08091e+09,6.2463e+08,1.91387e+09,8.9846e+06,6.82883e+06,1.24518e+07,7.89816e+07,3.27122e+08,6.74638e+07
30, 3,5.0163e+09,6.3837e+08,1.91523e+09,1.16571e+07,1.23205e+07,2.27746e+07,1.28398e+08,4.96963e+08,1.0883e+08
31, 3,4.89181e+09,6.66802e+08,1.91105e+09,1.62977e+07,1.65467e+07,2.11168e+07,1.61233e+08,6.16613e+08,1.3511e+08
32, 3,5.00248e+09,7.50392e+08,1.82749e+09,1.5186e+07,2.30869e+07,2.24235e+07,1.89444e+08,7.34478e+08,1.52574e+08
33, 3,4.89507e+09,7.75862e+08,1.77026e+09,1.95916e+07,3.08804e+07,2.82132e+07,2.33045e+08,8.83469e+08,1.78346e+08
34, 3,5.10751e+09,7.85293e+08,1.85677e+09,1.39378e+07,2.22291e+07,2.20324e+07,1.83303e+08,7.00206e+08,1.45536e+08
35, 3,5.22521e+09,7.2631e+08,1.98464e+09,1.06292e+07,1.86316e+07,1.85057e+07,1.52345e+08,5.82331e+08,1.23188e+08
36, 3,5.27246e+09,7.39729e+08,2.03896e+09,8.69284e+06,1.52612e+07,1.60006e+07,1.27298e+08,4.82109e+08,1.04663e+08
37, 4,5.19754e+09,7.47564e+08,2.04258e+09,7.06615e+06,1.19979e+07,1.40265e+07,1.07805e+08,4.01999e+08,8.88942e+07
38, 4,5.09645e+09,6.76742e+08,2.01586e+09,5.60246e+06,8.82894e+06,1.22721e+07,9.06506e+07,3.39306e+08,7.52093e+07
39, 4,5.03775e+09,5.64592e+08,1.98157e+09,4.2759e+06,7.04083e+06,1.07105e+07,7.74206e+07,2.93787e+08,6.45922e+07
40, 4,5.32044e+09,5.38216e+08,2.0263e+09,3.19247e+06,5.91123e+06,9.66183e+06,6.85126e+07,2.62576e+08,5.72012e+07
41, 4,5.11046e+09,4.69997e+08,1.9848e+09,5.78928e+06,8.59089e+06,1.19116e+07,8.15851e+07,3.20993e+08,7.05399e+07
42, 4,5.16574e+09,4.87364e+08,1.98292e+09,1.21802e+07,1.6865e+07,1.33841e+07,1.31835e+08,4.97876e+08,1.16898e+08
43, 4,5.18465e+09,5.51508e+08,2.05008e+09,2.29767e+07,2.11509e+07,1.41581e+07,1.71202e+08,6.32162e+08,1.49933e+08
44, 4,5.09137e+09,6.19067e+08,2.13067e+09,4.64566e+07,2.35137e+07,1.74527e+07,2.02262e+08,8.03672e+08,1.79627e+08
45, 4,4.8907e+09,7.14895e+08,2.08649e+09,7.98262e+07,3.64899e+07,2.33689e+07,2.34791e+08,1.0264e+09,2.11768e+08
46, 4,5.07251e+09,7.63656e+08,2.13124e+09,5.50048e+07,2.52323e+07,1.82284e+07,1.75359e+08,8.02233e+08,1.58068e+08
47, 4,5.25907e+09,7.39521e+08,2.18717e+09,4.53516e+07,1.87519e+07,1.51069e+07,1.43638e+08,6.66706e+08,1.29141e+08
48, 4,5.31522e+09,7.52033e+08,2.19526e+09,3.66549e+07,1.43486e+07,1.18542e+07,1.18578e+08,5.62796e+08,1.07472e+08
49, 5,5.28874e+09,7.73003e+08,2.13474e+09,2.87307e+07,1.06103e+07,9.82906e+06,9.75161e+07,4.73792e+08,9.11567e+07
50, 5,5.15212e+09,7.55597e+08,2.06974e+09,2.16772e+07,8.29482e+06,8.54778e+06,8.15994e+07,3.92026e+08,7.69611e+07
51, 5,5.11396e+09,7.22383e+08,1.9936e+09,1.58871e+07,6.96745e+06,7.55452e+06,7.03333e+07,3.31888e+08,6.64818e+07
52, 5,5.39427e+09,7.54415e+08,1.99856e+09,1.15074e+07,6.14347e+06,6.75979e+06,6.20209e+07,2.91667e+08,5.89477e+07
53, 5,5.32744e+09,6.64808e+08,1.99781e+09,8.67859e+06,7.97117e+06,8.80187e+06,7.49993e+07,3.5065e+08,7.0832e+07
54, 5,5.3929e+09,6.62976e+08,1.9216e+09,1.77944e+07,1.33763e+07,1.36152e+07,1.15776e+08,5.00608e+08,1.0272e+08
55, 5,5.48908e+09,7.00155e+08,1.93644e+09,2.32783e+07,1.48174e+07,1.63453e+07,1.48297e+08,6.0873e+08,1.27116e+08
56, 5,5.52365e+09,7.8195e+08,1.88369e+09,3.51099e+07,2.18156e+07,2.00837e+07,1.83594e+08,7.6314e+08,1.62061e+08
